ID	hep_mean	hemocytes_mean	theta	prob	log2FC	lminusProb	log2FC_SigInv	hep_1	hep_2	hep_3	hep_4	hep_5	hep_6	hemocytes_1	hemocytes_2	hemocytes_3	hemocytes_4	hemocytes_5	hemocytes_6	hep_1_normalized	hep_2_normalized	hep_3_normalized	hep_4_normalized	hep_5_normalized	hep_6_normalized	hemocytes_1_normalized	hemocytes_2_normalized	hemocytes_3_normalized	hemocytes_4_normalized	hemocytes_5_normalized	hemocytes_6_normalized	Expression
XM_027350602.1	103.928582017659	0.789189548636465	2.85216412825441	0.992867475724766	7.04100490727231	0.00713252427523425	-7.04100490727231	64	86	81	159	59	132	0	0	0	0	0	2	49.3309063282265	77.8533764854282	58.3343704793823	259.367221161357	62.1113631724605	116.574254479101	0.607209374353842	1.13830444800254	1.00885409993707	0.315820472935519	0.278428866274215	1.38652003031561	Up_hep_Down_hemocytes
XM_027350606.1	219.769452538522	62.6247128616538	0.98996713286725	0.954763172402709	1.81118688025857	0.0452368275972909	-1.81118688025857	265	232	396	144	240	149	89	38	23	65	106	50	204.260784015313	210.023062146736	285.19025567698	234.898615391418	252.656392565941	131.587605434743	108.083268634984	86.511138048193	46.407288597105	41.0566614816175	59.0269196501335	34.6630007578902	Up_hep_Down_hemocytes
XM_027350607.1	245.089900058554	61.7030194146595	1.20783615091403	0.971773332437563	1.98989803925461	0.0282266675624367	-1.98989803925461	310	227	410	151	274	222	79	26	20	102	96	82	238.946577527347	205.496703048746	295.27273946354	246.317298084056	288.449381512783	196.056700714852	95.939081147907	59.191831296132	40.3541639974826	64.427376478846	53.4583423246492	56.8473212429399	Up_hep_Down_hemocytes
XM_027350614.1	118.717407614948	2605.42685583113	-3.58334235715822	0.970742261439935	-4.4559163544739	0.0292577385600651	4.4559163544739	185	112	198	40	83	196	1985	874	1279	4793	5273	3877	142.59715110503	101.390443794976	142.59512783849	65.249615386505	87.3770024290547	173.095105135635	2410.62121618475	1989.75617510844	2580.64878763901	3027.45505355989	2936.31082372787	2687.7690787668	Down_hep_Up_hemocytes
XM_027350615.1	123.362741899999	2543.24766365383	-3.54192438610503	0.970066786551079	-4.36569331811921	0.0299332134489205	4.36569331811921	189	111	225	45	103	170	1810	807	1302	4636	5377	3858	145.680332750544	100.485171975378	162.039917998284	73.4058173098181	108.43170180955	150.133509556418	2198.09793516091	1837.2233790761	2627.05607623612	2928.28742505814	2994.2240279129	2674.59713847881	Down_hep_Up_hemocytes
XM_027350616.1	114.472536019264	2272.8965003918	-3.36397079637106	0.982156278698108	-4.31145857350045	0.0178437213018918	4.31145857350045	190	109	194	26	109	164	1646	769	1234	3917	4593	3413	146.451128161922	98.6746283361822	139.714418185187	42.4122500012282	114.748111623698	144.834679807368	1998.93326037285	1750.71224102791	2489.85191864468	2474.13758497686	2557.64756559494	2366.09643173358	Down_hep_Up_hemocytes
XM_027350619.1	2221.25885751707	10621.7231646971	-2.7533994414118	0.987211032851625	-2.25756839960639	0.0127889671483752	2.25756839960639	2806	2771	2889	1383	2162	2314	12956	5959	7086	10457	12275	9653	2162.85192432818	2508.50821210606	2080.59254709797	2256.00545198841	2276.01300303152	2043.58200655031	15734.0093082567	13566.3124112943	14297.4803043081	6605.06937097345	6835.42866703197	6692.03892631828	Down_hep_Up_hemocytes
XM_027350620.1	274.491181051425	64.8634001040534	1.0750341096843	0.958700969307813	2.08128324238902	0.041299030692187	-2.08128324238902	220	382	241	208	180	486	28	19	14	157	167	132	169.574990503279	345.813835086437	173.562756611495	339.298000009826	189.492294424456	429.205209673055	34.0037249638151	43.2555690240965	28.2479147982378	99.1676285017531	92.9952413355877	91.5103220008301	Up_hep_Down_hemocytes
XM_027350630.1	1586.89710223454	0.615874544847014	5.80343782486077	0.999479472625932	11.3312844630212	0.000520527374068158	-11.3312844630212	2938	2303	2060	1003	1280	798	0	0	0	0	0	0	2264.59691863015	2084.8410005342	1483.56547145096	1636.13410581661	1347.50076035169	704.744356623658	0.607209374353842	1.13830444800254	1.00885409993707	0.315820472935519	0.278428866274215	0.346630007578902	Up_hep_Down_hemocytes
XM_027350653.1	5384.32508130451	1.65875747825156	5.74771395781378	0.997971714612518	11.6644468308928	0.00202828538748157	-11.6644468308928	10536	8739	7205	2278	4155	3391	0	2	0	5	0	0	8121.10045428429	7911.17043146694	5188.87826301172	3715.96559626146	4374.11379629786	2994.72194650479	0.607209374353842	4.55321779201016	1.00885409993707	3.15820472935519	0.278428866274215	0.346630007578902	Up_hep_Down_hemocytes
