ID	log2FC_SigInv
XM_027350646.1	7.60121520109313
XM_027350741.1	3.35380794974435
XM_027350745.1	3.39230986874595
XM_027350808.1	-0.883135530272806
XM_027350816.1	4.72366402672286
XM_027350903.1	-4.7014258671115
XM_027351020.1	5.94053129821965
XM_027351045.1	9.41329144646753
XM_027351390.1	7.848528868371
XM_027351566.1	-3.44203268948031
XM_027351589.1	5.81322480181147
XM_027351643.1	11.6144540454719
XM_027351757.1	4.37202601476032
XM_027352003.1	3.23943011313748
XM_027352008.1	4.97279784886694
XM_027352207.1	-3.43455957883652
XM_027352485.1	-2.59291948164452
XM_027352529.1	4.77652377206029
XM_027352531.1	5.25192646801977
XM_027352532.1	5.16440741151497
XM_027352533.1	5.06249521512569
XM_027352577.1	-3.63803361185147
XM_027352601.1	4.82112672295673
XM_027353338.1	4.78917753382281
XM_027353405.1	4.39643270548591
XM_027353474.1	-1.31260711921494
XM_027353846.1	-3.96297607879222
XM_027354081.1	3.97624884223797
XM_027354134.1	9.35704245500049
XM_027354252.1	4.79364791397006
XM_027354398.1	8.29401963633695
XM_027354401.1	4.03930685783255
XM_027354402.1	4.25000104729859
XM_027354403.1	4.13953817706892
XM_027354404.1	4.5070543102506
XM_027354405.1	3.82716027735812
XM_027354406.1	3.96229901097342
XM_027354407.1	4.01605932441863
XM_027354458.1	11.4482699852711
XM_027354464.1	7.53278721726118
XM_027354496.1	7.06895000721731
XM_027354500.1	6.76089410569473
XM_027354657.1	3.95939847887438
XM_027354659.1	8.97174844232549
XM_027354924.1	4.16452443149618
XM_027355086.1	2.49710904675959
XM_027355188.1	3.80998995788456
XM_027355305.1	2.5028535554486
XM_027355343.1	3.80268990185579
XM_027355403.1	6.29062661099337
XM_027355437.1	5.00442756501391
XM_027355470.1	5.58370484364256
XM_027355501.1	9.49179243105746
XM_027355517.1	10.5533127204246
XM_027355548.1	5.21699377202199
XM_027355691.1	3.0068525266026
XM_027356049.1	3.68479855603496
XM_027356054.1	3.71015679490829
XM_027356096.1	4.21602903396202
XM_027356112.1	-1.77137953698122
XM_027356199.1	5.38554418444629
XM_027356446.1	4.42091029064461
XM_027356932.1	3.12295680019738
XM_027357068.1	5.88193319357343
XM_027357118.1	6.75950715519448
XM_027357467.1	5.49993860799137
XM_027357500.1	5.00201162599572
XM_027357590.1	4.85977012614424
XM_027357703.1	4.83084572455867
XM_027357773.1	13.137292124105
XM_027358062.1	-3.26836032337196
XM_027358255.1	2.67980307908319
XM_027358256.1	2.41496114589739
XM_027358263.1	3.90461320671956
XM_027358265.1	5.4265869050332
XM_027358295.1	2.78803320250991
XM_027358297.1	2.92589898080042
XM_027358298.1	2.33087705446414
XM_027358299.1	2.8074084209214
XM_027358428.1	3.65980278106065
XM_027358478.1	-1.7116896334573
XM_027358532.1	3.7837899246082
XM_027358610.1	5.71136207181669
XM_027358642.1	7.22540809603808
XM_027358656.1	-2.79789476535841
XM_027358747.1	4.91313207622987
XM_027358829.1	6.32027841749334
XM_027358888.1	-2.62011776826789
XM_027358916.1	2.83042754178746
XM_027359002.1	5.17276487962165
XM_027359025.1	9.55798718355156
XM_027359438.1	5.59365698557752
XM_027359452.1	5.59626978913222
XM_027359453.1	5.75188465866
XM_027359454.1	5.77401447227009
XM_027359505.1	-1.3852297067512
XM_027359897.1	5.69900637351067
XM_027359990.1	2.65922050891939
XM_027359991.1	2.92071999569248
XM_027360010.1	3.11595351670319
XM_027360170.1	4.02546494415973
XM_027360174.1	3.99773482443669
XM_027360292.1	8.80753092655943
XM_027360527.1	4.10570427544991
XM_027360592.1	3.3437774938342
XM_027360596.1	2.6041066058495
XM_027360660.1	6.51535595827446
XM_027360765.1	3.57144301671795
XM_027360766.1	4.0093398551039
XM_027360767.1	3.5731681698779
XM_027360768.1	3.59656523626772
XM_027360769.1	3.6106644587127
XM_027361043.1	6.33383935501487
XM_027361130.1	4.56043556414648
XM_027361151.1	5.50057074479334
XM_027361152.1	5.50016408063073
XM_027361312.1	4.62311716739946
XM_027361461.1	6.92729279368171
XM_027361530.1	9.37301507058741
XM_027362043.1	4.49948478226541
XM_027362049.1	9.47650044746723
XM_027362214.1	5.3984900930644
XM_027362354.1	-0.915989305945549
XM_027362417.1	3.59196004717084
XM_027362418.1	7.9069539263985
XM_027362420.1	8.00536440056739
XM_027362524.1	3.48619308091964
XM_027362629.1	-2.98788475265264
XM_027362689.1	5.03884532271345
XM_027362696.1	4.81834550306803
XM_027362968.1	5.66247334826041
XM_027363246.1	6.99796413872337
XM_027363289.1	5.02230638532072
XM_027363347.1	2.81942954352525
XM_027363355.1	2.87676077142391
XM_027363614.1	-4.91138379124992
XM_027363840.1	8.78562405628257
XM_027363841.1	9.23486683855588
XM_027363923.1	10.4459000070595
XM_027364093.1	9.78594241454372
XM_027364183.1	10.7836021483818
XM_027364210.1	4.24051060137157
XM_027364661.1	2.91035087118278
XM_027364703.1	2.28790968481637
XM_027364727.1	-1.82913619368134
XM_027364734.1	-1.9508728950837
XM_027364743.1	4.09125038716286
XM_027364947.1	4.16220366947371
XM_027364949.1	4.21861821697339
XM_027365087.1	3.76744483687285
XM_027365098.1	-2.58863481593037
XM_027365178.1	4.49375589277872
XM_027365187.1	5.09785440146794
XM_027365263.1	6.51556388547862
XM_027365500.1	6.33879824810305
XM_027365742.1	8.64664242104235
XM_027366117.1	4.32996217264352
XM_027366414.1	2.68882127768062
XM_027366812.1	5.39797223645027
XM_027366814.1	5.01892575131565
XM_027366817.1	8.26188818734301
XM_027366879.1	4.63604463738294
XM_027367082.1	2.83771566850973
XM_027367083.1	2.73659133480428
XM_027367125.1	3.79033868203116
XM_027367126.1	5.16877891721364
XM_027367127.1	5.29156327155686
XM_027367238.1	8.60290275668812
XM_027367421.1	4.11256014247192
XM_027367425.1	-1.62824810884138
XM_027367656.1	6.54709313784183
XM_027367657.1	6.20943117709378
XM_027367661.1	6.50061591380897
XM_027367710.1	8.11459404030913
XM_027367796.1	5.57903497986486
XM_027367803.1	5.5788525794844
XM_027367804.1	5.83713945377234
XM_027367809.1	10.7978854082568
XM_027367818.1	10.4292704349837
XM_027367830.1	10.3822701304392
XM_027367859.1	11.496516272147
XM_027368359.1	3.21110592962506
XM_027368427.1	1.80727426860518
XM_027368539.1	4.55261012911628
XM_027368628.1	10.8598897651481
XM_027368632.1	2.65015998420911
XM_027368737.1	2.95180443113025
XM_027368852.1	5.57346626517647
XM_027368853.1	5.7901990369736
XM_027368871.1	3.54878139120927
XM_027368913.1	3.67157520049821
