ID	muscle_1_normalized	muscle_2_normalized	muscle_3_normalized	muscle_4_normalized	muscle_5_normalized	hep_1_normalized	hep_2_normalized	hep_3_normalized	hep_4_normalized	hep_5_normalized
XM_027350596.1	0	16.9810830790087	0	0	0	75.5223283064735	83.0005808625255	101.045174268163	62.6789849814657	83.1605473754906
XM_027350597.1	498.40951574424	288.678412343147	257.759340007356	331.163216612345	206.982456043223	267.146146397526	218.875605830067	127.049447057764	151.072425339943	218.914522010075
XM_027350602.1	21.5806182074826	0	0	0	9.67207738519733	85.6671186759998	36.2743279325112	30.090658513681	25.7144553770116	59.3361743435933
XM_027350603.1	1334.91538340571	1154.71364937259	926.628513444167	1133.74701216697	835.66748608105	628.97700291063	952.969632125293	828.050343543149	767.817566022954	710.68554270622
XM_027350604.1	16.4423757771296	67.9243323160347	81.569411394733	74.0247190074653	87.048696466776	180.727561768228	183.830916132557	188.345232918967	153.483155531538	99.3431403782888
XM_027350605.1	21.5806182074826	80.6601446252912	110.934399496837	58.4405676374726	104.458435760131	176.218766048438	184.445735250057	234.409944717688	188.840531674929	112.379118074987
XM_027350606.1	13.8732545619531	42.4527076975217	58.7299762042078	23.376227054989	100.589604806052	157.056384239333	147.556588200045	147.109886066885	106.473916795438	66.9779543726925
XM_027350607.1	20.552969721412	59.4337907765304	107.671623041048	23.376227054989	85.1142809897365	152.923321496193	168.460438195052	152.310740624805	124.5543932324	99.7926568505888
XM_027350608.1	219.916776019108	318.395307731413	371.956515959983	315.579065242352	34.8194785867104	92.430312255684	76.8523896875236	104.388580769684	103.661398238578	39.5574495623955
XM_027350614.1	11.8179575898119	0	45.6788703810505	62.3366054799707	83.1798655126971	18.410915855807	51.0299867525157	73.5549430334425	74.330847574174	88.1052285707901
XM_027350615.1	14.9009030480237	46.6979784672739	65.2555291157864	50.6484919524762	104.458435760131	25.5498424121403	63.3263691025195	83.5851625380029	75.9380010352372	76.4178002909914
XM_027350616.1	10.7903091037413	55.1885200067782	32.6277645578932	70.1286811649671	96.7207738519733	15.405052042614	67.0152838075206	72.0689845883225	76.3397894005031	73.7207014571917
XM_027350617.1	189.08732143699	212.263538487608	146.824940510519	245.450384077385	162.490900071315	112.719892994737	181.371639662556	81.3562248703228	90.0005938195404	142.047205246784
XM_027350619.1	2641.57043344447	11632.0419091209	11422.9803717184	9097.24836223323	2536.01869039874	843.520532577278	1329.23893203541	1073.23348698796	1127.41815293585	1040.18111690208
XM_027350620.1	86.3224728299303	84.9054153950434	61.9927526599971	109.089059589949	471.99737639763	69.1348677034384	110.667441150034	89.5289963184831	88.3934403584772	218.465005537775
XM_027350621.1	17.4700242632002	0	0	0	23.2129857244736	42.0820933847016	95.9117823300295	47.5506702438416	68.7058104604528	66.9779543726925
XM_027350627.1	2817.29832456255	1570.7501848083	2251.31575449463	2462.29591645884	2263.26610813618	1796.0036283828	1808.79784368556	1709.22370149934	1356.43752113736	1594.88444372022
XM_027350629.1	1.0276484860706	0	0	0	0	130.755075873894	39.3484235200121	94.3583612651233	91.2059589153379	31.9156695332964
XM_027350630.1	1.0276484860706	4.24527076975217	9.78832936736796	0	3.86883095407893	394.895358458227	786.968470400242	765.268599236826	1180.45421715094	358.71414489536
