ID	logFC	logCPM	PValue	FDR	ovary_1	ovary_2	ovary_3	ovary_4	ovary_5	gills_1	gills_2	gills_3	gills_4	gills_5	ovary_1_normalized	ovary_2_normalized	ovary_3_normalized	ovary_4_normalized	ovary_5_normalized	gills_1_normalized	gills_2_normalized	gills_3_normalized	gills_4_normalized	gills_5_normalized	Expression
XM_027373947.1	-17.3146623149221	11.0301334811663	1.63679075688253e-161	2.98157804273721e-157	100563	133475	143179	165972	155681	6	1	0	0	1	3484.20063961021	4136.83152932549	4265.51213380167	3998.25613923199	5027.23993748173	0.0587029073757245	0.016402682938172	0	0	0.0245406694068007	Up_ovary_Down_gills
XM_027360707.1	-20.4364372149238	10.7987973371831	7.349337350893e-157	6.69377645919334e-153	132080	127826	107914	122556	96269	0	0	0	0	0	4576.16837683558	3961.75034326698	3214.9161288113	2952.36714264886	3108.71179875148	0	0	0	0	0	Up_ovary_Down_gills
XM_027367844.1	-19.5582748994814	9.92064268493169	4.36378278938399e-153	2.64968890971396e-149	55731	47775	68013	80081	71995	0	0	0	0	0	1930.90884168249	1480.70519807848	2026.20689316347	1929.14678310701	2324.85749255848	0	0	0	0	0	Up_ovary_Down_gills
XM_027378198.1	-18.0796009488853	11.1788249835862	3.07946620279006e-152	1.40238890875059e-148	134443	171149	179145	138495	140796	5	0	0	0	0	4658.0391057458	5304.47334266738	5336.99195559335	3336.33675561501	4546.57456104263	0.0489190894797705	0	0	0	0	Up_ovary_Down_gills
XM_027376192.1	-19.9481504060145	10.3105141931287	4.35172971438704e-151	1.58542216954549e-147	64521	78203	82298	89164	106530	0	0	0	0	0	2235.45548032865	2423.76951554854	2451.77796735282	2147.95574192322	3440.059291371	0	0	0	0	0	Up_ovary_Down_gills
XM_027380768.1	-17.983194568067	10.5035814779178	2.44804967898015e-146	7.43227882538375e-143	109605	84834	86966	91765	101858	3	0	0	0	0	3797.47830816977	2629.2861281798	2590.84452488281	2210.61368554108	3289.19139491662	0.0293514536878623	0	0	0	0	Up_ovary_Down_gills
XM_027366999.1	-16.8606939946415	9.38472741718516	1.60977791572793e-145	4.18910207327143e-142	32066	55673	42383	53198	40379	3	0	0	0	0	1110.98890953672	1725.49032951593	1262.65165119826	1281.5368260602	1303.91583710006	0.0293514536878623	0	0	0	0	Up_ovary_Down_gills
XM_027353517.1	-18.5096488170008	8.87203445297615	1.12746482533524e-144	2.28198880647852e-141	31397	30757	29623	30448	31842	0	0	0	0	0	1087.81010393327	953.261115171112	882.512560777816	733.490606411537	1028.23963161396	0	0	0	0	0	Up_ovary_Down_gills
XM_027376193.1	-16.6951305758651	9.21950656846963	1.06951122449029e-144	2.28198880647852e-141	32754	40297	42154	37835	43671	3	0	0	0	0	1134.82600707808	1248.93725519558	1255.82940576674	911.443020677237	1410.22087030379	0.0293514536878623	0	0	0	0	Up_ovary_Down_gills
XM_027367113.1	-18.4768281274081	9.99781528687683	3.78422574603961e-144	6.89334561898575e-141	75289	67304	71701	59681	60575	0	0	0	0	1	2608.53377440622	2085.97347255833	2136.0778152223	1437.71193120228	1956.08365319439	0	0	0	0	0.0245406694068007	Up_ovary_Down_gills
