ID	logFC	AveExpr	t	P.Value	adj.P.Val	B	hep_1	hep_2	hep_3	hep_4	hep_5	hep_6	hemocytes_1	hemocytes_2	hemocytes_3	hemocytes_4	hemocytes_5	hemocytes_6	hep_1_normalized	hep_2_normalized	hep_3_normalized	hep_4_normalized	hep_5_normalized	hep_6_normalized	hemocytes_1_normalized	hemocytes_2_normalized	hemocytes_3_normalized	hemocytes_4_normalized	hemocytes_5_normalized	hemocytes_6_normalized	Expression
XM_027357115.1	-17.6956992185307	2.73237537699884	-39.3522402923571	3.95724496662359e-15	5.64272937679562e-11	19.1930009258111	160657	166729	188142	66168	84524	60574	0	0	0	0	0	0	3441.36916237788	4326.79396649296	3774.57455002171	3288.74833671477	2888.41459759423	1549.00362585098	0	0	0	0	0	0	Up_hep_Down_hemocytes
XM_027363322.1	-17.2196176580611	2.48886638706132	-37.9529458801509	6.37200539415687e-15	5.64272937679562e-11	19.1230441105834	97621	107518	101904	43413	103784	46741	0	0	0	0	0	0	2091.10028819467	2790.20586514278	2044.43582477816	2157.75649168478	3546.5810964545	1195.26494000563	0	0	0	0	0	0	Up_hep_Down_hemocytes
XM_027350706.1	-16.4067535326209	2.08063554042461	-34.4798827148887	2.24916113812065e-14	7.69672539023111e-11	18.7776998207156	48971	79161	60850	29790	44554	24116	0	0	0	0	0	0	1048.98815022568	2054.31171050956	1220.79525767144	1480.65247477229	1522.53116252441	616.696461204846	0	0	0	0	0	0	Up_hep_Down_hemocytes
XM_027350707.1	-15.5477098330133	1.64908380772838	-32.5772452755811	4.7368090563221e-14	7.69672539023111e-11	18.5771236201219	26834	39864	31202	17230	26632	13611	0	0	0	0	0	0	574.800351701127	1034.51298022705	625.986090876983	856.382750598408	910.087756887151	348.061682429058	0	0	0	0	0	0	Up_hep_Down_hemocytes
XM_027353045.1	-15.239057439977	1.49585781144975	-32.820388837352	4.29669633439616e-14	7.69672539023111e-11	18.657931111836	19746	37582	24732	15452	13687	15014	0	0	0	0	0	0	422.971146481719	975.292665635483	496.182552386691	768.010810345131	467.721955861912	383.939321136571	0	0	0	0	0	0	Up_hep_Down_hemocytes
XM_027358238.1	-16.829252387459	2.28336900882906	-34.0572724624466	2.64443126090907e-14	7.69672539023111e-11	18.648637682937	63835	74314	66874	49778	80224	32181	0	0	0	0	0	0	1367.38393272868	1928.52693188322	1341.65097882531	2474.11610907067	2741.47192131702	822.935346576262	0	0	0	0	0	0	Up_hep_Down_hemocytes
XM_027362713.1	-15.5288271255081	1.641639048079	-35.8084806410422	1.36883159138101e-14	7.69672539023111e-11	19.1037710359437	26185	24993	39067	16089	29090	16375	0	0	0	0	0	0	560.89838299523	648.594795173956	783.77663650699	799.671623585478	994.084291373056	418.742932170731	0	0	0	0	0	0	Up_hep_Down_hemocytes
XM_027371819.1	-15.1181101721215	2.20908392770117	-32.58713417679	4.7179941087746e-14	7.69672539023111e-11	18.5346427020197	40658	32352	45548	21277	41229	16726	0	0	0	2	2	0	870.918711316405	839.568631755605	913.800861075086	1057.53080583182	1408.90688377517	427.718734869475	0	0	0	0.0345374062710823	0.0303279766196734	0	Up_hep_Down_hemocytes
XM_027374911.1	-14.0161239561213	0.890168395999911	-33.5882355846194	3.17230684294783e-14	7.69672539023111e-11	18.9260985865028	12027	11319	11397	4689	8922	5823	0	0	0	0	0	0	257.625543337164	293.740026670428	228.650838975866	233.057383491349	304.888966917511	148.906265284285	0	0	0	0	0	0	Up_hep_Down_hemocytes
XM_027382185.1	-13.6907261143173	0.728902111222912	-33.7935154552015	2.92852541219327e-14	7.69672539023111e-11	18.9936715950105	8408	7486	11345	3562	7496	5183	0	0	0	0	0	0	180.104395807672	194.269620960758	227.607595698974	177.042098527657	256.158674738138	132.540129309368	0	0	0	0	0	0	Up_hep_Down_hemocytes
XM_027383260.1	-19.783267616649	3.76096477652259	-32.554545071378	4.78030485531829e-14	7.69672539023111e-11	17.920654173936	392337	559627	375183	841426	568243	225219	0	0	0	0	0	0	8404.09352259689	14522.9127931347	7527.06042989229	41821.3994373196	19418.4063246029	5759.31996583572	0	0	0	0	0	0	Up_hep_Down_hemocytes
