ID	logFC	AveExpr	t	P.Value	adj.P.Val	B	hemocytes_1	hemocytes_2	hemocytes_3	hemocytes_4	hemocytes_5	hemocytes_6	gills_1	gills_2	gills_3	gills_4	gills_5	gills_6	hemocytes_1_normalized	hemocytes_2_normalized	hemocytes_3_normalized	hemocytes_4_normalized	hemocytes_5_normalized	hemocytes_6_normalized	gills_1_normalized	gills_2_normalized	gills_3_normalized	gills_4_normalized	gills_5_normalized	gills_6_normalized	Expression
XM_027350604.1	2.38009734046762	2.95269859967917	8.58161684047506	7.85988191945868e-07	7.89377272749887e-06	6.20483711428742	148	56	45	184	163	159	28	1160	1461	943	749	911	5.36595750818225	3.96759804294879	2.74096749667047	3.49620774260584	2.71947634104258	3.37098196285161	8.29943057513469	15.6222865729455	17.6875877093128	19.9932784310227	25.1443040446592	20.4047062895274	Down_hemocytes_Up_gills
XM_027350605.1	2.35937558370253	3.01200841999835	8.56245820860087	8.06508247464951e-07	8.07600690909691e-06	6.17664568765824	158	51	48	192	181	174	28	1305	1574	870	789	964	5.72852220468105	3.6133482176855	2.92369866311517	3.64821677489305	3.01978661183256	3.68899912915836	8.29943057513469	17.5750723945637	19.0556215294034	18.445548499459	26.4871240203419	21.5918077531333	Down_hemocytes_Up_gills
XM_027350606.1	3.40356126520086	2.46196681086221	10.8689180112129	4.74002162053897e-08	8.09182606566507e-07	9.00050697746215	89	38	23	65	106	50	38	1093	1522	816	754	857	3.22682579883933	2.69229867200096	1.40093894274268	1.23507338733358	1.76849381687432	1.06005722102252	11.2635129233971	14.7199648484737	18.426083842282	17.3006523856994	25.3121565416195	19.1952066850988	Down_hemocytes_Up_gills
XM_027350607.1	3.56428491181629	2.61081576135508	11.3508463446633	2.78637396139832e-08	5.33521581820447e-07	9.51712710355933	79	26	20	102	96	82	35	1226	1806	1029	990	1178	2.86426110234053	1.84209909136908	1.21820777629799	1.93811516166193	1.60165477754655	1.73849384247693	10.3742882189184	16.5111408089924	21.8643281334831	21.8166315010842	33.2347943981476	26.3850098892023	Down_hemocytes_Up_gills
XM_027350614.1	-2.11829144984954	5.27414020994424	-7.66907480554062	2.81221627182452e-06	2.28457301814774e-05	4.83588609809586	1985	874	1279	4793	5273	3877	114	785	983	1060	756	900	71.9690922550119	61.9228694560221	77.9043872942562	91.0724114690749	87.9742254375309	82.196836918086	33.7905387701912	10.5719784135881	11.9006835853898	22.4738866775017	25.3792975404036	20.1583267404772	Up_hemocytes_Down_gills
XM_027350615.1	-2.11298899395249	5.23584459208333	-7.2839519179371	4.9646934591062e-06	3.74012773084549e-05	4.25342986275235	1810	807	1302	4636	5377	3858	112	693	1026	1111	719	862	65.6242100662829	57.1759217974941	79.3053262369989	88.0892342104384	89.7093514465396	81.7940151740975	33.1977223005388	9.33296947849246	12.4212628266632	23.5551774516079	24.1371890628971	19.3071973892126	Up_hemocytes_Down_gills
XM_027350619.1	-2.11585580433274	7.16726426891214	-6.64307218575702	1.33408575120139e-05	8.68765225112112e-05	3.26617804229908	12956	5959	7086	10457	12275	9653	113	5554	6559	3725	2615	3512	469.738820783846	422.194941748782	431.611015142377	198.69480632842	204.794920774832	204.654647090607	33.494130535365	74.7984307121892	79.4064940351694	78.9766300695225	87.7868559102586	78.6622705695064	Up_hemocytes_Down_gills
XM_027350620.1	3.64551257344168	2.76119243266026	6.94695769937397	8.29241999457632e-06	5.78801384104192e-05	3.86164865607389	28	19	14	157	167	132	207	1683	5332	705	488	643	1.01518115019664	1.34614933600048	0.85274544340859	2.9831772586365	2.78621195677369	2.79855106349945	61.3565046090314	22.665783019196	64.5518259179026	14.9472548185271	16.3824037033293	14.4020045490298	Down_hemocytes_Up_gills
XM_027350634.1	6.61338764523238	-0.995721560362208	9.43117274828518	2.6085037738645e-07	3.15675371295503e-06	7.28019943730069	0	0	0	2	8	6	24	842	801	147	60	122	0	0	0	0.0380022580718026	0.133471231462213	0.127206866522702	7.11379763582973	11.3396252538105	9.69730168046512	3.11666164301203	2.0142299635241	2.73257318037579	Down_hemocytes_Up_gills
XM_027350642.1	8.93030490435105	0.908603636857503	9.84377667175735	1.56790007430059e-07	2.1007884131862e-06	7.7745068425275	3	0	5	2	2	6	69	4354	20008	853	918	1273	0.10876940894964	0	0.304551944074497	0.0380022580718026	0.0333678078655531	0.127206866522702	20.4521682030105	58.6374446022456	242.226731613915	18.0851182414235	30.8177184419187	28.5128332673638	Down_hemocytes_Up_gills
