ID	muscle_1_normalized	muscle_2_normalized	muscle_3_normalized	muscle_4_normalized	muscle_5_normalized	muscle_6_normalized	gills_1_normalized	gills_2_normalized	gills_3_normalized	gills_4_normalized	gills_5_normalized	gills_6_normalized
XM_027350592.1	10.5410233553012	5.78904412305017	3.80172966565854	17.3519561024771	15.2008391495204	25.3500870330417	77.8047236519838	15.1256367416718	12.0149274983405	23.661419666349	24.7702550745759	23.8950431110587
XM_027350593.1	38.6504189694379	0	7.60345933131708	8.67597805123855	13.3007342558303	15.210052219825	93.3656683823806	16.7462406782795	16.9810975309879	28.2226571923922	28.3732012672415	30.9750558847058
XM_027350594.1	0	8.68356618457525	7.60345933131708	14.4599634187309	9.50052446845024	11.8300406154195	51.8698157679892	12.6046972847265	16.1801023644319	27.6525025016368	33.3272522821567	21.5350388531764
XM_027350595.1	17.5683722588354	11.5780882461003	7.60345933131708	11.5679707349847	13.3007342558303	30.42010443965	129.674539419973	14.4053683254017	16.5005004310543	23.661419666349	30.6250426376575	23.0100415143529
XM_027350597.1	298.662328400202	228.667242860482	258.517617264781	218.345447622837	273.615104691367	180.830620835697	586.128918178278	263.618240354851	282.591094760969	289.638582903742	284.632749220582	242.785438029646
XM_027350603.1	1022.47926546422	822.044265473124	1034.07046905912	482.962778185613	421.823286399191	730.082506551601	503.137212949496	810.121901199778	615.80508404828	834.706467265901	880.469975832654	846.651527515291
XM_027350604.1	66.7598145835745	72.3630515381271	60.8276746505367	43.3798902561928	79.804405534982	76.0502610991251	145.23548415037	208.877840718325	234.050787667674	268.82793669117	337.325837288316	268.745484866352
XM_027350605.1	52.7051167765062	98.4137500918529	72.2328636475123	67.9618280680353	91.2050348971223	91.2603133189501	145.23548415037	234.987570808115	252.15327843184	248.017290478598	355.340568251644	284.380513074823
XM_027350606.1	21.0820467106025	52.1013971074515	38.0172966565854	43.3798902561928	89.3049300034323	87.8803017145445	197.105299918359	196.813344745801	243.822928699657	232.623113828202	339.577678658732	252.815456125646
XM_027350607.1	21.0820467106025	95.5192280303278	53.2242153192196	37.5959048887004	49.4027272359413	74.3602552969223	181.544355187962	220.762269586781	289.31945416004	293.344588393652	445.864591342367	347.510626973175
XM_027350608.1	284.607630593133	329.97551501386	285.129724924391	86.7597805123855	123.506818089853	30.42010443965	15.5609447303968	46.997514161623	38.9283650946233	59.2960878385613	46.8383005046527	57.5251037858822
XM_027350614.1	56.2187912282732	40.5233088613512	0	85.3137841705124	47.5026223422512	72.6702494947195	591.315899755077	141.352676693004	157.475649744917	302.18198610036	340.478415206898	265.500479011764
XM_027350615.1	45.677767872972	57.8904412305017	41.819026322244	59.2858500167968	26.6014685116607	91.2603133189501	580.941936601479	124.786503118792	164.364208177298	316.720930714623	323.81478906582	254.290458786823
XM_027350616.1	63.2461401318074	28.9452206152508	49.4224856535611	102.66574027299	53.2029370233214	84.5002901101389	705.429494444654	127.487509679805	156.354256511738	291.349046976008	293.189746428162	252.520455593411
