ID	logFC	AveExpr	t	P.Value	adj.P.Val	B	ovary_1	ovary_2	ovary_3	ovary_4	ovary_5	gills_1	gills_2	gills_3	gills_4	gills_5	ovary_1_normalized	ovary_2_normalized	ovary_3_normalized	ovary_4_normalized	ovary_5_normalized	gills_1_normalized	gills_2_normalized	gills_3_normalized	gills_4_normalized	gills_5_normalized	Expression
XM_027360707.1	-18.7634743697626	2.39719970556203	-45.2152972300631	3.39494180265617e-15	2.92272425354854e-11	17.9483961813911	132080	127826	107914	122556	96269	0	0	0	0	0	4576.16837683558	3961.75034326698	3214.9161288113	2952.36714264886	3108.71179875148	0	0	0	0	0	Up_ovary_Down_gills
XM_027367844.1	-17.889779443489	1.96082265314342	-44.1326682105445	4.58367428628057e-15	2.92272425354854e-11	17.888424466356	55731	47775	68013	80081	71995	0	0	0	0	0	1930.90884168249	1480.70519807848	2026.20689316347	1929.14678310701	2324.85749255848	0	0	0	0	0	Up_ovary_Down_gills
XM_027376192.1	-18.2737502197895	2.15258090605891	-43.9587251554892	4.81344574036322e-15	2.92272425354854e-11	17.8699895270688	64521	78203	82298	89164	106530	0	0	0	0	0	2235.45548032865	2423.76951554854	2451.77796735282	2147.95574192322	3440.059291371	0	0	0	0	0	Up_ovary_Down_gills
XM_027353517.1	-16.843487692547	1.43739205126869	-41.9932830346506	8.480518544438e-15	3.18121440551166e-11	17.7385472263006	31397	30757	29623	30448	31842	0	0	0	0	0	1087.81010393327	953.261115171112	882.512560777816	733.490606411537	1028.23963161396	0	0	0	0	0	Up_ovary_Down_gills
XM_027366982.1	-16.6111464823985	1.32154814764023	-41.6161180645152	9.48244538926467e-15	3.18121440551166e-11	17.709734218649	19454	30556	30380	30447	22597	0	0	0	0	0	674.021650537245	947.031460648584	905.064699606051	733.466516467816	729.700739764484	0	0	0	0	0	Up_ovary_Down_gills
XM_027380767.1	-18.9319581638088	2.48133257460848	-41.2816586954246	1.04783083185496e-14	3.18121440551166e-11	17.6505815785174	150576	100583	108284	142916	164322	0	0	0	0	0	5216.99825492424	3117.39970566882	3225.93897077491	3442.83839680476	5306.27450367658	0	0	0	0	0	Up_ovary_Down_gills
XM_027356379.1	-16.4459848599318	1.55590938033431	-39.4217008772804	1.85347992254739e-14	4.82328432416045e-11	17.5148170249565	20028	32090	27416	33661	35443	1	0	0	0	0	693.908996451113	994.575192178723	816.762798038166	810.891595586533	1144.52287115425	0.00978381789595409	0	0	0	0	Up_ovary_Down_gills
XM_027367725.1	-15.9133292190752	0.972450816201363	-38.7769438535734	2.27273405521961e-14	5.17501544373505e-11	17.4585898740426	13845	18518	15509	15679	17725	0	0	0	0	0	479.686941075777	573.934042030713	462.035827063537	377.706227598742	572.374457331747	0	0	0	0	0	Up_ovary_Down_gills
XM_027356202.1	-15.4879597136923	1.22433413159828	-37.8455760744206	3.06952265062985e-14	6.00924874399986e-11	17.3642487743146	13256	16942	14855	21208	17902	2	0	0	0	0	459.279891000397	525.088591645121	442.55220910625	510.899526431157	578.090128922591	0.0195676357919082	0	0	0	0	Up_ovary_Down_gills
XM_027364776.1	-16.0350786704971	1.03363334697921	-36.6411614783446	4.57746321875086e-14	6.00924874399986e-11	17.233597942404	11974	13819	18644	25413	21540	0	0	0	0	0	414.862508663153	428.29649675032	555.432069106492	612.197739777207	695.568169868876	0	0	0	0	0	Up_ovary_Down_gills
XM_027366999.1	-16.7914966329429	1.97321896514843	-36.820747141435	4.30917491045473e-14	6.00924874399986e-11	17.2432535789245	32066	55673	42383	53198	40379	3	0	0	0	0	1110.98890953672	1725.49032951593	1262.65165119826	1281.5368260602	1303.91583710006	0.0293514536878623	0	0	0	0	Up_ovary_Down_gills
XM_027375757.1	-15.4443375296061	0.737997100065662	-36.5121111302503	4.78137089138616e-14	6.00924874399986e-11	17.2222062570994	10146	14339	13622	11170	9828	0	0	0	0	0	351.527894846864	444.413015913079	405.819333049165	269.084671361563	317.365086976384	0	0	0	0	0	Up_ovary_Down_gills
XM_027376193.1	-16.6277552949582	1.89101233370904	-36.4107948826885	4.94832735836615e-14	6.00924874399986e-11	17.1989034637086	32754	40297	42154	37835	43671	3	0	0	0	0	1134.82600707808	1248.93725519558	1255.82940576674	911.443020677237	1410.22087030379	0.0293514536878623	0	0	0	0	Up_ovary_Down_gills
XM_027378554.1	-16.7377248094611	1.38444992174493	-37.1713397072482	3.83306472983458e-14	6.00924874399986e-11	17.2874272419763	27634	32796	22887	26785	34586	0	0	0	0	0	957.433653281908	1016.45646627278	681.83725411072	645.249142562172	1116.848687237	0	0	0	0	0	Up_ovary_Down_gills
XM_027380768.1	-17.9008028573816	2.52714261177559	-37.4076724530989	3.54433850889388e-14	6.00924874399986e-11	17.2923048827877	109605	84834	86966	91765	101858	3	0	0	0	0	3797.47830816977	2629.2861281798	2590.84452488281	2210.61368554108	3289.19139491662	0.0293514536878623	0	0	0	0	Up_ovary_Down_gills
XM_027369058.1	-16.6765722237307	1.35384704722792	-35.7701559689199	6.16120363517367e-14	6.07762570806197e-11	17.1288798054591	28622	32010	33544	22532	22445	0	0	0	0	0	991.664834053512	992.095727692145	999.324894127234	542.794611917524	724.792366420934	0	0	0	0	0	Up_ovary_Down_gills
