ID	logFC	AveExpr	t	P.Value	adj.P.Val	B	muscle_1	muscle_2	muscle_3	muscle_4	muscle_5	hep_1	hep_2	hep_3	hep_4	hep_5	muscle_1_normalized	muscle_2_normalized	muscle_3_normalized	muscle_4_normalized	muscle_5_normalized	hep_1_normalized	hep_2_normalized	hep_3_normalized	hep_4_normalized	hep_5_normalized	Expression
XM_027365884.1	-13.5959891860399	7.80443394606097	-27.2266719280913	5.09934615799888e-12	1.3819228088177e-08	16.3703137361749	764191	332366	467974	396701	505866	184	139	409	322	74	9974.82751415431	34101.549864662	38866.0836003785	34101.2451248991	21390.0412527977	1.6397253189523	1.83070356948371	3.88230171658488	3.26132824911069	0.8369758453898	Up_muscle_Down_hep
XM_027365885.1	-13.6533806306357	7.58733252213047	-29.1299352518945	2.3218721568603e-12	1.3819228088177e-08	16.7748402435861	660168	307431	428873	347158	408428	164	115	280	256	79	8617.03674914285	31543.1589766791	35618.6751228596	29842.4255423347	17269.9722234696	1.4614943060227	1.51461086683904	2.65781046612168	2.59285724152899	0.893528267375597	Up_muscle_Down_hep
XM_027367223.1	-12.7728845739205	3.53567838090903	-27.3215402747366	4.89712630283485e-12	1.3819228088177e-08	14.4710212966713	56665	11422	10102	13747	24004	15	3	18	22	17	739.63655825514	1171.92463294732	838.989295411761	1181.72078399598	1014.98529300676	0.133673259697198	0.0395115878305837	0.170859244250679	0.222823669193898	0.192278234751711	Up_muscle_Down_hep
XM_027367224.1	-12.6209638659498	3.40871664322312	-29.0129350704859	2.43336115517658e-12	1.3819228088177e-08	14.7515522077877	53639	9985	8918	10703	20679	13	4	14	15	24	700.138804345671	1024.48498161259	740.655962827369	920.052196923615	874.390971258404	0.115850158404239	0.052682117107445	0.132890523306084	0.151925228995839	0.271451625531827	Up_muscle_Down_hep
XM_027367225.1	-12.7426944325313	3.34772038887433	-28.5035499916428	2.99107227006888e-12	1.3819228088177e-08	14.6292410987361	53657	10015	8966	10954	20121	12	3	16	15	19	700.373754633302	1027.56305366551	744.642449283493	941.628680286021	850.796495608605	0.106938607757759	0.0395115878305837	0.151874883778382	0.151925228995839	0.21489920354603	Up_muscle_Down_hep
XM_027370962.1	-12.8401246822766	3.56598101918764	-28.0762107812886	3.56634382359969e-12	1.3819228088177e-08	14.6073738816283	59909	8821	16542	11932	25213	6	8	27	19	13	781.979821203692	905.055785959406	1373.84289494173	1025.6995995228	1066.10665691465	0.0534693038788793	0.10536423421489	0.256288866376019	0.19243862339473	0.147036297163073	Up_muscle_Down_hep
XM_027367222.1	-12.6189922952271	3.65634933475618	-23.5667471002214	2.7235234429087e-11	5.53556139771193e-08	13.7094803491835	57030	11871	10334	13212	27514	20	2	26	21	26	744.40082797654	1217.99311133932	858.257313283027	1135.73106846256	1163.40215596517	0.178231012929598	0.0263410585537225	0.24679668613987	0.212695320594175	0.294072594326146	Up_muscle_Down_hep
XM_027367243.1	-13.5707058389064	4.5240308123627	-23.764821102954	2.47198490741947e-11	5.53556139771193e-08	13.8535531621245	136103	36854	38887	30281	45298	25	4	36	62	11	1776.52438874436	3781.30891460695	3229.63539206861	2603.01789919125	1915.38092828779	0.222788766161997	0.052682117107445	0.341718488501359	0.627957613182803	0.124415328368754	Up_muscle_Down_hep
XM_027368559.1	-15.8004302419167	3.58382450065408	-21.3406157088984	8.56967778349678e-11	1.51863753931875e-07	12.7965411473409	209446	34591	50904	46616	27587	25	1	2	2	10	2733.85544128309	3549.11967941524	4227.66888671949	4007.2085594498	1166.48888844265	0.222788766161997	0.0131705292768612	0.0189843604722977	0.0202566971994453	0.113104843971595	Up_muscle_Down_hep
XM_027378454.1	-11.7871668760044	2.35312186383456	-21.181886169981	9.33971426395296e-11	1.51863753931875e-07	12.8615985556267	23797	2712	6688	2522	5967	20	5	9	13	2	310.617333041517	278.25771358371	555.450446219942	216.796378645367	252.3086670293	0.178231012929598	0.0658526463843062	0.0854296221253396	0.131668531796394	0.0226209687943189	Up_muscle_Down_hep
