ID	hep_1_normalized	hep_2_normalized	hep_3_normalized	hep_4_normalized	hep_5_normalized	hep_6_normalized	gills_1_normalized	gills_2_normalized	gills_3_normalized	gills_4_normalized	gills_5_normalized	gills_6_normalized
XM_027350592.1	42.7040945811037	45.1505145147905	65.4057899936893	48.5009760286016	20.3426405555829	38.7201410955402	153.282896789482	41.8904257293152	32.3722849633016	62.0794766587888	63.4430564326307	66.3789926105182
XM_027350593.1	52.4904495892732	42.0004786184097	47.1915193625353	55.9626646483865	20.3426405555829	55.5981513166732	183.939476147378	46.3786856288847	45.7528294147996	74.0466046893987	72.6711373682861	86.0468422728939
XM_027350594.1	55.1594555005922	28.3503230674266	48.0194407548605	48.5009760286016	35.8987774510287	32.763196311611	102.188597859654	34.9086881077627	43.5946770839129	72.5507136855724	85.3597486548123	59.8230427230596
XM_027350595.1	39.1454200326783	50.4005743420917	60.4382616397382	67.1551975780638	20.3426405555829	33.7560204422659	255.471494649136	39.8956435517288	44.4579380162676	62.0794766587888	78.4386879530707	63.9205114027212
XM_027350596.1	138.788307388587	261.452979399601	225.194618712449	257.428257382578	161.544498529629	183.672464171152	40.8754391438618	51.3656410728508	36.6885896250752	26.9260380688722	6.92106070174153	11.4729123030525
XM_027350597.1	334.515407551979	304.503469983471	283.149116175212	516.721936920102	425.998825752208	483.505351628926	1154.7311558141	730.090276996636	761.396142336854	759.912629943728	729.018393916775	674.443344672302
XM_027350603.1	1700.15676551019	1906.8217292758	1845.43678349283	1982.94375070783	1854.77016830315	1569.65495056536	991.229399238648	2243.63125424035	1659.18751198575	2189.98442960161	2255.11227865078	2351.94702212577
XM_027350604.1	339.853419374617	242.552764021316	419.756145908867	259.293679537524	357.791148595253	219.414132874728	286.128074007032	578.486831500067	630.612111085116	705.31260830407	863.979077600735	746.558793434346
XM_027350605.1	418.144259439973	311.853553741692	522.418398557189	384.276963918921	358.987774510287	248.206032663719	286.128074007032	650.797685437576	679.386353763157	650.712586664413	910.119482279012	789.991961438759
XM_027350606.1	235.762188833176	243.602775986776	327.856871360772	268.620790312255	287.19021960823	147.930795467577	388.316671866687	545.074230025494	656.941569521934	610.323529561104	869.74662818552	702.306131694001
XM_027350607.1	275.797277502961	238.352716159475	339.447770853324	281.678745396879	327.875500719396	220.406957005383	357.660092508791	611.400737430243	779.524621916303	769.635921468598	1141.97501578735	965.363620928276
XM_027350608.1	229.534508373432	202.652309333827	232.645911243376	126.848706536343	149.578239379286	87.3685234976293	30.6565793578963	130.159537087515	104.886203281097	155.572664397929	119.96505216352	159.801278506803
XM_027350614.1	164.58869786467	117.601340131547	163.928435680386	74.6168861978487	99.3199509478462	194.593529608356	1164.95001560006	391.476002351339	424.29274825234	792.822232027905	872.053648419433	737.544362339091
XM_027350615.1	168.147372413096	116.551328166087	186.282313273166	83.9439969725798	123.252469248532	168.780102211329	1144.51229602813	345.59601226685	442.852858297966	830.967452625474	829.373774092027	706.403600373662
XM_027350616.1	169.037041050202	114.451304235167	160.616750111085	48.5009760286016	130.432224738738	162.8231574274	1389.7649308913	353.0764454328	421.271334989099	764.400302955207	750.935086138957	701.486637958068
XM_027350617.1	199.285774711817	208.952381126588	181.314784919215	292.871278326556	353.004644935116	313.732425286941	357.660092508791	426.883386003498	516.230037548117	512.342668810486	520.233062747572	475.306366840747
XM_027350619.1	2496.41019572035	2909.58315629033	2391.86490242745	2579.87884029062	2587.10522830414	2297.39503833539	1154.7311558141	2769.75505357877	2831.06422765727	2786.09699462636	3016.42895584235	2878.06200059432
XM_027350620.1	195.727100163392	401.104570805813	199.529055550369	388.007808228813	215.392664706172	482.512527498271	2115.30397569485	839.304601219494	2301.45364565766	527.301578848748	562.912937074978	526.934472204484
XM_027350627.1	3003.52131887096	3219.33668610111	3809.26632608816	3059.2923341118	3520.47344203088	3522.54001556351	13202.7668434674	6326.95037175979	6826.66745306105	5799.56942183432	6045.54652297123	6856.70408854575
XM_027350629.1	201.954780623136	144.901651233514	210.292033650596	111.925329296773	76.5840585621946	70.4905132764963	112.40745764562	36.4047747409525	97.1168548899049	91.2493512334004	99.2018700582953	67.1984863464505
XM_027350634.1	5.33801182263796	1.05001196546024	5.79544974627627	14.9233772395697	14.3595109804115	58.5766237086378	245.252634863171	419.901648381945	345.736003408061	109.947988781228	69.2106070174154	99.9782357837434
XM_027350635.1	406.578567157591	389.55443918575	551.395647288571	419.719984862899	564.807431896185	219.414132874728	2811565.9872116	5718.54180759592	2585.46649240236	834.70718013504	852.443976431166	1048.95198199337
XM_027350640.1	1909.22889523018	842.109596299115	846.135662956335	287.275011861717	260.864449477475	912.405376071833	1175.16887538603	2766.76288031239	3477.21503552477	5095.00475903216	7896.93026068709	7237.76867575428
XM_027350641.1	346.970768471467	298.203398190709	288.116644529163	408.527451933221	291.976723268367	286.92617375926	6836.41719681088	277.773418228912	357.39002599485	359.013840918297	214.552881753988	343.367875355643
XM_027350642.1	50.7111123150606	50.4005743420917	66.2337113860145	404.796607623329	56.2414180066117	8612.74933343107	705.101325231616	2171.32040030284	8636.06236727652	637.99751313189	1058.92228736645	1043.21552584185
XM_027350643.1	56.9387927748049	44.1005025493302	60.4382616397382	425.316251327737	37.095403366063	8857.97689370282	766.414483947408	2259.09081611664	9299.91002425729	772.627703476251	1177.73382941302	1130.08186185067
XM_027350644.1	32.9177395729341	5.25005982730122	35.6006198699828	13.0579550846235	44.2751588562688	792.273656262593	30.6565793578963	51.3656410728508	91.9372892957766	213.164468045239	595.211220349772	259.779514290546
XM_027350645.1	13.3450295565949	25.2002871710458	30.6330915160317	42.904709563763	34.7021515359944	739.653977337884	30.6565793578963	45.8799900844881	66.4710917913127	216.904195554804	663.26831725023	232.73622100478
XM_027350646.1	46.262769129529	19.9502273437446	42.2239910085842	70.8860418879562	26.3257701307544	188.636584824427	3556.16320551597	74.3056361150948	116.108595401709	119.671280306099	99.2018700582953	172.093684545788
XM_027350647.1	1206.39067191618	906.16032619219	1044.83679711438	770.419349992787	733.53168591602	786.316711478663	286.128074007032	821.850257165613	794.631688232511	1145.10456342898	983.944129764255	1140.73528041779
XM_027350648.1	1217.06669556145	996.461355221771	1143.35944280108	884.210101444507	807.722492648146	693.98406732776	408.754391438618	866.732856161308	804.990819420767	1006.73464557506	1009.32135233731	1235.79655378594
XM_027350649.1	988.421855825128	918.760469777713	981.914771297665	718.187529654293	731.138434085952	641.364388403051	439.410970796514	773.975484903538	788.588861706028	958.866133452617	949.338826255547	1056.32742561676
XM_027350661.1	53.3801182263796	68.2507777549158	55.4707332857871	46.6355538736554	50.2582884314402	54.6053271860183	91.969738073689	38.8982524629356	30.6457630985922	63.575367662615	34.6053035087077	53.267092835601
XM_027350662.1	54.2697868634859	57.7506581003134	67.8895541706649	26.115910169247	50.2582884314402	50.6340306633988	51.0942989298272	24.4360816754339	40.141633354494	47.1205666205264	49.6009350291477	77.0324111776384
