ID	lminusProb
XM_027354695.1	3.5527136788005e-15
XM_027371819.1	2.8199664825479e-14
XM_027362713.1	8.67084182232247e-14
XM_027375663.1	1.17461596005342e-13
XM_027365010.1	4.07895939247283e-13
XM_027356531.1	1.4669908621201e-08
XM_027356029.1	1.02451226435818e-05
XM_027373625.1	7.46807171644326e-05
XM_027363322.1	9.16970064603895e-05
XM_027375329.1	0.00065518699981415
XM_027357173.1	0.000841744941992295
XM_027365030.1	0.0020315409662095
XM_027375919.1	0.00212184164414209
XM_027375190.1	0.00229078403303906
XM_027354783.1	0.00239900816463057
XM_027379504.1	0.00274780013618914
XM_027354222.1	0.00294752923996267
XM_027383256.1	0.00312724512921059
XM_027350707.1	0.0031321052058344
XM_027368091.1	0.00316023162227497
XM_027364873.1	0.00318101311964436
XM_027376807.1	0.00319226595793953
XM_027370161.1	0.00320334170051129
XM_027375188.1	0.00322455396478893
XM_027366472.1	0.00322554925720031
XM_027356246.1	0.00322728428801533
XM_027365162.1	0.0032339996230959
XM_027360141.1	0.00324281591239906
XM_027375761.1	0.00324853864711028
XM_027382197.1	0.00325421045425645
XM_027360936.1	0.00328736811906405
XM_027370159.1	0.00332680770123206
XR_003477669.1	0.00332997760242149
XM_027350808.1	0.00338108286535632
XM_027365464.1	0.00344817606551984
XM_027372482.1	0.00364685629605954
XM_027381774.1	0.00366205881972193
XM_027351847.1	0.00368826914260079
XM_027373642.1	0.00374704449082142
XM_027376409.1	0.0037767027221004
XM_027380803.1	0.00381638273766993
XM_027366537.1	0.00382479597276331
XM_027353045.1	0.00385270222288592
XM_027373288.1	0.00385583346725571
XM_027358237.1	0.00389570153901653
XM_027356912.1	0.00390384623668594
XM_027354784.1	0.00406835735322808
XM_027364912.1	0.00408961372481431
XM_027350706.1	0.0041975459142255
XM_027378174.1	0.0042614676297702
XM_027383830.1	0.00431431153856876
XM_027361823.1	0.00444619405506919
XM_027364871.1	0.0044478856140594
XM_027356274.1	0.0044601273029834
XM_027366397.1	0.00457921618298174
XM_027357011.1	0.00458557589580499
XM_027360388.1	0.00461817651065921
XM_027360143.1	0.00464136322151354
XM_027365373.1	0.00466564269778913
XM_027362539.1	0.00468114073151404
XM_027368483.1	0.00504334230512959
XM_027357490.1	0.00505353026658051
XM_027377051.1	0.00506005622510008
XM_027369766.1	0.00510395979470069
XM_027358583.1	0.00525352734041484
XM_027370158.1	0.00531539479072174
XM_027380833.1	0.00542453171030932
XM_027350715.1	0.00557218220659716
XM_027354257.1	0.00566413997822901
XM_027379918.1	0.00566489624074662
XM_027377792.1	0.00566922307237583
XM_027377421.1	0.00567078708475466
XR_003476390.1	0.00567639718273372
XM_027383261.1	0.00573708683903906
XM_027366040.1	0.00573846001148326
XM_027375191.1	0.00574120896696173
XM_027364078.1	0.0057598878241244
XM_027368522.1	0.00579680868792365
XM_027360286.1	0.00583280139041864
XM_027371448.1	0.00584525122135615
XM_027377688.1	0.00585219717614904
XM_027360881.1	0.00587596046897843
XM_027369687.1	0.0058937478438531
XM_027360499.1	0.00589395985980434
XM_027352495.1	0.00589580549988367
XM_027361798.1	0.0059000917366282
XM_027365200.1	0.00590093343471809
XM_027361737.1	0.00591183556973207
XM_027363951.1	0.00591701656402965
XM_027358966.1	0.00591712675411116
XM_027382680.1	0.0059362932516287
XM_027369306.1	0.00593989257841199
XM_027371169.1	0.0059468855515461
XM_027368084.1	0.00594803466260152
XM_027377205.1	0.00595066965965796
XM_027362128.1	0.00595383171666564
XM_027350934.1	0.00597063904681938
