ID	edgeR_logFC	limma_logFC	NOISeq_log2FC_SigInv	DESeq2_log2FoldChange
XM_027350596.1	-2.8616586964461	-2.9838003826461	-2.8171779472232	-3.01672491135173
XM_027350614.1	2.39947698104425	2.2497104256802	2.42771421834786	2.36681192713939
XM_027350615.1	2.31689586716038	2.13858185402797	2.34387639147418	2.27729276778418
XM_027350616.1	2.44822941845646	2.2498959356283	2.47889182872073	2.43966241269643
XM_027350620.1	1.84964766680738	1.58700435004729	1.86850784824011	1.82747058145487
XM_027350630.1	-8.72744446740858	-9.30352759190174	-8.58670877935533	-8.93494077170762
XM_027350634.1	3.65327656343461	4.24418901287233	3.68870947249663	3.59019239547442
XM_027350635.1	10.0921793132651	3.33652967362886	10.111483302343	10.3635811539784
XM_027350640.1	2.44061119694637	2.54335531131431	2.45057514184768	2.32152498929174
XM_027350641.1	2.10158260245079	0.300628212103742	2.12676738572752	2.30413675178839
XM_027350642.1	0.591177428710749	3.17572452446353	0.625085479623417	0.519269510906486
XM_027350643.1	0.666327466943755	3.41858856440276	0.700236174271711	0.595139631774831
XM_027350646.1	3.34902570086365	1.49723374511411	3.39146261129979	3.60807094340916
XM_027350653.1	-9.17707384915206	-10.7226781383057	-9.16019474813417	-9.3673358100498
XM_027350664.1	1.36857352847801	1.5070180370199	1.44971268168287	1.24252988942096
XM_027350665.1	9.82922056326075	10.9824733659525	9.8437998229506	9.72289589803085
XM_027350674.1	2.80338337581373	1.51832553641734	2.80104766997541	2.60923671378192
XM_027350702.1	-5.46317581784852	-5.67642499869219	-5.56225510193792	-5.61388642104707
XM_027350706.1	-9.15459397410065	-12.9871074604763	-9.14847277613566	-9.38552145705297
XM_027350707.1	-9.35812943454146	-12.6415278021655	-9.35084051114079	-9.59392495523886
XM_027350709.1	-12.057355837558	-11.0936371676322	-10.8508864747849	-12.2519014196884
XM_027350712.1	-9.4200856911336	-11.9759735972472	-9.40917346720443	-9.65698680434371
XM_027350715.1	-9.18902306400486	-11.916648503058	-9.18511704195606	-9.42931909784318
XM_027350717.1	-4.88492538990394	-5.3997583975356	-4.88816859974704	-5.07250399178947
XM_027350718.1	-4.46336509368131	-4.77635212457735	-4.5170653879463	-4.62678190824993
