Contig	lncRNA_ID	lncRNA_strand	mRNA_ID	mRNA_strand	DE_status	mRNA_Position	distance_Kb	product
NW_020868536.1	XR_003477129.1	+	XM_027372966.1	+	DE	1_U	6.032	uncharacterized LOC113820623
NW_020868536.1	XR_003477129.1	+	XM_027372959.1	+	not DE	2_U	24.853	chlorophyllase-2%2C chloroplastic-like
NW_020868536.1	XR_003477129.1	+	XM_027372947.1	+	not DE	3_U	44.862	exosome complex component RRP46-like
NW_020868536.1	XR_003477129.1	+	XM_027372920.1	-	DE	4_U	60.238	deoxyhypusine hydroxylase-like%2C transcript variant X1
NW_020868536.1	XR_003477129.1	+	XM_027372889.1	-	not DE	5_U	66.274	putative nuclease HARBI1
NW_020870924.1	XR_003477354.1	+	XM_027375392.1	+	DE	1_U	17.483	uncharacterized LOC113822860
NW_020870924.1	XR_003477354.1	+	XM_027375393.1	+	DE	1_D	2.901	low affinity immunoglobulin epsilon Fc receptor-like
NW_020870924.1	XR_003477354.1	+	XM_027375394.1	+	DE	2_D	29.969	macrophage mannose receptor 1-like
NW_020871338.1	XR_003477585.1	+	XM_027378182.1	-	not DE	1_U	18.139	uncharacterized protein DDB_G0271670-like
NW_020871338.1	XR_003477585.1	+	XM_027378181.1	-	not DE	2_U	39.297	extensin-like
NW_020869704.1	XR_003476267.1	+	XM_027363787.1	+	not DE	1_U	9.900	uncharacterized LOC113811934
NW_020869704.1	XR_003476267.1	+	XM_027363778.1	+	DE	2_U	32.399	semaphorin-5B-like
NW_020869704.1	XR_003476267.1	+	XM_027363777.1	+	not DE	3_U	90.884	vegetative cell wall protein gp1-like
NW_020869704.1	XR_003476267.1	+	XM_027363788.1	-	not DE	1_D	4.029	ubiquitin carboxyl-terminal hydrolase MINDY-1-like
NW_020869704.1	XR_003476267.1	+	XM_027363779.1	+	DE	2_D	109.694	ubiquitin carboxyl-terminal hydrolase MINDY-2-like
NW_020869704.1	XR_003476267.1	+	XM_027363789.1	-	DE	3_D	131.814	trypsin-1-like
NW_020869704.1	XR_003476267.1	+	XM_027363780.1	+	not DE	4_D	164.066	basic salivary proline-rich protein 2-like
NW_020869704.1	XR_003476267.1	+	XM_027363781.1	+	not DE	5_D	165.671	histidine-rich glycoprotein-like
NW_020869014.1	XR_003475695.1	+	XM_027356599.1	-	not DE	1_U	13.607	protein Asterix-like
NW_020869014.1	XR_003475695.1	+	XM_027356598.1	-	not DE	2_U	19.912	protein cornichon-like
NW_020869014.1	XR_003475695.1	+	XM_027356597.1	-	not DE	3_U	72.194	cuticle collagen bli-1-like
NW_020869014.1	XR_003475695.1	+	XM_027356602.1	+	not DE	4_U	117.550	dentin sialophosphoprotein-like
NW_020869014.1	XR_003475695.1	+	XM_027356600.1	-	not DE	1_D	11.790	NEDD8-activating enzyme E1 regulatory subunit-like
NW_020869014.1	XR_003475695.1	+	XM_027356604.1	-	not DE	2_D	114.001	probable serine/threonine-protein kinase samkC
NW_020869014.1	XR_003475695.1	+	XM_027356605.1	-	not DE	3_D	364.847	uncharacterized PE-PGRS family protein PE_PGRS3-like
NW_020869014.1	XR_003475695.1	+	XM_027356606.1	-	not DE	4_D	386.685	sex-determining region Y protein-like
NW_020869014.1	XR_003475695.1	+	XM_027356607.1	+	not DE	5_D	387.592	cell wall adhesin EAP1-like
NW_020870403.1	XR_003476901.1	-	XM_027370695.1	-	not DE	1_U	151.430	RNA-binding protein 28-like
NW_020870403.1	XR_003476901.1	-	XM_027370693.1	+	not DE	2_U	280.977	cGMP-dependent protein kinase%2C isozyme 1-like
NW_020870403.1	XR_003476901.1	-	XM_027370692.1	-	DE	3_U	296.506	uncharacterized LOC113818495
NW_020870403.1	XR_003476901.1	-	XM_027370694.1	+	not DE	4_U	288.561	cGMP-dependent protein kinase%2C isozyme 1-like
NW_020870403.1	XR_003476901.1	-	XM_027370702.1	+	not DE	5_U	316.472	translation initiation factor IF-2-like
NW_020870403.1	XR_003476901.1	-	XM_027370703.1	-	not DE	1_D	167.278	mucin-2-like
NW_020870929.1	XR_003477355.1	-	XM_027375421.1	-	DE	1_U	0.548	probable 4-coumarate--CoA ligase 3
NW_020870929.1	XR_003477355.1	-	XM_027375420.1	+	not DE	2_U	10.702	uncharacterized LOC113822889
NW_020870929.1	XR_003477355.1	-	XM_027375419.1	+	not DE	3_U	71.874	uncharacterized LOC113822888
NW_020870929.1	XR_003477355.1	-	XM_027375423.1	+	not DE	1_D	203.905	GTPase HRas-like
NW_020870929.1	XR_003477355.1	-	XM_027375418.1	-	not DE	2_D	259.836	circadian locomoter output cycles protein kaput-like
NW_020870929.1	XR_003477355.1	-	XM_027375424.1	+	not DE	3_D	465.471	uncharacterized LOC113822895
NW_020871785.1	XR_003477688.1	+	XM_027379600.1	+	not DE	1_U	170.532	uncharacterized LOC113826721
NW_020871785.1	XR_003477688.1	+	XM_027379594.1	+	not DE	2_U	175.196	uncharacterized LOC113826710
NW_020871785.1	XR_003477688.1	+	XM_027379601.1	+	not DE	3_U	214.336	vitellogenin-like
NW_020871785.1	XR_003477688.1	+	XM_027379593.1	-	not DE	4_U	233.185	extensin-like
NW_020871785.1	XR_003477688.1	+	XM_027379602.1	-	not DE	5_U	351.712	protein odd-skipped-related 1-like
NW_020871785.1	XR_003477688.1	+	XM_027379595.1	-	not DE	1_D	32.805	BDNF/NT-3 growth factors receptor-like
NW_020871785.1	XR_003477688.1	+	XM_027379596.1	+	not DE	2_D	60.604	filaggrin-2-like
NW_020871785.1	XR_003477688.1	+	XM_027379597.1	+	not DE	3_D	87.443	vitellogenin-like
NW_020871785.1	XR_003477688.1	+	XM_027379599.1	+	not DE	4_D	159.016	vitellogenin-like
NW_020869500.1	XR_003476112.1	+	XM_027361885.1	-	not DE	1_D	21.522	uncharacterized LOC113810182
NW_020869500.1	XR_003476112.1	+	XM_027361878.1	-	not DE	2_D	39.775	carbohydrate sulfotransferase 5-like
NW_020869500.1	XR_003476112.1	+	XM_027361886.1	+	DE	3_D	54.130	carnitine O-palmitoyltransferase 1%2C liver isoform-like
NW_020869500.1	XR_003476112.1	+	XM_027361887.1	+	DE	4_D	99.875	carnitine O-palmitoyltransferase 1%2C liver isoform-like%2C transcript variant X1
NW_020869500.1	XR_003476112.1	+	XM_027361879.1	+	not DE	5_D	159.728	transmembrane protease serine 9-like
NW_020870026.1	XR_003476555.1	-	XM_027366926.1	-	not DE	1_U	93.281	cell wall protein DAN4-like
NW_020870026.1	XR_003476555.1	-	XM_027366872.1	+	not DE	2_U	143.318	uncharacterized PE-PGRS family protein PE_PGRS46-like%2C transcript variant X2
NW_020870026.1	XR_003476555.1	-	XM_027366925.1	+	not DE	3_U	162.845	glycine-rich cell wall structural protein 1.0-like
NW_020870026.1	XR_003476555.1	-	XM_027366867.1	+	not DE	4_U	179.912	glycine-rich cell wall structural protein-like%2C transcript variant X1
NW_020870026.1	XR_003476555.1	-	XM_027366869.1	+	not DE	5_U	183.732	ctenidin-1-like
NW_020870026.1	XR_003476555.1	-	XM_027366878.1	-	not DE	1_D	6.839	mitochondrial ornithine transporter 1-like%2C transcript variant X4
NW_020870026.1	XR_003476555.1	-	XM_027366879.1	+	DE	2_D	38.444	uncharacterized LOC113814820
NW_020870026.1	XR_003476555.1	-	XM_027366880.1	+	DE	3_D	57.974	uncharacterized LOC113814822
NW_020870026.1	XR_003476555.1	-	XM_027366881.1	+	not DE	4_D	64.723	protein asteroid-like
NW_020870026.1	XR_003476555.1	-	XM_027366882.1	+	DE	5_D	261.830	neural Wiskott-Aldrich syndrome protein-like
NW_020872045.1	XR_003477734.1	+	XM_027380253.1	+	DE	1_U	37.943	basic salivary proline-rich protein 2-like
NW_020872045.1	XR_003477734.1	+	XM_027380252.1	-	not DE	2_U	42.069	cytochrome c oxidase subunit NDUFA4-like
NW_020872045.1	XR_003477734.1	+	XM_027380251.1	+	DE	3_U	53.367	protein maelstrom homolog
NW_020872045.1	XR_003477734.1	+	XM_027380250.1	-	not DE	4_U	65.407	uncharacterized LOC113827370
NW_020872045.1	XR_003477734.1	+	XM_027380245.1	+	DE	5_U	80.404	uncharacterized LOC113827364
NW_020872045.1	XR_003477734.1	+	XM_027380247.1	-	not DE	1_D	2.106	facilitated trehalose transporter Tret1-like
NW_020870491.1	XR_003476974.1	-	XM_027371398.1	+	not DE	1_U	42.646	frizzled-10-B-like
NW_020870491.1	XR_003476974.1	-	XM_027371386.1	+	not DE	2_U	189.366	vacuolar protein sorting-associated protein 4B-like
NW_020870491.1	XR_003476974.1	-	XM_027371385.1	-	DE	3_U	211.412	cap-specific mRNA (nucleoside-2'-O-)-methyltransferase 1-like
NW_020870491.1	XR_003476974.1	-	XM_027371384.1	+	DE	4_U	232.717	transmembrane protein 59-like%2C transcript variant X2
NW_020870491.1	XR_003476974.1	-	XM_027371382.1	+	not DE	5_U	292.786	neurofilament medium polypeptide-like%2C transcript variant X2
NW_020870491.1	XR_003476974.1	-	XM_027371387.1	+	DE	1_D	97.312	RNA exonuclease 4-like%2C transcript variant X5
NW_020870491.1	XR_003476974.1	-	XM_027371389.1	+	not DE	2_D	113.436	RNA exonuclease 4-like%2C transcript variant X1
NW_020870491.1	XR_003476974.1	-	XM_027371392.1	-	not DE	3_D	162.205	uncharacterized LOC113819153
NW_020870491.1	XR_003476974.1	-	XM_027371408.1	+	DE	4_D	188.606	retinal homeobox protein Rx-like
NW_020870491.1	XR_003476974.1	-	XM_027371409.1	+	not DE	5_D	196.765	leucine-rich repeat extensin-like protein 3
NW_020868718.1	XR_003475486.1	-	XM_027353888.1	-	DE	1_U	31.477	acetolactate synthase-like protein
NW_020868718.1	XR_003475486.1	-	XM_027353889.1	-	DE	2_U	47.564	acetolactate synthase-like protein
NW_020868718.1	XR_003475486.1	-	XM_027353904.1	-	not DE	3_U	102.011	cysteine-rich protein 2-binding protein-like
