lncRNA_ID	strand	contig	mRNA_ID	mRNA_Position	DE_status	direction	mRNA_strand	product	distance_Kb
XR_003477354.1	+	NW_020870924.1	XM_027375392.1	1_U	DE	upstream	+	uncharacterized LOC113822860	17.483 kb
XR_003477354.1	+	NW_020870924.1	XM_027375393.1	1_D	DE	downstream	+	low affinity immunoglobulin epsilon Fc receptor-like	2.901 kb
XR_003477354.1	+	NW_020870924.1	XM_027375394.1	2_D	DE	downstream	+	macrophage mannose receptor 1-like	29.969 kb
XR_003476707.1	-	NW_020870182.1	XM_027368482.1	1_U	not DE	upstream	+	uncharacterized LOC113816407	27.789 kb
XR_003476707.1	-	NW_020870182.1	XM_027368481.1	2_U	not DE	upstream	+	uncharacterized LOC113816406	32.934 kb
XR_003476707.1	-	NW_020870182.1	XM_027368479.1	3_U	not DE	upstream	-	uncharacterized LOC113816403%2C transcript variant X5	38.962 kb
XR_003476707.1	-	NW_020870182.1	XM_027368480.1	4_U	not DE	upstream	-	uncharacterized LOC113816405	62.050 kb
XR_003476707.1	-	NW_020870182.1	XM_027368473.1	5_U	not DE	upstream	-	uncharacterized LOC113816402	66.485 kb
XR_003476707.1	-	NW_020870182.1	XM_027368483.1	1_D	DE	downstream	+	uncharacterized LOC113816409%2C transcript variant X1	1.960 kb
XR_003476707.1	-	NW_020870182.1	XM_027368486.1	2_D	not DE	downstream	-	tubulin alpha-1D chain-like	19.483 kb
XR_003476707.1	-	NW_020870182.1	XM_027368461.1	3_D	not DE	downstream	+	uncharacterized LOC113816392	35.777 kb
XR_003476707.1	-	NW_020870182.1	XM_027368487.1	4_D	DE	downstream	+	mucin-5AC-like	61.533 kb
XR_003476707.1	-	NW_020870182.1	XM_027368488.1	5_D	not DE	downstream	+	HAUS augmin-like complex subunit 1	96.836 kb
XR_003477734.1	+	NW_020872045.1	XM_027380253.1	1_U	DE	upstream	+	basic salivary proline-rich protein 2-like	37.943 kb
XR_003477734.1	+	NW_020872045.1	XM_027380252.1	2_U	not DE	upstream	-	cytochrome c oxidase subunit NDUFA4-like	42.069 kb
XR_003477734.1	+	NW_020872045.1	XM_027380251.1	3_U	DE	upstream	+	protein maelstrom homolog	53.367 kb
XR_003477734.1	+	NW_020872045.1	XM_027380250.1	4_U	not DE	upstream	-	uncharacterized LOC113827370	65.407 kb
XR_003477734.1	+	NW_020872045.1	XM_027380245.1	5_U	DE	upstream	+	uncharacterized LOC113827364	80.404 kb
XR_003477734.1	+	NW_020872045.1	XM_027380247.1	1_D	not DE	downstream	-	facilitated trehalose transporter Tret1-like	2.106 kb
XR_003477597.1	-	NW_020871395.1	XM_027378340.1	1_U	not DE	upstream	+	uncharacterized LOC113825498	25.933 kb
XR_003477597.1	-	NW_020871395.1	XM_027378335.1	1_D	DE	downstream	+	obscurin-like%2C transcript variant X6	21.603 kb
XR_003477597.1	-	NW_020871395.1	XM_027378336.1	2_D	DE	downstream	-	obscurin-like	40.487 kb
XR_003477597.1	-	NW_020871395.1	XM_027378341.1	3_D	DE	downstream	-	uncharacterized LOC113825499	54.730 kb
XR_003477597.1	-	NW_020871395.1	XM_027378338.1	4_D	not DE	downstream	-	ragulator complex protein LAMTOR2-like	65.385 kb
XR_003477597.1	-	NW_020871395.1	XM_027378337.1	5_D	not DE	downstream	+	putative cyclin-dependent serine/threonine-protein kinase DDB_G0272797/DDB_G0274007	76.044 kb
XR_003476267.1	+	NW_020869704.1	XM_027363787.1	1_U	not DE	upstream	+	uncharacterized LOC113811934	9.900 kb
