ID	ovary_1_normalized	ovary_2_normalized	ovary_3_normalized	ovary_4_normalized	ovary_5_normalized	hep_1_normalized	hep_2_normalized	hep_3_normalized	hep_4_normalized	hep_5_normalized
XM_027350592.1	291.523216285278	369.253000532584	281.088179093672	378.888941830023	292.601529372774	30.1424071797928	23.7053194777059	71.7552451938085	46.4926031976676	40.7132619461504
XM_027350593.1	286.950303088646	436.656326026627	328.257085859391	477.982972770183	380.685726796412	37.0321002494598	23.7053194777059	51.7727718486973	57.1471580971331	58.460068435498
XM_027350594.1	250.366997515592	348.738944947441	268.573979339501	348.286373451444	277.414598782492	44.7830049528351	41.8329167253633	52.6810660916569	60.0529457969873	34.4496831852042
XM_027350595.1	249.223769216434	337.993487259984	273.387133091105	350.472271192771	296.651377530183	35.3096769820431	23.7053194777059	66.3054797360509	42.618219597862	35.4936129786952
XM_027350596.1	4.57291319663181	0	0	0	0	173.103538375382	188.248125264135	247.056034085012	151.10096039242	193.127011795841
XM_027350597.1	568.184464681503	494.291053622983	614.158418704666	848.128323634898	685.436800641412	612.321471566649	496.417278474311	310.636631092184	364.19205838173	508.393809430134
XM_027350602.1	218.356605139169	295.988516299929	328.257085859391	462.681688580893	330.062624828804	196.356252485508	82.2714028932144	73.5718336797277	61.9901375968901	137.798732740817
XM_027350603.1	5013.05609180763	6383.77872613872	6188.75309381238	7058.99243932551	6030.22390638147	1441.66827482781	2161.36736414377	2024.58786755695	1850.98676480714	1650.45300350933
XM_027350604.1	109.749916719164	158.251285942536	143.431981797798	135.525659962277	165.031312414402	414.242795813725	416.934736696121	460.505181180518	370.003633781438	230.708484361519
XM_027350605.1	86.8853507360045	165.089304470917	139.581458796515	129.696599318739	155.919154060233	403.908256209224	418.329167253633	573.133667307509	455.240072977162	260.982448372759
XM_027350606.1	91.4582639326363	163.13558489138	142.469351047477	155.927372214663	135.669913273189	359.986462890097	334.663333802906	359.684520212002	256.677913487123	155.545539230164
XM_027350607.1	113.179601616637	194.395098163979	178.086688809347	180.700879949703	181.230705044037	350.513134919305	382.073972758318	372.400639613437	300.264728984937	231.75241415501
XM_027350608.1	1161.51995194448	948.530855865448	800.9087842669	597.478715962729	798.832549048854	211.858061892258	174.303819689014	255.230682271648	249.897742187463	91.8658218272111
XM_027350614.1	2.28645659831591	4.88429894884371	5.77578450192476	7.28632580442352	5.0623101967608	42.19937005171	115.737736273505	179.842260106001	179.190241491011	204.610239524243
XM_027350615.1	0	0.976859789768741	0	12.38675386752	5.0623101967608	58.562391092169	143.626347423747	204.36620466591	183.064625090816	177.468064893476
XM_027350617.1	865.423822462571	889.919268479323	877.919244292564	623.709488858653	610.514609729353	258.36349011251	411.357014466072	198.916439208153	216.965481589115	329.881814743167
XM_027350619.1	2714.02398220098	3121.06702831113	3206.52302931856	1828.13914432986	1973.28851469736	1933.42011767528	3014.75886534118	2624.06206791029	2717.88009526365	2415.65354213826
XM_027350620.1	20.5781093848432	3.90743915907496	3.85052300128317	10.9294887066353	30.3738611805648	158.46294060234	250.99750035218	218.898912553264	213.09109798931	507.349879636643
XM_027350621.1	100.6040903259	140.667809726699	77.0104600256635	170.50002382351	111.370824328738	96.4557029753371	217.531166971889	116.261663098829	165.629898891691	155.545539230164
XM_027350627.1	4112.19219207116	5443.06274859142	5202.05657473357	5719.03712389202	5742.68468720545	4116.591609126	4102.41470020062	4179.06181185713	3269.97975823595	3703.86290730619
XM_027350629.1	0	0	1.92526150064159	1.4572651608847	0	299.701648530512	89.243555680775	230.706737711739	219.87126928897	74.1190153378635
XM_027350630.1	11.4322829915795	1.95371957953748	0	1.4572651608847	4.04984815740864	905.133427027494	1784.8711136155	1871.08614049678	2845.73475405724	833.055975205846
XM_027350634.1	41.1562187696863	67.4033254940431	61.6083680205308	122.410273514315	57.7103362430731	2.5836349011251	16.7331666901453	6.35805970071721	5.81157539970845	61.5918578159711
XM_027350635.1	34.2968489747386	75.2182038121931	45.2436452650773	115.852580290334	56.697874203721	938.72068074212	658.171223145715	604.923965811095	442.648326277794	230.708484361519
XM_027350640.1	16.0051961882114	9.76859789768741	12.5141997541703	18.2158145110588	17.2118546689867	245.445315606885	303.98586153764	928.276716304713	2078.60680129572	959.371480218261
XM_027350641.1	176.057158070325	250.076106180798	292.639748097521	330.799191520828	260.202744113505	679.495978995902	340.241056032955	316.086396549941	377.752400981049	301.695710318909
XM_027350642.1	45.7291319663181	20.5140555851436	231.031380076991	154.470107053779	99.2212798565117	244.584103973176	65.5382362030691	72.6635394367681	55.2099662972303	9056.09095853473
XM_027350643.1	52.5885017612659	18.5603360056061	271.461871590464	157.384637375548	96.1838937384552	225.637448031592	43.2273472828754	66.3054797360509	61.9901375968901	9313.94161752701
