ID	logFC	AveExpr	t	P.Value	adj.P.Val	B	ovary_1	ovary_2	ovary_3	ovary_4	ovary_5	hemocyte_1	hemocyte_2	hemocyte_3	hemocyte_4	hemocyte_5	ovary_1_normalized	ovary_2_normalized	ovary_3_normalized	ovary_4_normalized	ovary_5_normalized	hemocyte_1_normalized	hemocyte_2_normalized	hemocyte_3_normalized	hemocyte_4_normalized	hemocyte_5_normalized	Expression
XR_003477485.1	-19.926816973593	3.5793662646297	-71.5882829902231	4.48261171515888e-17	7.56440726933061e-13	20.7481880978587	394531	448498	408002	525176	483766	0	0	0	0	0	12050.7036409696	12244.974642862	10953.4482417069	10823.7528668518	13814.2950457304	0	0	0	0	0	Up_ovary_Down_hemocyte
XM_027376912.1	-20.4351495009923	3.83398231788888	-66.1838279374389	1.14028265873106e-16	9.62113493304332e-13	20.5558839898144	480158	612784	708586	684052	751177	0	0	0	0	0	14666.1270187657	16730.3411421045	19023.0932098326	14098.1495652423	21450.4134427938	0	0	0	0	0	Up_ovary_Down_hemocyte
XM_027356202.1	-15.1684612501618	1.20062348109596	-54.3655765466471	1.18130082547058e-15	9.96722571490806e-13	20.2276853260856	13256	16942	14855	21208	17902	0	0	0	0	0	404.896262815071	462.553590873022	398.805578478919	437.091852636436	511.204817843059	0	0	0	0	0	Up_ovary_Down_hemocyte
XM_027360712.1	-19.5024634738503	3.36642997545282	-54.6796966591896	1.10316517570196e-15	9.96722571490806e-13	20.0601476526744	403843	327807	387805	359811	226946	0	0	0	0	0	12335.1328805089	8949.84682819695	10411.2283649961	7415.61941668091	6480.6104675573	0	0	0	0	0	Up_ovary_Down_hemocyte
XM_027363509.1	-15.0158447869708	1.12467758776657	-54.4186701091064	1.16768364084024e-15	9.96722571490806e-13	20.2351254615665	11150	15742	14405	20421	14491	0	0	0	0	0	340.56980464605	429.790970813547	386.724628609144	420.871969195052	413.801196255377	0	0	0	0	0	Up_ovary_Down_hemocyte
XM_027367844.1	-17.1062541717799	2.16930481212985	-55.2311162773015	9.79211319664924e-16	9.96722571490806e-13	20.2132595840976	55731	47775	68013	80081	71995	0	0	0	0	0	1702.26868006538	1304.36181111785	1825.91476331785	1650.4504267719	2055.87034189538	0	0	0	0	0	Up_ovary_Down_hemocyte
XM_027371765.1	-19.8707428183531	3.54971949698206	-57.2565799762371	6.38328591346378e-16	9.96722571490806e-13	20.1838967862473	495213	413823	414741	380288	462064	0	0	0	0	0	15125.9726159807	11298.2714340601	11134.3671776456	7837.64553260114	13194.5784243009	0	0	0	0	0	Up_ovary_Down_hemocyte
XM_027373947.1	-18.2203679705362	2.72647761760476	-62.1473837549472	2.40968683461798e-16	9.96722571490806e-13	20.5100277003001	100563	133475	143179	165972	155681	0	0	0	0	0	3071.63419413639	3644.15892703203	3843.8629364546	3420.64357628134	4445.58581424563	0	0	0	0	0	Up_ovary_Down_hemocyte
XM_027373951.1	-17.9597569775745	2.59613501910039	-62.0902423356086	2.43618275547909e-16	9.96722571490806e-13	20.5213204132319	88594	107194	112656	141538	132866	0	0	0	0	0	2706.04854464683	2926.63024554614	3024.42553006537	2917.06462836929	3794.08665666048	0	0	0	0	0	Up_ovary_Down_hemocyte
XM_027373952.1	-18.0035950259425	2.61807790510219	-58.5614757801999	4.88371078036013e-16	9.96722571490806e-13	20.3533147575816	89649	104545	116250	147103	146153	0	0	0	0	0	2738.27286248554	2854.30676176485	3120.91204969198	3031.75795918416	4173.50674462164	0	0	0	0	0	Up_ovary_Down_hemocyte
