ID	edgeR_FDR	limma_adj.P.Val	NOISeq_lminusProb	DESeq2_padj
XM_027350640.1	5.50721628575771e-06	0.0116826014787421	0.00111445443554214	1.93255301496106e-06
XM_027350642.1	6.912269908912e-12	0.00464073691690943	6.24802714732642e-06	2.13806336575285e-15
XM_027350643.1	4.37283950153619e-10	0.00600688307810876	5.66962288288675e-05	1.49050326448285e-12
XM_027350647.1	6.79590292644645e-06	0.00763860794030563	0.00389185282342541	4.9982224392968e-08
XM_027350648.1	9.66614804311016e-06	0.00739000598680812	0.00392204075062264	2.48893678643725e-08
XM_027350649.1	1.3372480210893e-05	0.00635539972813486	0.00563559413309744	3.89820426718141e-10
XM_027350665.1	7.73855810500116e-05	0.0299959875667892	0.00424923354207918	6.96997835302833e-05
XM_027350671.1	0.0561243977066384	0.14436178104676	0.00775647765152709	0.0303439078235419
XM_027350698.1	0.00745797040576174	0.0731413536661307	0.011648962238764	0.00601073755278398
XM_027350700.1	9.53010975018269e-08	0.0308648956064173	3.0637081094298e-08	2.67896845681047e-08
XM_027350705.1	0.00313514684347689	0.0184573018770146	1.76603176527124e-11	2.98022181083972e-05
XM_027350717.1	0.000628465337058456	0.0171159804469507	0.00827742023068567	0.000175990197069782
XM_027350718.1	0.00126154392800783	0.0215847271528949	0.0066500553983776	0.000485490334906341
XM_027350756.1	5.53695106080703e-11	0.00308134914836515	4.44089209850063e-16	2.66203381923517e-18
XM_027350767.1	4.64397685777733e-06	0.00585740721928741	0.000663992712503947	1.00804449489355e-10
XM_027350776.1	0.0055645254756697	0.0286421450825673	0.0109619926576182	0.00585489040853837
XM_027350777.1	0.00375840097520616	0.026237902212666	0.0116577307512543	0.00379297210781733
XM_027350778.1	0.00061269855932037	0.0169308635766076	0.00820785599047491	0.000428243991118633
XM_027350794.1	2.20018809786347e-13	0.00612839792473617	0	1.07796600261956e-08
XM_027350808.1	6.80508313374112e-14	0.00612839792473617	0	5.25608661209728e-09
XM_027350820.1	0.00180385270662218	0.015982707261612	4.44089209850063e-16	1.55881920033977e-07
XM_027350821.1	0.00142724491126228	0.0141915073895499	0	2.81827220877131e-08
XM_027350831.1	0.00014414209258004	0.0171159804469507	2.3226753853578e-11	9.44067726939349e-07
XM_027350833.1	0.0140054187544714	0.0436993807863707	0.00474976465682375	0.0325557235893289
XM_027350834.1	0.00114368666587428	0.0413883021512107	0.0029330628712062	0.000214766517466164
XM_027350835.1	0.0257560183302049	0.0787130452235454	0.00963172537014312	0.010545826928118
XM_027350836.1	3.9624653334989e-08	0.00718985668852214	0	1.89673571427627e-11
XM_027350837.1	0.000730312028051251	0.0169308635766076	8.1263884510463e-12	1.711236354523e-05
XM_027350838.1	0.0119224993755969	0.0311677338670434	0.00956925324316926	0.0017806504552673
