ID	logFC	logCPM	PValue	FDR	ovary_1	ovary_2	ovary_3	ovary_4	ovary_5	muscle_1	muscle_2	muscle_3	muscle_4	muscle_5	ovary_1_normalized	ovary_2_normalized	ovary_3_normalized	ovary_4_normalized	ovary_5_normalized	muscle_1_normalized	muscle_2_normalized	muscle_3_normalized	muscle_4_normalized	muscle_5_normalized	Expression
XM_027350592.1	-2.07048490653575	0.894867373433637	0.0012122735513077	0.00302887451475984	255	378	292	520	289	147	1	2	3	15	2.43859340420001	3.25239804072993	2.50086811701974	3.69615857612892	2.72410141482767	1.92967233896687	0.101499657079583	0.155808142757615	0.282804615878552	0.709172396809331	Up_ovary_Down_muscle
XM_027350593.1	-2.2273739660358	1.11718506083251	0.0025091910265095	0.00574192330591889	251	447	341	656	376	143	2	0	11	9	2.40034095864393	3.84608974657746	2.92053434213607	4.66284620373186	3.54415962621178	1.87716424811062	0.202999314159166	0	1.03695025822136	0.425503438085599	Up_ovary_Down_muscle
XM_027350594.1	-2.17677080863245	0.773386758787305	0.00383404137367708	0.00830358823531982	219	357	279	478	274	150	2	3	0	7	2.09432139419531	3.07170926068938	2.38952809811133	3.39762269113389	2.58271206803731	1.96905340710905	0.202999314159166	0.233712214136422	0	0.330947118511021	Up_ovary_Down_muscle
XM_027350595.1	-1.82335759117018	0.845391499978961	0.00042776997570852	0.00120338849038286	218	346	284	481	293	130	2	4	5	18	2.08475828280629	2.97706275685862	2.43235118230687	3.41894668291925	2.76180524063844	1.70651295282784	0.202999314159166	0.311616285515229	0.471341026464253	0.851006876171198	Up_ovary_Down_muscle
XM_027350602.1	-3.90101571201913	0.731631701026028	1.81229879781353e-06	8.29703976643782e-06	191	303	341	635	326	42	0	0	0	5	1.82655427530275	2.60708096915653	2.92053434213607	4.51357826123435	3.07286180357724	0.551334953990533	0	0	0	0.236390798936444	Up_ovary_Down_muscle
XM_027350619.1	2.96941191829796	6.6650231879494	6.70515173612233e-08	3.74294248934032e-07	2374	3195	3331	2509	1949	5141	2740	3501	2335	1311	22.7028264375327	27.4905072490268	28.5287386910711	17.833965129822	18.3711891262946	67.4860237729841	278.109060398057	272.742153897205	220.116259358806	61.9816674811356	Down_ovary_Up_muscle
XM_027350621.1	-2.21387388665611	-0.470784803557221	0.00607247739094218	0.0123436115422452	88	144	80	234	110	34	0	0	0	12	0.84155380223373	1.23900877742093	0.685169347128697	1.66327135925801	1.036855209796	0.446318772278051	0	0	0	0.567337917447465	Up_ovary_Down_muscle
XM_027350635.1	4.44249663867776	2.773840496755	2.78418199192025e-15	3.28219764399612e-14	30	77	47	159	56	824	194	189	171	97	0.28689334167059	0.662525526815357	0.40253699143811	1.13017156462403	0.527853561350691	10.8166667163857	19.6909334734391	14.7238694905946	16.1198631050774	4.58598149936701	Down_ovary_Up_muscle
XM_027350644.1	11.4449969533848	7.04112730728216	8.21354339867505e-46	1.04348668767631e-43	12	5	17	12	8	6062	2550	4158	3106	7657	0.114757336668236	0.0430211381048933	0.145598486264848	0.0852959671414365	0.0754076516215273	79.5760116926336	258.824125552936	323.925128793081	292.797045639594	362.00886949127	Down_ovary_Up_muscle
XM_027350645.1	11.4132582490111	6.98787757678147	5.85392813898006e-44	6.50746433512088e-42	4	15	14	8	12	5636	2411	4126	3059	7211	0.0382524455560786	0.12906341431468	0.119904635747522	0.056863978094291	0.113111477432291	73.9839000164439	244.715673218874	321.432198508959	288.36643999083	340.922810226139	Down_ovary_Up_muscle
XM_027350647.1	2.61998501422512	3.49275049713935	7.4853773438637e-12	6.48656724883292e-11	269	372	346	549	331	769	171	389	234	367	2.57247696364629	3.20077267500406	2.96335742633162	3.90229049672072	3.11999158584069	10.0946804671124	17.3564413606087	30.3046837663561	22.058760038527	17.351084641935	Down_ovary_Up_muscle
XM_027350648.1	2.52572081939872	3.54119490981973	4.96635993429376e-12	4.37833553315154e-11	295	390	374	540	426	801	202	375	204	424	2.8211178597608	3.35564877218168	3.20316669782666	3.83831852136464	4.01545744884633	10.5147451939623	20.5029307300757	29.2140267670528	19.2307138797415	20.0459397498104	Down_ovary_Up_muscle
XM_027350649.1	2.7820109689322	3.33517734773184	6.17458803395783e-14	6.39433865612707e-13	245	309	305	389	259	705	153	334	220	358	2.34296229030982	2.65870633488241	2.61220813592816	2.7650109348349	2.44132272124695	9.25455101341252	15.5294475331762	26.0199598405217	20.7390051644271	16.9255812038494	Down_ovary_Up_muscle
XM_027350653.1	11.1611949141935	3.78138290835145	1.36386163246339e-38	1.22304613681079e-36	0	2	4	0	0	831	451	411	354	341	0	0.0172084552419573	0.0342584673564349	0	0	10.9085558753841	45.7763453428918	32.0185733366898	33.3709446736691	16.1218524874655	Down_ovary_Up_muscle
XM_027350660.1	11.0520894929468	6.41314960217792	2.9061905370418e-16	3.76271020487423e-15	2	2	26	3	12	1279	2291	3777	2484	1585	0.0191262227780393	0.0172084552419573	0.222680037816827	0.0213239917853591	0.113111477432291	16.7894620512831	232.535714369324	294.243677597755	234.162221947441	74.9358832628527	Down_ovary_Up_muscle
XM_027350661.1	-2.21556402874678	0.468042245288973	0.000283693075598926	0.000838352808452154	184	303	232	313	252	79	0	4	2	12	1.75961249557962	2.60708096915653	1.98699110667322	2.22480314293914	2.37534102607811	1.03703479441076	0	0.311616285515229	0.188536410585701	0.567337917447465	Up_ovary_Down_muscle
XM_027350662.1	-2.10191453612524	0.540126980212465	0.00157921014093412	0.00382022799988977	180	339	268	283	257	107	2	4	0	10	1.72136005002354	2.91683316351177	2.29531731288114	2.01156322508554	2.42247080834157	1.40459143040445	0.202999314159166	0.311616285515229	0	0.472781597872888	Up_ovary_Down_muscle
XM_027350663.1	-2.33741312039475	0.500930581077729	0.00272609326370794	0.00617963693632314	171	357	259	293	246	96	0	3	0	11	1.63529204752236	3.07170926068938	2.21823576132916	2.08264319770341	2.31878528736197	1.26019418054979	0	0.233712214136422	0	0.520059757660176	Up_ovary_Down_muscle
XM_027350671.1	4.57078654043646	6.05264783041339	5.34455837862922e-10	3.83829955036604e-09	332	355	492	1293	762	2509	2639	2486	1164	710	3.17495298115453	3.05450080544742	4.21379148484149	9.19064045948979	7.18257881695048	32.9356999895773	267.857595033019	193.669521447715	109.728190960878	33.567493448975	Down_ovary_Up_muscle
XM_027350674.1	-2.59606580662629	1.89199454990843	3.84333916219862e-05	0.000138869662110016	471	706	728	1395	493	230	3	8	6	8	4.50422546422826	6.07458470041093	6.23504105887114	9.91565618019199	4.64699653117662	3.01921522423387	0.304498971238748	0.623232571030459	0.565609231757103	0.37822527829831	Up_ovary_Down_muscle
XM_027350677.1	4.14367298587943	6.44430279594191	2.2637985357216e-14	2.44212201400929e-13	616	902	921	2104	1076	3419	1961	2574	1883	4289	5.89087661563611	7.76101331412275	7.88801210881913	14.9552262387985	10.1423291430954	44.8812906593722	199.040827533062	200.52507972905	177.507030566438	202.776027327681	Down_ovary_Up_muscle
XM_027350678.1	5.33931927227319	2.91724632828066	5.31254517973273e-15	6.08632893417207e-14	34	39	47	62	34	224	239	334	168	115	0.325145787226668	0.335564877218168	0.40253699143811	0.440695830230755	0.320482519391491	2.94045308794951	24.2584180420203	26.0199598405217	15.8370584891989	5.43698837553821	Down_ovary_Up_muscle
XM_027350689.1	2.82704535520618	1.42840383054326	6.67813667607228e-09	4.24779645792724e-08	89	46	87	116	56	275	27	44	40	214	0.85111691362275	0.395794470565018	0.745121665002458	0.82452768236722	0.527853561350691	3.60993124636659	2.74049074114874	3.42777914066752	3.77072821171402	10.1175261944798	Down_ovary_Up_muscle
