ID	adj.P.Val
XM_027356981.1	0.00301183371438474
XM_027375510.1	0.00301183371438474
XM_027379490.1	0.00301183371438474
XM_027363874.1	0.00322346999684742
XM_027354585.1	0.00341875927670894
XM_027370857.1	0.00341875927670894
XM_027351017.1	0.00348279292626843
XM_027352200.1	0.00348279292626843
XM_027353848.1	0.00348279292626843
XM_027355035.1	0.00348279292626843
XM_027355965.1	0.00348279292626843
XM_027356700.1	0.00348279292626843
XM_027362559.1	0.00348279292626843
XM_027364039.1	0.00348279292626843
XM_027364042.1	0.00348279292626843
XM_027364043.1	0.00348279292626843
XM_027364044.1	0.00348279292626843
XM_027364045.1	0.00348279292626843
XM_027364047.1	0.00348279292626843
XM_027365601.1	0.00348279292626843
XM_027366112.1	0.00348279292626843
XM_027370692.1	0.00348279292626843
XM_027372149.1	0.00348279292626843
XM_027372425.1	0.00348279292626843
XM_027374831.1	0.00348279292626843
XM_027376768.1	0.00348279292626843
XM_027378576.1	0.00348279292626843
XM_027378670.1	0.00348279292626843
XM_027378860.1	0.00348279292626843
XM_027378861.1	0.00348279292626843
XM_027379151.1	0.00348279292626843
XM_027380496.1	0.00348279292626843
XM_027381309.1	0.00348279292626843
XM_027382822.1	0.00348279292626843
XR_003475421.1	0.00348279292626843
XR_003476853.1	0.00348279292626843
XM_027380827.1	0.00354357541150823
XM_027364034.1	0.00368714287312058
XM_027359278.1	0.00370767549146399
XM_027362561.1	0.00370767549146399
XM_027368745.1	0.00370767549146399
XM_027369084.1	0.00370767549146399
XR_003475419.1	0.00370767549146399
XM_027351730.1	0.0039477044691838
XM_027352252.1	0.0039477044691838
XM_027353727.1	0.0039477044691838
XM_027354773.1	0.0039477044691838
XM_027359320.1	0.0039477044691838
XM_027360477.1	0.0039477044691838
XM_027360478.1	0.0039477044691838
XM_027362128.1	0.0039477044691838
XM_027362558.1	0.0039477044691838
XM_027364040.1	0.0039477044691838
XM_027366108.1	0.0039477044691838
XM_027366111.1	0.0039477044691838
XM_027370767.1	0.0039477044691838
XM_027372510.1	0.0039477044691838
XM_027373151.1	0.0039477044691838
XM_027373271.1	0.0039477044691838
XM_027380825.1	0.0039477044691838
XM_027380826.1	0.0039477044691838
XM_027381308.1	0.0039477044691838
XM_027382176.1	0.0039477044691838
XR_003475420.1	0.0039477044691838
XR_003476291.1	0.0039477044691838
XM_027362560.1	0.0040287695667786
XM_027371605.1	0.0040287695667786
XM_027381310.1	0.0040287695667786
XM_027351966.1	0.00414109737989204
XM_027374780.1	0.00414109737989204
XM_027362556.1	0.00417134942348399
XM_027381311.1	0.00417134942348399
XR_003476729.1	0.00417134942348399
XM_027380265.1	0.0044762815058096
XM_027351973.1	0.00460678969597801
XM_027352082.1	0.00460678969597801
