ID	muscle_1_normalized	muscle_2_normalized	muscle_3_normalized	muscle_4_normalized	muscle_5_normalized	muscle_6_normalized	hep_1_normalized	hep_2_normalized	hep_3_normalized	hep_4_normalized	hep_5_normalized	hep_6_normalized
XM_027350596.1	0	0	14.4285333277702	0	5.30125470005581	0	53.2339460734066	99.7356534281666	85.229615246459	110.859521720207	69.045198165457	69.9858879236274
XM_027350597.1	279.308453981244	216.562085089644	245.285066572094	205.633471988619	254.460225602679	170.764698178992	128.307459766672	116.157989936419	107.163707405474	222.522373307952	182.074744791872	184.233121182738
XM_027350603.1	956.220707159318	778.52698943619	981.140266288377	454.844898305952	392.29284780413	689.442519750695	652.115839399231	727.389343877713	698.444163177784	853.93964919261	792.741164121914	598.095615174351
XM_027350604.1	62.4336544193369	68.5323054081153	57.714133311081	40.8543321831693	74.2175658007813	71.8169291406974	130.354919231034	92.5258471562509	158.86549606601	111.662851587745	152.922327788679	83.6047634114684
XM_027350605.1	49.2897271731607	93.2039353550368	68.5355333069087	64.0051204202986	84.8200752008929	86.1803149688369	160.38432470834	118.961803486608	197.720173604837	165.485952712773	153.433773701016	94.5755242211181
XM_027350606.1	19.7158908692643	49.343259893843	36.0713333194256	40.8543321831693	83.0529903008743	82.9884514514726	90.4294596759791	92.9263919491351	124.084292785286	115.679500925434	122.747018960812	56.3670124357864
XM_027350607.1	19.7158908692643	90.4626431387122	50.4998666471959	35.4070878920801	45.9442074004836	70.2209973820152	105.785405658693	90.9236679847141	128.471111217089	121.302809998198	140.136179980261	83.9830655083529
XM_027350608.1	266.164526735068	312.507312661006	270.534999895692	81.7086643663387	114.860518501209	28.726771656279	88.040756967557	77.3051450266512	88.049712809761	54.6264309925658	63.9307390420898	33.2905845258336
XM_027350614.1	52.5757089847047	38.3780910285446	0	80.3468532935663	44.177122500465	68.6250656233331	63.1300001511553	44.8610168030308	62.042146392643	32.1331947015093	42.4500107239476	74.1472109893566
XM_027350615.1	42.7177635500726	54.8258443264922	39.6784666513682	55.8342539836647	24.7391886002604	86.1803149688369	64.4949731273964	44.4604720101466	70.5024390825488	36.149844039198	52.678928970682	64.3113564703603
XM_027350616.1	59.1476726077928	27.4129221632461	46.8927333152533	96.6885861668341	49.4783772005208	79.7965879341082	64.8362163714567	43.6593824243781	60.7887696978421	20.8865765559811	55.7476044447023	62.0415438890535
XM_027350617.1	207.016854127275	123.358149734608	180.356666597128	230.146071298521	183.776829601935	134.058267729302	76.4384866695069	79.7084137839564	68.6223740403475	126.122789203424	150.876544139332	119.543462615493
XM_027350619.1	7672.76752995535	9597.26404935246	9883.54532952262	2117.61621816094	2295.44328512416	2092.26653563232	957.528542833198	1109.90962108213	905.251317819927	1111.00520680468	1105.74606247199	875.391052190669
XM_027350620.1	92.0074907232333	52.0845521101676	72.1426666388512	73.5377979297048	75.9846507007999	389.407349118448	75.0735136932657	153.008110881766	75.5159458617523	167.092612447848	92.0602642206093	183.854819085854
XM_027350627.1	2076.74050489584	1891.49162926398	1334.63933281875	1916.06817939064	2042.7501444215	1867.24015765813	1152.03719194757	1228.07033498297	1441.6965431947	1317.46098276188	1504.67387409463	1342.21583974611
XM_027350629.1	0	0	0	2.72362214554462	0	0	77.4622164016878	55.27518141802	79.5894201198551	48.199792052264	32.73253838955	26.8594488787975
XM_027350635.1	561.902889774032	518.104228885352	699.783866396857	136.181107277231	206.748933302176	154.80538059217	155.948162535556	148.602118160039	208.687219684345	180.74922019599	241.402470622931	83.6047634114684
XM_027350640.1	124.867308838674	164.477532979477	151.499599941588	196.100794479213	160.804725901693	322.378215253797	732.308001753401	321.236923893131	320.237745521622	123.712799600811	111.495208889405	347.65962703683
XM_027350641.1	32.8598181154405	57.5671365428168	36.0713333194256	266.914970263373	227.9539521024	341.529396357983	133.084865183516	113.754721179114	109.043772447676	175.929240990763	124.792802610159	109.329305999613
XM_027350642.1	72.291599853969	10.9651688652984	28.8570666555405	66.7287425658432	137.832622201451	223.430446215503	19.450864911437	19.2261500584418	25.0675338960174	174.322581255688	24.0379578798258	3281.7706904728
XM_027350643.1	92.0074907232333	21.9303377305969	36.0713333194256	49.0251986198032	153.736386301618	212.258923904728	21.8395676198591	16.8228813011365	22.8741246801158	183.159209798603	15.8548232824383	3375.21130840326
XM_027350644.1	10206.2595066558	11398.2930354777	9198.18999645353	7466.81011201058	5875.55729256185	12220.0494762293	12.626000030231	2.00272396442102	13.4737994691093	5.62330907276413	18.9234987564586	301.885073313809
XM_027350645.1	10051.8183615132	11310.5716845553	8696.79846331351	7435.48845733682	5591.05662365886	11508.2639118571	5.11864866090448	9.61307502922088	11.593734426908	18.4765869533679	14.8319314577648	281.835062178932
