ID	logFC	AveExpr	t	P.Value	adj.P.Val	B	hep_1	hep_2	hep_3	hep_wssv_1	hep_wssv_2	hep_wssv_3	hep_1_normalized	hep_2_normalized	hep_3_normalized	hep_wssv_1_normalized	hep_wssv_2_normalized	hep_wssv_3_normalized	Expression
XM_027354450.1	3.23905049885695	7.77850982756753	11.2067819465347	8.89314673218441e-06	0.00291244842544269	4.29745793405224	3652	3223	3696	19773	19406	16598	72.0316289137087	75.2496334681014	68.704500537132	525.935259906623	618.552850999334	924.370368139168	Down_hep_Up_hep_wssv
XM_027356531.1	-6.93986219384461	-2.32363365176221	-11.7242772429157	6.54547158032274e-06	0.00291244842544269	3.19854964806292	124	80	125	0	0	0	2.44576177034498	1.86781590985049	2.32361000193222	0	0	0	Up_hep_Down_hep_wssv
XM_027359976.1	3.83517610827251	7.95727133543573	13.2909907366335	2.77625363210368e-06	0.00291244842544269	5.34011154359436	3411	3307	2982	28998	28380	21050	67.2781725697317	77.2108401734444	55.4320402060951	771.307877751087	904.592904841858	1172.30969088622	Down_hep_Up_hep_wssv
XM_027359977.1	3.58516468137025	7.93363983631899	11.737826157775	6.49423727631629e-06	0.00291244842544269	4.58304024489272	3710	3676	3046	25252	26337	19118	73.1756142579023	85.8261410576298	56.6217285270844	671.66930577869	839.47369044468	1064.71338101486	Down_hep_Up_hep_wssv
XM_027361641.1	3.47863325268484	6.48031565487811	12.1996133390171	4.99243898659905e-06	0.00291244842544269	4.86686803974747	1327	1176	1463	8218	8899	7496	26.1735957197403	27.4568938748021	27.1955314626147	218.58776947922	283.649480626769	417.464771633402	Down_hep_Up_hep_wssv
XM_027361885.1	5.92170790138138	6.80459011069799	15.7655061021582	8.53758360424964e-07	0.00291244842544269	6.38334561730507	486	724	999	27766	23599	20912	9.58580822893275	16.9037339841469	18.5702911354423	738.538331389636	752.201830914835	1164.62424018112	Down_hep_Up_hep_wssv
XM_027362612.1	3.30669733046902	4.24936812171854	11.6395293921784	6.87653705949498e-06	0.00291244842544269	4.57927017627596	228	347	329	2042	1731	1265	4.49704583579561	8.10165150897648	6.11574152508561	54.3144591477936	55.1744298196355	70.4499647967254	Down_hep_Up_hep_wssv
XM_027362951.1	3.61678467203996	8.05431699387089	11.6885705546407	6.68270433384572e-06	0.00291244842544269	4.55291165490678	4175	2852	4398	28443	24692	23723	82.347220896696	66.5876371861698	81.7538943079833	756.545622693778	787.040451245777	1321.17352954365	Down_hep_Up_hep_wssv
XM_027363102.1	3.41266208187803	4.0567540850145	14.1557829470511	1.79881087660531e-06	0.00291244842544269	5.84854738511657	263	230	258	1781	1507	1246	5.18738181936073	5.36997074082015	4.79593104398811	47.3722094721941	48.0345844819126	69.3918230329801	Down_hep_Up_hep_wssv
XM_027363819.1	3.63007570790755	6.57911019743665	11.1948399195676	8.95762005237441e-06	0.00291244842544269	4.31118632510976	1496	1196	1347	9119	9085	9454	29.5069323260975	27.9238478522648	25.0392213808216	242.553160121807	289.578102201842	526.509064970942	Down_hep_Up_hep_wssv
XM_027364183.1	8.42294167548325	-2.41616521739873	14.5632894594094	1.47872718358933e-06	0.00291244842544269	3.86457978012639	0	0	0	145	116	50	0	0	0	3.85680537533304	3.69741990703508	2.78458358880338	Down_hep_Up_hep_wssv
XM_027365450.1	3.86513897497242	3.72762697524128	12.5514975153663	4.1106992984519e-06	0.00291244842544269	5.06802978943451	130	228	166	1940	1437	965	2.56410508181329	5.32327534307388	3.08575408256599	51.60139605618	45.8033828138742	53.7424632639051	Down_hep_Up_hep_wssv
XM_027365451.1	4.24619641912874	3.15571926450414	11.5435196192965	7.27476118779195e-06	0.00291244842544269	4.51139067138383	62	149	109	1470	1106	744	1.22288088517249	3.47880713209653	2.0261879216849	39.1000269085488	35.2529863550069	41.4346038013942	Down_hep_Up_hep_wssv
XM_027367745.1	-2.81311334665556	3.32930209583479	-11.1736276148464	9.07345308813754e-06	0.00291244842544269	4.30042008498148	1584	1199	1174	157	112	64	31.2426342276327	27.9938909488841	21.8233451381474	4.17598926846405	3.56992266886146	3.56426699366832	Up_hep_Down_hep_wssv
XM_027369299.1	2.70335517758995	5.58719403330053	11.8697018901508	6.01862228801488e-06	0.00291244842544269	4.70412986290521	967	788	1032	3728	4330	2401	19.0729970316419	18.3979867120273	19.1837241759524	99.1597961327006	138.015760322947	133.715703934338	Down_hep_Up_hep_wssv
XM_027370418.1	-3.42262206811361	1.96438110279642	-11.5357824538371	7.30797525650729e-06	0.00291244842544269	4.37316321011305	681	481	754	48	35	20	13.4319658516527	11.230243157976	14.0160155316552	1.27673557252404	1.1156008340192	1.11383343552135	Up_hep_Down_hep_wssv
XM_027370568.1	4.24705368053119	2.86925560474501	12.1162070165019	5.23173022033568e-06	0.00291244842544269	4.81273583706025	63	88	99	881	955	799	1.24260477041721	2.05459750083553	1.84029912153032	23.4334174873684	30.4399656139526	44.4976457490779	Down_hep_Up_hep_wssv
XM_027370921.1	-7.8610369100332	4.29188798321067	-11.650327822377	6.83331537997228e-06	0.00291244842544269	4.39206629816335	18999	9239	16251	82	12	47	374.73409576439	215.709389888858	302.087889131204	2.18108993639524	0.38249171452087	2.61750857347517	Up_hep_Down_hep_wssv
XM_027370979.1	4.92648673211294	2.97333182566972	11.7833436175733	6.3254174880333e-06	0.00291244842544269	4.62227686024445	63	64	83	1607	850	1241	1.24260477041721	1.49425272788039	1.542877041283	42.7440430217945	27.093163111895	69.1133646740998	Down_hep_Up_hep_wssv
XM_027371676.1	4.42661735705098	6.60691593134667	15.1130657519305	1.14438074591959e-06	0.00291244842544269	6.17592280516113	1083	984	1041	13075	12530	11656	21.3609677200292	22.974135691161	19.3510240960916	347.777450223997	399.385098578875	649.142126221843	Down_hep_Up_hep_wssv
XM_027372224.1	6.02359283288086	2.23197795370557	12.7881855793133	3.61715759166681e-06	0.00291244842544269	4.88654452625809	20	32	35	982	1215	941	0.394477704894352	0.747126363940194	0.650610800541022	26.119881921221	38.7272860952381	52.4058631412795	Down_hep_Up_hep_wssv
XM_027372225.1	6.38890714756823	1.92527247733788	12.132837900916	5.18299594523281e-06	0.00291244842544269	4.45897818835074	16	28	18	878	1164	834	0.315582163915482	0.65373556844767	0.33459984027824	23.3536215140856	37.1016963085244	46.4468542612403	Down_hep_Up_hep_wssv
XM_027373288.1	-7.00555323046934	-2.28774270647294	-11.2866252541229	8.47535664728187e-06	0.00291244842544269	3.06667262108627	145	92	108	0	0	0	2.85996336048405	2.14798829632806	2.00759904166944	0	0	0	Up_hep_Down_hep_wssv
XM_027373397.1	3.12000215562868	3.88246832502932	12.3332669162889	4.63442608929789e-06	0.00291244842544269	4.96159696172463	215	258	265	1356	1336	949	4.24063532761428	6.02370630926781	4.92605320409631	36.0677799238042	42.5840775499902	52.8513965154881	Down_hep_Up_hep_wssv
XM_027373398.1	2.95762194530291	3.91340746762975	12.0281620139491	5.49855528416345e-06	0.00291244842544269	4.79744531934754	253	282	260	1389	1217	917	4.99014296691355	6.58405108222296	4.83310880401902	36.9455356299145	38.7910347143249	51.0692630186539	Down_hep_Up_hep_wssv
XM_027373401.1	2.91822752266908	4.2786829247284	11.3515559266796	8.15196173082421e-06	0.00291244842544269	4.41309434328263	281	378	389	1789	1602	1111	5.54241175376564	8.82543017404354	7.23107432601308	47.5849987342815	51.0626438885362	61.873447343211	Down_hep_Up_hep_wssv
XM_027373403.1	3.16580048034074	3.97475211903912	12.6805374460532	3.83276726793604e-06	0.00291244842544269	5.14335650412657	247	268	257	1469	1421	1045	4.87179965544525	6.25718329799913	4.77734216397265	39.0734282507879	45.2933938611797	58.1977970059905	Down_hep_Up_hep_wssv
XM_027373404.1	3.05507576886249	3.90776889441094	11.7139570882387	6.58480419902772e-06	0.00291244842544269	4.62194082687778	218	264	288	1397	1230	986	4.29980698334844	6.1637925025066	5.35359744445184	37.1583248920018	39.2054007383892	54.9119883712026	Down_hep_Up_hep_wssv
XM_027373544.1	3.01511915785569	3.96826130069144	13.7783017749087	2.16716022788259e-06	0.00291244842544269	5.68139708028936	257	235	321	1821	1183	865	5.06903850789242	5.4867092351858	5.96703048496195	48.4361557826308	37.7073081898491	48.1732960862984	Down_hep_Up_hep_wssv
XM_027373545.1	3.17680763749991	3.92018087224246	11.2654530877334	8.58393302409994e-06	0.00291244842544269	4.36216986407926	186	277	290	1721	1214	947	3.66864265551747	6.4673125878573	5.39077520448276	45.7762900065391	38.6954117856947	52.7400131719359	Down_hep_Up_hep_wssv
XM_027373547.1	3.08942509376859	3.92936993765217	13.2196049380098	2.88087654684701e-06	0.00291244842544269	5.41418566588357	237	253	277	1817	1140	893	4.67456080299807	5.90696781490216	5.14911976428181	48.3297611515872	36.3367128794827	49.7326628960283	Down_hep_Up_hep_wssv
