ID	lminusProb
XM_027350813.1	0
XM_027354432.1	0
XM_027355469.1	0
XM_027356802.1	0
XM_027358886.1	0
XM_027359306.1	0
XM_027360043.1	0
XM_027361439.1	0
XM_027362996.1	0
XM_027364574.1	0
XM_027364575.1	0
XM_027365807.1	0
XM_027365815.1	0
XM_027365839.1	0
XM_027365858.1	0
XM_027365863.1	0
XM_027366660.1	0
XM_027367223.1	0
XM_027367236.1	0
XM_027367238.1	0
XM_027367243.1	0
XM_027367406.1	0
XM_027369977.1	0
XM_027371482.1	0
XM_027371493.1	0
XM_027377589.1	0
XM_027383691.1	0
XR_003475609.1	0
XR_003476141.1	0
XR_003476718.1	0
XM_027359305.1	2.22044604925031e-16
XM_027370370.1	4.44089209850063e-16
XR_003477590.1	6.66133814775094e-16
XR_003477592.1	6.66133814775094e-16
XM_027365885.1	9.99200722162641e-16
XM_027367224.1	9.99200722162641e-16
XR_003476574.1	1.11022302462516e-15
XM_027365860.1	1.4432899320127e-15
XM_027368554.1	1.55431223447522e-15
XR_003476717.1	1.66533453693773e-15
XM_027368553.1	1.77635683940025e-15
XM_027368559.1	1.77635683940025e-15
XM_027382986.1	1.88737914186277e-15
XM_027367225.1	2.44249065417534e-15
XM_027383692.1	2.44249065417534e-15
XM_027365884.1	2.55351295663786e-15
XM_027365822.1	2.99760216648792e-15
XM_027367222.1	3.10862446895044e-15
XM_027359446.1	3.33066907387547e-15
XM_027355456.1	3.5527136788005e-15
XM_027373336.1	3.77475828372553e-15
XM_027354223.1	4.10782519111308e-15
XM_027363007.1	4.21884749357559e-15
XM_027368558.1	4.32986979603811e-15
XM_027365225.1	4.44089209850063e-15
XM_027365861.1	4.55191440096314e-15
XM_027356467.1	4.66293670342566e-15
XM_027378454.1	4.66293670342566e-15
XM_027373314.1	5.21804821573824e-15
XM_027373337.1	5.21804821573824e-15
XM_027373341.1	5.21804821573824e-15
XR_003476719.1	5.21804821573824e-15
XR_003477589.1	6.21724893790088e-15
XR_003475816.1	7.21644966006352e-15
XM_027367234.1	7.66053886991358e-15
XM_027370962.1	8.10462807976364e-15
XR_003476140.1	8.10462807976364e-15
XM_027370790.1	8.54871728961371e-15
XM_027381668.1	8.54871728961371e-15
XM_027367242.1	8.99280649946377e-15
XM_027367149.1	9.54791801177635e-15
XM_027370922.1	1.33226762955019e-14
XM_027365850.1	1.85407245112401e-14
XM_027367241.1	2.02060590481778e-14
XM_027362049.1	2.4535928844216e-14
XR_003477591.1	5.6621374255883e-14
XM_027365792.1	3.62160301747849e-11
XM_027363739.1	2.48217002507545e-10
XM_027354134.1	1.08146747113125e-09
XM_027371491.1	1.49230394708155e-09
XM_027359243.1	2.99421121230381e-09
XM_027371490.1	4.41325043176732e-09
XR_003476216.1	5.19211296179378e-09
XM_027354133.1	8.34619862111197e-09
XM_027365845.1	2.58941186270789e-08
XR_003475500.1	5.43816899289951e-08
XM_027354936.1	4.00815714340919e-06
XM_027356798.1	4.0175625645178e-06
XM_027381669.1	4.0275854319427e-06
XM_027373343.1	4.35893826666867e-06
XM_027378495.1	4.90635770933334e-06
XM_027373339.1	4.9810805524686e-06
XM_027373319.1	5.88695843317666e-06
XM_027357161.1	6.54377434960995e-06
XM_027373317.1	9.64884455800785e-06
XM_027371492.1	1.42087744159358e-05
XM_027355909.1	2.15390557500861e-05
XM_027372676.1	2.39413006639655e-05
XM_027354137.1	4.07285317142181e-05
XM_027356793.1	6.31239795919614e-05
XM_027373324.1	7.53085704697787e-05
XM_027371539.1	7.54004351433135e-05
