ID	muscle_mean	hep_mean	theta	prob	log2FC	lminusProb	log2FC_SigInv	muscle_1	muscle_2	muscle_3	muscle_4	muscle_5	muscle_6	hep_1	hep_2	hep_3	hep_4	hep_5	hep_6	muscle_1_normalized	muscle_2_normalized	muscle_3_normalized	muscle_4_normalized	muscle_5_normalized	muscle_6_normalized	hep_1_normalized	hep_2_normalized	hep_3_normalized	hep_4_normalized	hep_5_normalized	hep_6_normalized	Expression
XM_027350596.1	4.13374045566799	82.1206044217092	-1.35185676943906	0.970678459441254	-4.31222453145242	0.0293215405587465	4.31222453145242	0	0	4	0	3	0	156	249	272	138	135	185	1.67815272999299	1.35388268481866	14.4086071497885	0.721868159110045	5.78431464178871	0.855617368509046	53.8051769678046	100.381089144337	87.0844789491062	108.250533660678	69.0897312761736	74.1126165321557	Down_muscle_Up_hep
XM_027350598.1	1368.82359389355	5.39948813308208	2.14844662255548	0.963821937056642	7.98589816951796	0.0361780629433581	-7.98589816951796	9	277	285	3395	499	317	2	0	2	38	0	2	30.2067491398738	750.051007389538	1026.61325942243	4901.4848003572	962.124335417521	542.461411634735	0.6898099611257	0.201568452097063	0.640327051096369	29.8081179645346	0.255887893615458	0.801217476023305	Up_muscle_Down_hep
XM_027350619.1	5696.63377678835	1021.36244051998	2.02095329315723	0.965082265400969	2.47961475009691	0.034917734599031	-2.47961475009691	2335	3501	2740	1555	1299	1311	2806	2771	2889	1383	2162	2314	7836.97324906726	9479.88655910026	9869.89589760511	2245.00997483224	2504.60823989451	2243.42874023072	967.803375459358	1117.09236152192	924.952425308705	1084.85860907767	1106.45925199324	927.008619758963	Up_muscle_Down_hep
XM_027350629.1	1.59004229229709	53.9183631758479	-2.0713638861378	0.990636497048859	-5.08363965638341	0.00936350295114063	5.08363965638341	0	0	0	2	0	0	227	138	254	60	64	71	1.67815272999299	1.35388268481866	1.80107589372356	2.88747263644018	0.964052440298118	0.855617368509046	78.293430587767	55.6328927787893	81.3215354892389	47.0654494176862	32.7536503827786	28.4432203988273	Down_muscle_Up_hep
XM_027350630.1	3.0853317832994	727.138032650529	-3.18071293424736	0.995631397738686	-7.88065980785993	0.00436860226131419	7.88065980785993	0	3	1	0	0	2	2938	2303	2060	1003	1280	798	1.67815272999299	8.12329610891196	3.60215178744712	0.721868159110045	0.964052440298118	3.42246947403619	1013.33083289365	928.42429035907	659.53686262926	786.77742943232	655.073007655571	319.685772933298	Down_muscle_Up_hep
XM_027350644.1	9716.48992763156	62.1094410933234	4.61768855318414	0.99536642962091	7.28947884015784	0.00463357037908996	-7.28947884015784	3106	4158	2550	5483	3325	7657	37	5	43	7	37	798	10424.6847587164	11258.888406952	9185.48705799016	7916.00623280075	6410.94872798248	13102.9243813475	12.7614842808255	2.01568452097063	13.7670315985719	5.49096909873005	18.9357041275439	319.685772933298	Up_muscle_Down_hep
XM_027350645.1	9407.83401751356	59.6719456854792	4.64169263882496	0.99714735725065	7.30066597798748	0.00285264274934993	-7.30066597798748	3059	4126	2411	5460	3164	7211	15	24	37	23	29	745	10266.9384020971	11172.2399151236	8684.78795953501	7882.80029748169	6100.52384220649	12339.7136886375	5.17357470844275	9.675285700659	11.8460504452828	18.041755610113	14.8414978296965	298.453509818681	Up_muscle_Down_hep
XM_027350653.1	846.786075114849	2455.92022310624	-1.28653399402162	0.965915941484727	-1.53619424727415	0.0340840585152733	1.53619424727415	354	411	451	245	113	341	10536	8739	7205	2278	4155	3391	1188.13213283504	1112.89156692094	1624.57045613865	353.715397963922	217.875851507375	583.53104532317	3633.91887521019	3523.01340575246	2306.77820157467	1786.91822955815	2126.42839594445	1358.46423059751	Down_muscle_Up_hep
XM_027350660.1	5928.63557945905	26.8651103636129	3.54750801501525	0.973501573839075	7.78582254510936	0.026498426160925	-7.78582254510936	2484	3777	2291	2468	1286	1585	37	13	38	5	37	270	8337.06276260517	10227.2298011202	8252.52974504135	3563.14123336718	2479.54287644676	2712.30705817368	12.7614842808255	5.24077975452363	12.166213970831	3.92212078480718	18.9357041275439	108.164359263146	Up_muscle_Down_hep
XM_027350674.1	13.3780037221903	167.702565369559	-1.45429746860069	0.974386857011679	-3.64797000128423	0.0256131429883211	3.64797000128423	6	8	3	3	5	8	157	531	231	395	487	262	20.1378327599159	21.6621229570986	10.8064553623414	4.33120895466027	9.64052440298118	13.6898778961447	54.1500819483675	214.06569612708	73.9577744016306	309.847541999767	249.234808381456	104.959489359053	Down_muscle_Up_hep
