ID	gills_1_normalized	gills_2_normalized	gills_3_normalized	gills_wssv_1_normalized	gills_wssv_2_normalized	gills_wssv_3_normalized
XM_027350592.1	17.4671493395132	12.1130220306037	9.18286200582294	33.3801802978854	0	32.1294754180092
XM_027350593.1	20.8343106579735	13.410845819597	12.9784449682298	0	36.4919165480685	18.3597002388624
XM_027350594.1	20.413415493166	10.0941850255031	12.3662541678416	44.5069070638472	9.12297913701712	22.949625298578
XM_027350595.1	17.4671493395132	11.5362114577178	12.6111304879968	100.140540893656	13.6844687055257	36.7194004777248
XM_027350596.1	7.57611296653582	14.8528722518117	10.4072436065993	0	0	18.3597002388624
XM_027350597.1	213.814743722233	211.112669676236	215.980914376956	244.78798885116	200.705541014377	234.086178045495
XM_027350603.1	616.190521278247	648.767691853406	470.652287338445	289.294895915007	319.304269795599	279.985428642651
XM_027350604.1	198.452070206758	167.275066136908	178.882151873431	322.675076212892	296.496821953056	119.338051552606
XM_027350605.1	183.089396691282	188.184449404022	192.717663962204	244.78798885116	542.817258652519	266.215653463505
XM_027350606.1	171.725227241479	157.61348904107	186.350879638167	211.407808553274	246.320436699462	78.0287260151651
XM_027350607.1	216.550562293482	176.792440589526	221.123317100216	289.294895915007	328.427248932616	133.107826731752
XM_027350608.1	43.7730971399848	37.6368898808044	29.7524728988663	22.2534535319236	0	18.3597002388624
XM_027350613.1	13.0477501090339	54.3643964944952	21.3042398535092	1034.78558923445	2486.01181483717	4098.80307832603
XM_027350614.1	223.074437347999	113.199074928856	120.356711356319	133.520721191542	218.951499288411	137.697751791468
XM_027350615.1	233.807264050592	99.9324317524806	125.621552239658	100.140540893656	68.4223435276284	156.05745203033
XM_027350616.1	215.077429216656	102.095471400803	119.499644235776	211.407808553274	118.598728781223	252.445878284358
XM_027350617.1	144.156593946584	123.437462597581	146.436039452856	89.0138141276944	86.6683018016627	105.568276373459
XM_027350619.1	783.917244454054	800.90148045206	803.071891949235	367.18198327674	652.293008296724	523.251456807578
XM_027350620.1	148.36554559466	242.693048541739	652.840269533972	456.195797404434	1322.83197486748	647.179433419899
XM_027350621.1	55.7686093369998	28.984731287516	28.2832149779347	0	31.9304269795599	9.17985011943119
XM_027350627.1	1631.81055395886	1829.49893455083	1936.48193978794	1079.29249629829	1646.69773423159	1588.1140706616
XM_027350629.1	25.6746050532603	10.5267929551675	27.5485860174688	111.267267659618	27.3689374110514	0
XM_027350634.1	30.9357946133546	121.41862559248	98.072966222189	22.2534535319236	36.4919165480685	394.733555135541
