ID	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	gills_1	gills_2	gills_3	gills_wssv_1	gills_wssv_2	gills_wssv_3	gills_1_normalized	gills_2_normalized	gills_3_normalized	gills_wssv_1_normalized	gills_wssv_2_normalized	gills_wssv_3_normalized	Expression
XR_003476660.1	10932.8989072339	10.108583926285	0.393200314317159	25.708483839439	9.39552176458417e-146	1.62335825048485e-141	129	95	153	1987	4550	4940	27.1477381300867	13.6992511060399	18.7330384918788	22108.8060839661	20754.777536714	22674.229794995	Down_gills_Up_gills_wssv
XM_027372348.1	192630.808117855	12.1935551314463	0.475211347892563	25.6592254909767	3.33577300874421e-145	2.88177430225413e-141	308	719	638	33850	120022	50419	64.8178553803621	103.681700476239	78.1155461295338	376639.701027807	547479.100991535	231419.431585801	Down_gills_Up_gills_wssv
XR_003476661.1	6420.71116527236	9.83202767726402	0.394016199218848	24.9533590160922	1.96343455204091e-137	1.13080740633876e-133	92	70	106	1273	2741	2574	19.3611775811471	10.0941850255031	12.9784449682298	14164.3231730694	12503.042907282	11814.4671037079	Down_gills_Up_gills_wssv
XM_027367830.1	17878.0981468009	10.4179371045568	0.444133992627335	23.4567434096365	1.12820955768292e-121	4.87330118441138e-118	89	154	304	3296	9463	5959	18.7298348339358	22.2072070561068	37.2212006636023	36673.6914206101	43165.3757867965	27351.3634308452	Down_gills_Up_gills_wssv
XR_003476652.1	10231.5779604608	9.86667271497567	0.424696032541132	23.2323166664386	2.14722725672431e-119	7.41995850833652e-116	142	112	162	2131	4909	3316	29.8835567013358	16.150696040805	19.8349819325775	23711.0547382646	22392.3522918085	15220.1914980169	Down_gills_Up_gills_wssv
XR_003476663.1	7437.70797703273	9.53015076645836	0.412399896001654	23.1090038063932	3.75893232329704e-118	1.08244721136544e-114	135	114	128	1426	3614	2661	28.4104236245093	16.4391013272479	15.6720844899378	15866.7123682615	16485.2233005899	12213.7905839032	Down_gills_Up_gills_wssv
XR_003476667.1	4984.12548130199	9.91813857393653	0.438426523820364	22.6221226022363	2.62540652912027e-113	6.48025343002e-110	57	54	91	1116	2389	1429	11.9955121970151	7.78694273395953	11.1418725670652	12417.4270708134	10897.398579167	6559.00291033359	Down_gills_Up_gills_wssv
XM_027378844.1	3445.03246260811	9.90323483879801	0.448053287757273	22.1028058701869	2.97024336501908e-108	6.41498310759995e-105	47	51	37	552	1856	1316	9.89103637297733	7.35433480429511	4.53021192287265	6141.95317481092	8466.12463915189	6040.34137858572	Down_gills_Up_gills_wssv
XM_027360619.1	34452.086031284	11.2622555675659	0.510274866638388	22.0709588182539	6.01034425322434e-108	1.15385253341345e-104	93	238	246	5510	22808	8994	19.5716251635509	34.3202290867105	30.1197873790992	61308.2644804495	104038.454078543	41281.7859870821	Down_gills_Up_gills_wssv
XM_027366244.1	3656.99188990824	7.32030940138039	0.332215763262178	22.0348045183014	1.33620859342834e-107	2.30870120772549e-104	220	312	369	634	1968	1258	46.29846812883	44.9912246850995	45.1796810686489	7054.34476961978	8977.01147082485	5774.12572512222	Down_gills_Up_gills_wssv
