ID	DESeq2_gills_1_normalized	DESeq2_gills_2_normalized	DESeq2_gills_3_normalized	DESeq2_gills_wssv_1_normalized	DESeq2_gills_wssv_2_normalized	DESeq2_gills_wssv_3_normalized
XM_027350595.1	17.4671493395132	11.5362114577178	12.6111304879968	100.140540893656	13.6844687055257	36.7194004777248
XM_027350613.1	13.0477501090339	54.3643964944952	21.3042398535092	1034.78558923445	2486.01181483717	4098.80307832603
XM_027350635.1	234.859501962611	1653.57170982063	733.404578865059	2356496.08158275	2648168.20750808	1088606.29618793
XM_027350641.1	101.014839553811	80.3208722743603	101.378796544285	7577.30092761999	10819.8532565023	3814.22772462366
XM_027350646.1	33.6716131846037	21.4861938399994	32.9358650608849	5440.96938855532	11837.0654302797	348.834304538385
XM_027350661.1	17.8880445043207	11.2478061712749	8.69310936551238	122.39399442558	159.6521348978	78.0287260151651
XM_027350662.1	13.2581976914377	7.06592951785217	11.3867488872204	77.8870873617326	118.598728781223	87.2085761345963
XM_027350663.1	15.5731210978792	6.48911894496628	7.95848040504655	189.154355021351	287.373842816039	96.3884262540275
XM_027350664.1	14.5208831858603	20.3325726942277	22.1613069740527	144.647447957503	301.058311521565	215.726477806633
XM_027350665.1	2653.32311894677	32417.4752094032	1998.5580869473	3994.49490898029	4894.47830700969	125148.896678205
XM_027350666.1	13.889540438649	11.3920088144964	7.59116592481363	0	0	0
XM_027350674.1	276.738570860961	191.645312841337	90.9715529376859	22.2534535319236	27.3689374110514	36.7194004777248
XM_027350680.1	38.5119075798904	36.1948634485897	31.3441689798756	0	9.12297913701712	18.3597002388624
XM_027350691.1	3.99850406567169	25.0912599205363	16.5291516104813	178.027628255389	214.390009719902	78.0287260151651
XM_027350741.1	437.520523817444	408.526088246432	325.807943966598	4450.69070638472	4228.50083000744	3575.55162151845
XM_027350745.1	103.119315377849	148.384519874895	130.519078642763	1424.22102604311	1669.50518207413	1018.96336325686
XM_027350748.1	41.8790688983508	42.5397797503345	37.2212006636023	1468.72793310696	428.780019439805	238.676103105211
XM_027350780.1	524.85627051501	453.517312931532	626.51606511728	467.322524170396	2850.93098031785	1376.97751791468
XM_027350782.1	42.7208592279659	46.0006431876498	13.223321288385	0	18.2459582740342	0
XM_027350785.1	26.7268429652792	31.2919735790596	83.0130725326394	0	9.12297913701712	0
XM_027350789.1	0	7.78694273395953	3.67314480232918	645.350152425785	405.972571597262	224.906327926064
XM_027350816.1	82.2850047198752	187.896044117579	165.169077944735	3749.70692012913	4917.28575485223	3125.73896566632
XM_027350817.1	703.736715558217	524.609216039718	226.877910623865	222.534535319236	63.8608539591199	156.05745203033
XM_027350818.1	628.186033475262	483.944070651263	232.754942307592	244.78798885116	72.983833096137	146.877601910899
XM_027350827.1	41.668621315947	43.8376035393277	39.3026493849222	0	13.6844687055257	9.17985011943119
XM_027350845.1	81.8641095550677	67.6310396708707	58.5254405171115	22.2534535319236	9.12297913701712	22.949625298578
XM_027350877.1	106.696924278713	288.982097015831	383.109002882933	0	100.352770507188	128.517901672037
XM_027350880.1	89.2297749391997	95.0295418829506	57.1786207562575	22.2534535319236	0	45.899250597156
XM_027350886.1	131.950634167166	155.017841463083	188.677204679642	22.2534535319236	18.2459582740342	91.7985011943119
XM_027350894.1	149.628231089083	147.375101372345	210.716073493617	22.2534535319236	9.12297913701712	59.6690257763028
XM_027350902.1	1694.10303835037	1173.66531317957	3037.69075152623	255.914715617122	127.72170791824	59.6690257763028
XM_027350903.1	845.367938515956	905.304194144406	1805.8404229851	77.8870873617326	50.1763852535942	13.7697751791468
XM_027350910.1	183.299844273686	188.617057333686	515.342215766783	33.3801802978854	13.6844687055257	55.0791007165872
XM_027350917.1	89.4402225216035	28.5521233578516	74.0750868469717	178.027628255389	173.336603603325	206.546627687202
XM_027350921.1	510.335387329149	311.766114644824	581.458822208709	233.661262085198	50.1763852535942	192.776852508055
XM_027350928.1	380.489228986021	498.220132330189	362.294515669734	111.267267659618	104.914260075697	64.2589508360184
