ID	hep_1_normalized	hep_2_normalized	hep_3_normalized	hep_4_normalized	hep_5_normalized	hep_6_normalized	hemocytes_1_normalized	hemocytes_2_normalized	hemocytes_3_normalized	hemocytes_4_normalized	hemocytes_5_normalized	hemocytes_6_normalized
XM_027350592.1	36.1030686834291	39.422919050971	56.3814894272404	46.9546597559152	20.5044592735657	34.4774785668398	84.8422567942572	37.9170622656979	84.3184501214286	46.5210730707901	45.365639703483	51.4668827402586
XM_027350593.1	44.3766885900482	36.6724828381126	40.6803151563633	54.1784535645175	20.5044592735657	49.5061230703341	88.2359470660275	35.5472458740918	80.3966617436877	64.3254343694875	48.8940783470872	39.3944040727905
XM_027350594.1	46.6331303827625	24.753925915726	41.3940048959487	46.9546597559152	36.1843398945277	29.1732510950183	81.4485665224869	66.3548589649713	98.0447094435216	47.095407306232	34.7803237726703	39.3944040727905
XM_027350595.1	33.0944796264766	44.0069794057351	52.0993509897285	65.014144277421	20.5044592735657	30.0572890069885	84.8422567942572	33.1774294824856	45.1005663440199	39.6290622454879	43.8534517133669	40.0297976868678
XM_027350596.1	117.334973221144	228.286205667251	194.123609167208	249.220886396781	162.829529525375	163.547013714496	52.0365841671444	92.4228392726386	82.3575559325582	9.7636820025115	6.0487519604644	7.6247233689272
XM_027350597.1	282.807371353528	265.875500576316	244.08189093818	500.247721245712	429.387500081729	430.526463129512	576.927346200949	436.046216055526	823.575559325582	657.03836534548	586.728940165047	589.645273863703
XM_027350603.1	1437.35342195902	1664.93072085031	1590.81442953568	1919.72320463607	1869.52422788393	1397.66393882497	1005.6635505346	789.148858404837	1241.24602155498	898.258744231058	867.995906326641	871.124644899932
XM_027350604.1	287.320254938956	211.7835883901	361.840697969758	251.026834848931	360.637254282126	195.372378545425	167.422053407334	132.709717929943	88.2402384991695	105.677499321301	82.1622141296414	101.027584638285
XM_027350605.1	353.50921419191	272.293185072986	450.338225678338	372.02538114302	361.843398945277	221.009477992563	178.734354313235	120.860635971912	94.1229210657808	110.272173204836	91.235342070338	110.558488849444
XM_027350606.1	199.319025023098	212.700400461053	282.621136875787	260.056577109684	289.474719156222	131.721648883567	100.679478062519	90.0530228810325	45.1005663440199	37.3317253037204	53.4306423174355	31.7696807038633
XM_027350607.1	233.165651913813	208.116340106289	292.612793229982	272.698216274738	330.483637703353	196.256416457396	89.3671771566176	61.6152261817591	39.2178837774087	58.582092015069	48.3900156837152	52.1022763543358
XM_027350608.1	194.053994173431	176.944729693893	200.546816823475	122.80449474624	150.768082893866	77.7953362533821	152.716062229663	393.389521006616	207.854784020266	252.707063594415	241.446015755204	221.752371312966
XM_027350614.1	139.14724388405	102.682951946715	141.310568437894	72.2379380860233	100.110007041527	173.271430746169	2245.49172982134	2071.21952626375	2507.98366756528	2752.7839904728	2657.92242396073	2463.42104177756
XM_027350615.1	142.155832941002	101.766139875762	160.580191406697	81.2676803467763	124.232900304545	150.286445034943	2047.52646396807	1912.44182802614	2553.0842339093	2662.61351550843	2710.34494095142	2451.34856311009
XM_027350616.1	142.90798020524	99.9325157338567	138.455809479552	46.9546597559152	131.469768283451	144.982217563121	1862.0047291113	1822.3888051451	2419.74342906611	2249.66720022574	2315.15981286775	2168.59840484571
XM_027350617.1	168.480987189336	182.44560211961	156.298052969185	283.533906987642	355.812675629523	279.355980182599	348.41886790175	284.377966992734	266.681609686379	214.801004055253	223.803822537183	240.178786121207
