ID	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	hemocytes_1	hemocytes_2	hemocytes_3	hemocytes_4	hemocytes_5	hemocytes_6	gills_1	gills_2	gills_3	gills_4	gills_5	gills_6	hemocytes_1_normalized	hemocytes_2_normalized	hemocytes_3_normalized	hemocytes_4_normalized	hemocytes_5_normalized	hemocytes_6_normalized	gills_1_normalized	gills_2_normalized	gills_3_normalized	gills_4_normalized	gills_5_normalized	gills_6_normalized	Expression
XM_027381617.1	5596.74027184641	9.40469140209996	0.270834533732503	34.7248604987308	3.32151630404706e-264	5.49179505711141e-260	10	12	6	30	34	19	912	17362	29317	18024	12085	18646	11.4362544312817	29.3827949569189	11.9809804089425	18.2935721093212	18.2346838907459	12.7930163014234	10781.2087260464	7193.01648701115	11011.4354013282	12001.4913289715	12924.0516338357	13147.5583828654	Down_hemocytes_Up_gills
XM_027357077.1	3437.5467111017	9.56662873909882	0.303301034443569	31.5416950576828	2.33073205857992e-218	1.92681619282802e-214	9	4	7	10	23	7	746	14419	19639	9120	7152	7521	10.2926289881535	9.79426498563965	13.9778104770996	6.09785736977372	12.3352273378575	4.71321653210336	8818.83959389323	5973.74177665095	7376.38843833556	6072.65872837441	7648.55749153437	5303.1634987413	Down_hemocytes_Up_gills
XM_027373805.1	1370.31578957824	7.60072366261235	0.269364483680893	28.217245119875	3.59287780178686e-175	1.98015471915813e-171	23	8	2	21	25	14	228	5795	8773	3490	2557	4125	26.303385191948	19.5885299712793	3.99366013631417	12.8055004765248	13.407855802019	9.42643306420671	2695.3021815116	2400.84843579251	3295.12988286154	2323.85734232749	2734.53041189225	2908.59585591117	Down_hemocytes_Up_gills
XM_027352808.1	5414.02458646692	11.5458466258712	0.436382896120453	26.4580640728968	2.94689268488135e-154	1.21809809129571e-150	0	2	0	6	10	8	1164	34518	32137	10062	8755	12416	0	4.89713249281982	0	3.65871442186423	5.36314232080761	5.38653317954669	13760.2269266645	14300.6878872625	12070.6245349962	6699.90045229203	9362.85246621692	8754.69724775588	Down_hemocytes_Up_gills
XM_027382986.1	5669.61990528474	5.2039784911839	0.202396352437487	25.711819548681	8.62221682471994e-146	2.85119465959839e-142	308	133	80	498	651	446	938	22868	27614	15651	11726	17513	352.236636483477	325.659310772518	159.746405452567	303.673297014731	349.140565084575	300.299224759728	11088.5677467451	9474.13322341728	10371.7903323081	10421.4015085294	12540.1265584077	12348.6640544418	Down_hemocytes_Up_gills
XM_027367438.1	5003.22372204235	8.77190468142017	0.344673373581479	25.4499051965397	7.076572323505e-143	1.95006744661386e-139	7	12	15	36	44	39	1270	12868	18587	15875	11048	14449	8.0053781018972	29.3827949569189	29.9524510223563	21.9522865311854	23.5978262115535	26.2593492502901	15013.3060110515	5331.16784672615	6981.25830761969	10570.554529928	11815.0535747304	10188.1943083783	Down_hemocytes_Up_gills
XM_027353243.1	3369.62801450548	11.1038499808312	0.44418848646678	24.9980589752671	6.41784978879898e-138	1.51589612011432e-134	0	0	3	4	4	10	611	11817	13832	9002	8775	10957	0	0	5.99049020447125	2.43914294790949	2.14525692832304	6.73316647443337	7222.93698641925	4895.74218563591	5195.28514074329	5994.08704745904	9384.24104980623	7725.93570744694	Down_hemocytes_Up_gills
XM_027352932.1	1875.36446812089	8.09328355385434	0.328850635699813	24.6108192451304	9.67522751146198e-134	1.9996276459314e-130	18	1	3	25	35	18	320	5927	7895	5666	4790	6141	20.5852579763071	2.44856624640991	5.99049020447125	15.2446434244343	18.7709981228266	12.1196996539801	3782.88025475313	2455.53557876483	2965.35397528689	3772.77240734314	5122.56576963781	4330.10597603648	Down_hemocytes_Up_gills
XM_027377198.1	2940.91871757721	11.7845195865912	0.482939988398287	24.4016231202465	1.6436646437426e-131	3.01959457996002e-128	0	0	5	2	2	2	415	14085	14839	8290	6413	9338	0	0	9.98415034078542	1.21957147395474	1.07262846416152	1.34663329488667	4905.92283038296	5835.36673306946	5573.5133171985	5519.99351515613	6858.24932790967	6584.35590363599	Down_hemocytes_Up_gills
XM_027370278.1	351.160430688759	5.84234430087971	0.24244579874865	24.0975274928835	2.65345068662885e-128	4.38721536527214e-125	16	5	0	19	26	16	74	1601	1760	951	632	906	18.2980070900508	12.2428312320496	0	11.5859290025701	13.9441700340998	10.7730663590934	874.791058911661	663.28875680825	661.054211083588	633.234479241674	675.879241421941	638.833417080125	Down_hemocytes_Up_gills
