ID	edgeR_FDR	limma_adj.P.Val	NOISeq_lminusProb	DESeq2_padj
XM_027350604.1	8.27866871319652e-06	0.000527623123872946	0.0609681115521068	4.79309094644194e-13
XM_027350605.1	0.000128302355995932	0.00134074067452979	0.0725552491381446	3.98993871653806e-11
XM_027350606.1	1.86229784322621e-05	0.000474248922238025	0.0595290234504813	2.31351411230014e-10
XM_027350607.1	1.54255206255757e-06	0.000244436455489672	0.0444560873499821	7.69158440649019e-12
XM_027350608.1	0.000152263578382356	0.0191802119374852	0.140977425941664	0.000141698325045871
XM_027350614.1	0.000986433910333437	0.00937959313565893	0.0483357073286336	5.92084216613173e-06
XM_027350615.1	7.0329056998564e-06	0.00280816089304939	0.0477286688713136	2.15595368305442e-08
XM_027350616.1	0.000152830836619978	0.00897544457879639	0.0603590220780995	2.07439407643377e-06
XM_027350619.1	1.14609606939282e-06	0.000392738711238883	0.0385597431306486	6.16338042194366e-08
XM_027350620.1	0.0289384711904374	0.0864680087333783	0.110655792471462	0.00646243664254986
XM_027350629.1	6.26267646524796e-10	1.87031461591427e-05	0.0252722584616811	8.94481506779381e-08
XM_027350635.1	0.000206112370567171	0.304083033812543	0.0149724837968944	1
XM_027350640.1	2.38684098930378e-08	0.000177183074470339	0.0254921622369555	1.09277531326223e-13
XM_027350642.1	0.000720122856739467	0.0172668276403469	0.0422647359447311	3.56165189549803e-05
XM_027350643.1	0.000277433579825603	0.0119689476948181	0.0446842226407073	8.25360525815961e-06
XM_027350644.1	4.23781330327369e-19	1.69562605514344e-08	0.00272347362028968	8.93649724760958e-34
XM_027350645.1	8.3143879624106e-17	3.22441787010429e-08	0.00204713258005573	1.22439904603175e-28
XM_027350653.1	4.26145781820147e-13	7.88057341132171e-06	0.0193918716797074	2.96631951536585e-16
XM_027350660.1	4.55119967998393e-22	6.34580756420941e-08	0.00680475731089469	2.6059741663703e-51
XM_027350665.1	3.41405601044598e-05	0.00031797090244181	0.0302309053541463	2.425850036075e-08
XM_027350671.1	0.0163693170664441	0.200699958625139	0.106503982217309	0.0205021274815995
XM_027350674.1	3.6068103822433e-07	0.00928637946297141	0.0255120218868227	1
XM_027350677.1	1.2390281971823e-07	6.59986297220365e-06	0.0152983430274816	1.68159318354901e-12
XM_027350678.1	0.00149196740289589	0.000633844951302712	0.136937476314574	0.00203782925034405
XM_027350688.1	0.0036353975877249	0.010890125665775	0.223527352826369	0.00674042881872946
XM_027350689.1	0.000353495993084268	0.00215669518739918	0.192839197999336	0.000644848436633549
XM_027350690.1	2.86853517476917e-32	2.72799662705923e-08	0.00630572033952348	2.16433699963798e-46
XM_027350702.1	7.21439153450624e-32	7.59272812425675e-09	0.0102462275308393	6.29111235675231e-65
XM_027350703.1	5.02986493154853e-06	0.000234387400720596	0.0239895812009089	1.65137067577276e-07
XM_027350704.1	1.03703758497296e-07	1.28937254297398e-05	0.0112178810577893	5.65547815023597e-13
XM_027350705.1	3.28739271895234e-08	8.35039960875797e-06	0.010345194757071	3.97661787819577e-14
XM_027350736.1	3.43678317518123e-33	1.58165307968219e-08	0.00427958482851687	8.55325972704597e-68
XM_027350745.1	0.00330825129757405	0.125941673998318	0.0704648360672384	0.000338420315508978
XM_027350748.1	2.86477374998327e-15	2.19748230147541e-07	0.0202636939361663	7.05425572680572e-14
XM_027350749.1	0.00100891226176056	0.0016484715521536	0.123207230679985	0.000316278731877555
XM_027350755.1	6.6958855465551e-05	0.000619825945818429	0.0380454554345743	1.85749651665934e-05
XM_027350768.1	0.00028199893199901	0.00219511135283358	0.124812592446634	1.53859739253757e-06
XM_027350776.1	0.006095081418519	0.0301335207930313	0.0693562420505622	0.00031021728530052
XM_027350777.1	0.0281632484386427	0.129602453936312	0.116271150655216	0.00464363405703643
XM_027350778.1	0.00497269622303775	0.0564307374058734	0.0817867788203102	0.000421304835177109
XM_027350780.1	1.30611973963421e-12	5.44760630250488e-07	0.0142075026828891	6.26593660333699e-21
XM_027350784.1	0.000294564463852585	0.0015054876674032	0.195449961687952	0.000204762683571151
XM_027350785.1	0.000380048601795153	0.00182418790676951	0.189381022987884	0.000331209729495875
XM_027350786.1	0.00220537873204775	0.00530494293997728	0.215179442285452	0.00211854600362706
