ID	logFC	logCPM	PValue	FDR	gills_1	gills_2	gills_3	gills_wssv_1	gills_wssv_2	gills_wssv_3	gills_1_normalized	gills_2_normalized	gills_3_normalized	gills_wssv_1_normalized	gills_wssv_2_normalized	gills_wssv_3_normalized	Expression
XM_027350613.1	6.42514956965669	5.81923051837716	1.97135627794383e-12	9.47040249335669e-11	62	377	174	93	545	893	0.569109712868134	2.38265404763941	0.956526912932063	42.9182206452921	108.643100341237	184.600789422166	Down_gills_Up_gills_wssv
XM_027350635.1	11.1482488262177	15.4175890283944	2.26654334274392e-23	3.04911574961069e-21	1116	11467	5990	211787	580549	237173	10.2439748316264	72.4718672792604	32.9287138417417	97736.787051661	115729.620660559	49028.3572560171	Down_gills_Up_gills_wssv
XM_027350641.1	6.26347004793895	7.33580296489137	1.84719607250311e-19	1.97878028655673e-17	480	557	828	681	2372	831	4.40601068026943	3.52026075473516	4.55174875809051	314.272131821977	472.846667907183	171.784161265196	Down_gills_Up_gills_wssv
XM_027350646.1	7.60636819445473	6.98599197665102	1.16862000355944e-09	3.79069748444309e-08	160	149	269	489	2595	76	1.46867022675648	0.941685551984808	1.47876861826853	225.666773070407	517.300633734882	15.7107054827375	Down_gills_Up_gills_wssv
XM_027350661.1	3.22914498772242	1.38471042366337	4.80257303122679e-06	8.28467717533893e-05	85	78	71	11	35	17	0.780231057964377	0.492962906408155	0.390306958725152	5.07634867847541	6.97707983842808	3.5142367527176	Down_gills_Up_gills_wssv
XM_027350662.1	3.15725089840899	1.04780679224757	7.64343248045328e-06	0.000127175577436037	63	49	93	7	26	19	0.578288901785362	0.309681825820507	0.511247143118861	3.23040370448435	5.18297359426086	3.92767637068437	Down_gills_Up_gills_wssv
XM_027350663.1	4.23116418513331	2.01640755119121	3.18556746184747e-08	8.21431467056477e-07	74	45	65	17	63	21	0.67925997987487	0.284401676773935	0.357323272072323	7.84526613946199	12.5587437091705	4.34111598865115	Down_gills_Up_gills_wssv
XM_027350664.1	3.53225379458161	2.32594409959932	4.29964068095227e-08	1.09247385618222e-06	69	141	181	13	66	47	0.63336403528873	0.891125253891664	0.995007880693698	5.99932116547093	13.1567791238929	9.71583102221924	Down_gills_Up_gills_wssv
XM_027350691.1	3.31919024676803	1.77567028136908	8.42125431421598e-05	0.00108253664717707	19	174	135	16	47	17	0.174404589427331	1.09968648352588	0.74213294968867	7.38377989596423	9.3692214973177	3.5142367527176	Down_gills_Up_gills_wssv
XM_027350741.1	3.36100661634885	6.59543891013198	8.01838095157785e-11	3.11299738330385e-09	2079	2833	2661	400	927	779	19.0835337589169	17.9046655622346	14.62826503053	184.594497399106	184.792943149224	161.034731198059	Down_gills_Up_gills_wssv
XM_027350745.1	3.39890769938663	5.00758727251466	1.65234604228736e-10	5.99891489913282e-09	490	1029	1066	128	366	222	4.49780256944171	6.50331834223065	5.86010166198609	59.0702391677138	72.9603205961336	45.8917975943122	Down_gills_Up_gills_wssv
XM_027350748.1	4.06151085592277	3.94657690128756	1.28939172318251e-07	3.03610637233505e-06	199	295	304	132	94	52	1.82665859452837	1.86441099218469	1.67117345707671	60.9161841417049	18.7384429946354	10.7494300671362	Down_gills_Up_gills_wssv
XM_027350785.1	-3.69598858982278	0.434659824793241	0.00174422952538095	0.0141577919473625	127	217	678	0	2	0	1.16575699248795	1.37144808577653	3.72715659176976	0	0.398690276481604	0	Up_gills_Down_gills_wssv
XM_027350789.1	6.7129061389726	3.12660647940166	1.21595240919908e-12	6.0987393379309e-11	0	54	30	58	89	49	0	0.341282012128722	0.164918433264149	26.7662021228703	17.7417173034314	10.129270640186	Down_gills_Up_gills_wssv
XM_027350816.1	4.73116090736835	6.46087134017665	4.47558582058958e-14	2.74449881026542e-12	391	1303	1349	337	1078	681	3.58906286663614	8.23500855192084	7.41583221577789	155.520864058747	214.894059023585	140.776189917687	Down_gills_Up_gills_wssv
