ID	logFC
XM_027378341.1	-10.0909243591192
XM_027357077.1	10.082855024835
XM_027355338.1	-10.5129664098456
XM_027358234.1	-10.8091638560534
XM_027356113.1	9.96741710815793
XM_027365793.1	10.0475442399374
XM_027352295.1	-10.4176738149266
XM_027369773.1	-11.1031793663888
XM_027369931.1	10.1712114112477
XM_027366326.1	-7.54577801846667
XM_027369645.1	-10.3434687378811
XM_027378230.1	-10.4249736152478
XM_027372562.1	-10.8611326785264
XM_027369548.1	-9.31668762703187
XM_027379160.1	-8.340010520448
XM_027360238.1	-7.03148296524297
XM_027352868.1	-9.76728163314493
XM_027373392.1	8.5987663871399
XM_027365314.1	-12.0941457212303
XM_027373391.1	10.7737575580465
XM_027376737.1	-9.1290556775599
XM_027351265.1	-10.3020294349674
XM_027364536.1	-9.08219991654697
XM_027377089.1	9.16577945689333
XM_027378226.1	-11.161107115611
XM_027375239.1	-10.6828950538596
XM_027374288.1	-10.0615072309187
XM_027359900.1	-11.3081075569828
XM_027381890.1	-11.0597298465054
XM_027362059.1	-9.97320127982194
XM_027378603.1	-10.5852259110838
XM_027381944.1	-8.56440652440717
XM_027381869.1	-8.07441163704069
XM_027351217.1	-8.16384184108816
XM_027376738.1	-9.23448702529786
XM_027376741.1	-11.8740677294467
XM_027351567.1	-10.0257974616742
XM_027364294.1	-5.41570867351514
XM_027379274.1	10.6667113302502
XM_027363991.1	-10.6302324933035
XM_027374772.1	-9.18341660936389
XM_027367556.1	-10.1554970005223
XM_027376740.1	-11.8718379002463
XM_027353827.1	9.78964630873097
XM_027376739.1	-9.00494235077926
XR_003475003.1	-9.35927649341342
XM_027369774.1	-9.17101359727537
XM_027352856.1	-9.31478723414943
XM_027352583.1	-9.3531973508297
XM_027359091.1	-10.290785338582
XM_027372020.1	8.71130616772261
XM_027352581.1	-10.1663294681894
XM_027371565.1	8.57286152416482
XM_027354240.1	-10.7439448854534
XM_027364508.1	9.31144776242757
XM_027358239.1	-10.6788033771469
XM_027382409.1	-10.2960432769382
XM_027380532.1	6.7223661057489
XM_027382967.1	9.70482945083145
XM_027375237.1	-9.07263084611016
XR_003475884.1	10.7538484577289
XM_027367600.1	9.99697770606895
XM_027365171.1	7.42653953345438
XM_027364399.1	-8.80108127525697
XM_027380876.1	-10.5994258756048
XM_027358195.1	-9.59654691996965
XM_027380873.1	-7.9928165780387
XM_027377056.1	9.73857959766647
XM_027366647.1	10.4536006984957
XM_027374535.1	-9.58381549310044
XM_027374374.1	-11.2420641535471
XR_003477669.1	-11.0175762312916
XM_027357980.1	10.0134923625181
XM_027379383.1	-9.52391767986256
XM_027373083.1	9.89180201009305
XM_027358358.1	-10.4088023398296
XM_027369416.1	-9.21961184970655
XM_027380544.1	-12.0217312120083
XM_027372585.1	-9.96018523801154
XM_027354471.1	6.87504804493249
XM_027365607.1	-9.94337916205054
XM_027383641.1	-10.4141522145471
XM_027358641.1	8.67420734037548
XM_027382410.1	-11.1516852275771
XM_027365593.1	-9.90739903079722
XM_027378792.1	9.16748348679846
XM_027375238.1	-9.88608135727164
XM_027382408.1	-10.0373160571445
XM_027357395.1	-7.71458022603621
XM_027379583.1	8.07721539426368
XM_027352582.1	-9.85457343481183
XM_027380253.1	-9.74082506982191
XM_027354213.1	8.84841746133229
XR_003476604.1	-8.63263061740758
XM_027372638.1	-11.2407455476744
XM_027364397.1	-8.11593544654372
XM_027358146.1	-8.01104914545625
XM_027360302.1	-9.27241148680826
XM_027376736.1	-8.681241989939
XR_003476507.1	-8.93726425543726
XM_027352580.1	-8.87260601635597
XM_027368839.1	-9.79166394777686
XM_027369417.1	-8.73231828598799
XM_027374289.1	-9.90103756356458
XM_027382895.1	-8.98360615392557
XM_027364396.1	-7.59258292813601
XM_027352012.1	-7.59169520586378
XM_027358460.1	-9.44805873128562
XM_027374373.1	-9.96968926911013
XM_027376188.1	-9.05599663146973
XM_027351791.1	-11.2351378983167
XM_027373824.1	-11.916655986808
XM_027375194.1	-12.1450050925658
XM_027371550.1	-9.5632174999436
XM_027383790.1	-10.1871459970198
XM_027353240.1	-8.77280517119657
XM_027378793.1	10.7778302029854
XM_027373517.1	-9.17025436727409
XM_027357868.1	9.78011100795039
XM_027363321.1	-10.5887492484858
XM_027369649.1	-7.66897045045622
XM_027352584.1	-9.51927758586287
XM_027363970.1	-6.35840329242201
XM_027355671.1	-10.5560892269663
XM_027375725.1	-6.72929730502599
XM_027380885.1	-10.1568253376823
XM_027363303.1	-10.0852480330689
XM_027380874.1	-9.92154505345471
XM_027366648.1	8.35320419904874
XM_027378234.1	-11.7531883215178
XM_027373014.1	-6.04987053040016
XM_027358144.1	-9.34618006296226
XM_027375340.1	-10.3326529167148
XM_027352527.1	7.77218358549546
XM_027359268.1	-10.4686267980155
XM_027353363.1	-9.30749292739933
XM_027358149.1	-10.7948877611249
XM_027350765.1	-9.8945752586223
XM_027366120.1	11.7416264539644
XR_003477847.1	-9.2705086789731
XM_027370516.1	9.81861312235086
XM_027352297.1	-9.51032029559702
XM_027368862.1	-8.89141666034876
XM_027357622.1	-9.98654746063319
XM_027375142.1	-8.13748273542113
XM_027382405.1	-9.33594598007586
XM_027358803.1	-7.72156775182805
XM_027372584.1	-9.75604615354292
XM_027366644.1	7.97900224336201
XM_027372639.1	-8.77893151978903
XM_027362075.1	-8.25343946450676
XM_027369992.1	-8.47596765586073
XM_027373518.1	-8.97253592328578
XM_027375195.1	-10.3501074976578
XM_027350759.1	-8.92235621021284
XM_027359269.1	-9.88402929472354
XM_027381145.1	-10.0341093680279
XM_027378442.1	9.46308005926434
XM_027351614.1	-6.86344960162836
XM_027373601.1	-10.0086406282534
XM_027378231.1	-10.3285419024985
XM_027362057.1	-10.4736672473462
XM_027351568.1	-10.3680158408397
XM_027372637.1	-8.53695941640616
XM_027365794.1	8.86821549099056
XM_027373415.1	-10.5635958440111
XM_027374392.1	9.57591875119193
XM_027358359.1	-9.72927876649492
XM_027351405.1	-7.97843248829975
XM_027364033.1	-10.2069832052815
XR_003476748.1	-9.90218121973599
XM_027383349.1	11.7271774661191
XM_027378386.1	-9.44154351243976
XM_027369246.1	-10.2118786197488
XM_027362060.1	-9.21149297319909
XM_027380095.1	-9.97460139451137
XM_027358148.1	-8.19061899459851
XM_027378590.1	-9.60581428208569
XM_027351790.1	-9.71846574546876
XM_027372718.1	-8.31004254431905
XM_027351588.1	-9.41266134836111
XM_027374193.1	9.8853014269637
XM_027358147.1	-8.23123112346947
XM_027376373.1	-8.19303529390371
XM_027367880.1	-10.6434127286474
XM_027373109.1	-10.0361726028602
XM_027357750.1	-9.12961227197889
XR_003476190.1	9.41723150205856
XM_027362061.1	-9.99293315943242
XM_027371250.1	-8.40367994526022
XM_027375193.1	-10.7839958479965
XM_027362743.1	-8.96832497326578
XM_027362099.1	-11.8408806519201
XM_027371251.1	-8.23834910358897
XM_027366040.1	-7.88573222546298
XM_027357752.1	-9.62301184268015
XM_027374701.1	-7.11337215580385
XM_027383389.1	-10.3471124649786
XM_027367369.1	-10.6508425584545
XM_027367840.1	-9.25485653294449
XM_027382602.1	9.71680072322441
XM_027375920.1	-10.3740046257875
XM_027359032.1	-7.39205012189761
XM_027355117.1	-9.70318059250821
XM_027373960.1	-10.4146209768114
XM_027361279.1	-8.23432601661843
XM_027372150.1	-9.02991187242829
XM_027381868.1	-8.15356991578737
XM_027381742.1	-7.42671944738097
XM_027369070.1	8.81290416372696
XM_027364291.1	-4.6680977491391
XM_027379714.1	6.47525877206078
XM_027372438.1	9.8235513773208
XM_027355865.1	-9.79281818366863
XM_027362998.1	11.9798785442896
XM_027379752.1	9.87777287912033
XM_027372984.1	-10.7990467763678
