ID	logFC	logCPM	PValue	FDR	hep_1	hep_2	hep_3	hep_4	hep_5	hep_6	gills_1	gills_2	gills_3	gills_4	gills_5	gills_6	hep_1_normalized	hep_2_normalized	hep_3_normalized	hep_4_normalized	hep_5_normalized	hep_6_normalized	gills_1_normalized	gills_2_normalized	gills_3_normalized	gills_4_normalized	gills_5_normalized	gills_6_normalized	Expression
XM_027378341.1	-10.0909243591192	3.97596245790347	1.13859680588036e-62	2.17790797028795e-58	1149	1000	1599	597	948	879	0	0	3	2	0	2	29.4177238579911	30.2172547140396	38.1977562061767	31.7297163395843	32.4851799989066	25.6472604411959	0	0	0.0371795532786897	0.0429358886853421	0	0.0470044616068975	Up_hep_Down_gills
XM_027357077.1	10.082855024835	6.73154440042465	6.90140285199557e-60	6.60050168764857e-56	8	13	10	1	5	2	746	14419	19639	9120	7152	7521	0.204823142614386	0.392824311282515	0.238885279588347	0.0531486035838933	0.171335337546976	0.0583555413906618	216.447930858637	203.938866634066	243.389748946729	195.78765240516	237.572737198478	176.760277872738	Down_hep_Up_gills
XM_027355338.1	-10.5129664098456	4.04494466373175	1.57927033129311e-59	1.00694276323248e-55	1395	1101	1538	635	1024	767	0	1	0	0	2	2	35.7160354933835	33.2691974401576	36.7405560006878	33.7493632757722	35.0894771296206	22.3793501233188	0	0.0141437593892826	0	0	0.0664353291942053	0.0470044616068975	Up_hep_Down_gills
XM_027358234.1	-10.8091638560534	3.71733822261848	4.93322374832991e-58	2.35906759645136e-54	941	915	1058	573	856	685	0	0	0	0	0	3	24.0923221500171	27.6487880633463	25.2740625804471	30.4541498535708	29.3326097880422	19.9867729263017	0	0	0	0	0	0.0705066924103462	Up_hep_Down_gills
XM_027356113.1	9.96741710815793	2.06398461100257	1.20935611292641e-57	4.62651274561127e-54	0	1	0	0	0	0	34	513	766	383	241	307	0	0.0302172547140396	0	0	0	0	9.8649191007958	7.25574856670198	9.4931792704921	8.22222268324302	8.00545716790174	7.21518485665876	Down_hep_Up_gills
XM_027365793.1	10.0475442399374	4.48164594511565	4.3160066987823e-56	1.3759429355718e-52	4	0	4	0	0	0	143	2412	4820	1980	1379	1870	0.102411571307193	0	0.0955541118353389	0	0	0	41.4906891592294	34.1147476469497	59.7351489344281	42.5065297984887	45.8071594794046	43.9491716024491	Down_hep_Up_gills
XM_027352295.1	-10.4176738149266	4.16967905132353	1.5192038221525e-55	4.15133295859043e-52	1271	1071	1131	1029	914	1266	0	2	0	0	2	2	32.5412767828605	32.3626797987364	27.0179251214421	54.6899130878262	31.3200997035872	36.9390577002889	0	0.0282875187785652	0	0	0.0664353291942053	0.0470044616068975	Up_hep_Down_gills
XM_027369773.1	-11.1031793663888	3.5696099467211	1.48516381698748e-54	3.55102668641707e-51	929	780	836	534	872	544	0	0	0	0	0	2	23.7850874360955	23.5694586769509	19.9708093735858	28.381354313799	29.8808828681926	15.87270725826	0	0	0	0	0	0.0470044616068975	Up_hep_Down_gills
XM_027369931.1	10.1712114112477	3.73333949215394	4.2543715711937e-54	9.04195771264368e-51	2	0	2	0	0	0	65	2051	1764	1281	592	1790	0.0512057856535964	0	0.0477770559176694	0	0	0	18.8594041632861	29.0088505074186	21.8615773278695	27.5004367029616	19.6648574414848	42.0689931381732	Down_hep_Up_gills
XM_027366326.1	-7.54577801846667	3.93370425910686	1.12947244251042e-53	2.16045488803393e-50	1240	1181	1306	456	777	1098	0	5	17	9	4	9	31.7475871052298	35.6865778172808	31.1984175142381	24.2357632342553	26.6255114548	32.0371922234733	0	0.0707187969464131	0.210684135245908	0.19321149908404	0.132870658388411	0.211520077231039	Up_hep_Down_gills
