ID	logFC	logCPM	PValue	FDR	muscle_1	muscle_2	muscle_3	muscle_wssv_1	muscle_wssv_2	muscle_wssv_3	muscle_1_normalized	muscle_2_normalized	muscle_3_normalized	muscle_wssv_1_normalized	muscle_wssv_2_normalized	muscle_wssv_3_normalized	Expression
XM_027350606.1	1.63775496435978	-0.251073508191002	7.63472720381273e-05	0.000450696212927784	6	18	10	71	70	109	0.213835516796735	0.511841582225324	0.392694691688556	1.01067354584523	1.23044318405939	1.30364183772877	Down_muscle_Up_muscle_wssv
XM_027350608.1	-1.77796929955615	0.975212414622737	3.65319673721175e-06	3.09720720798864e-05	81	114	75	86	39	61	2.88677947675592	3.24166335409372	2.94521018766417	1.22419612595337	0.685532631118804	0.729561028453717	Up_muscle_Down_muscle_wssv
XM_027350616.1	1.78666793000068	0.163032350667221	3.62629012356692e-05	0.000237260919829926	18	10	13	122	72	158	0.641506550390204	0.284356434569624	0.510503099195123	1.73665031821292	1.26559870360395	1.88968266386372	Down_muscle_Up_muscle_wssv
XM_027350619.1	-1.5443648327967	6.02239565709236	0.000633382753285497	0.00281440015655475	2335	3501	2740	2010	2668	2011	83.2176552867292	99.5531877428255	107.598345522664	28.6120257344916	46.8974630724351	24.0515939052529	Up_muscle_Down_muscle_wssv
XM_027350640.1	1.70129425811961	1.76980721386899	3.77776532770923e-06	3.19183942855295e-05	38	60	42	302	337	429	1.35429160637932	1.70613860741775	1.64931770509194	4.29892127951068	5.92370504325736	5.13084723289581	Down_muscle_Up_muscle_wssv
XM_027350641.1	1.9648002715878	0.244847814916564	1.57012868557748e-07	1.98480369740948e-06	10	21	10	128	92	160	0.356392527994558	0.597148512596211	0.392694691688556	1.82205935025618	1.61715389904949	1.91360269758352	Down_muscle_Up_muscle_wssv
XM_027350642.1	3.54837802151434	1.40089462932304	6.45339709346887e-06	5.1314915598067e-05	22	4	8	182	203	666	0.784063561588027	0.11374257382785	0.314155753350845	2.59074063864551	3.56828523377224	7.9653712286914	Down_muscle_Up_muscle_wssv
XM_027350643.1	3.16076800323768	1.46441857611245	1.74233091396041e-05	0.000125813061527192	28	8	10	194	184	706	0.997899078384761	0.227485147655699	0.392694691688556	2.76155870273203	3.23430779809897	8.44377190308728	Down_muscle_Up_muscle_wssv
XM_027350660.1	-2.5221623114344	5.80605648826041	3.11270366035989e-06	2.69457928807274e-05	2484	3777	2291	1015	1512	732	88.5279039538481	107.401425336947	89.9663538658482	14.4483612539846	26.5775727756829	8.7547323414446	Up_muscle_Down_muscle_wssv
XM_027350678.1	-1.5349397348649	2.48303413036037	0.000398235964095461	0.00189416623539857	168	334	239	136	193	272	5.98739447030857	9.49750491462545	9.3854031313565	1.93593805964719	3.39250763604947	3.25312458589198	Up_muscle_Down_muscle_wssv
XM_027350690.1	-2.34216720996244	3.9010863204062	2.99025860527165e-05	0.000200571087401214	946	451	722	428	166	480	33.7147331482851	12.8244751990901	28.3525567399138	6.09251095241911	2.91790812219799	5.74080809275056	Up_muscle_Down_muscle_wssv
