ID	ovary_1_normalized	ovary_2_normalized	ovary_3_normalized	ovary_4_normalized	ovary_5_normalized	gills_1_normalized	gills_2_normalized	gills_3_normalized	gills_4_normalized	gills_5_normalized
XM_027350592.1	420.274287774448	530.747324327604	404.10489483621	544.394757368617	423.244374761136	82.9818051829779	63.5586730690838	49.3875983968186	41.4334056018163	89.9695308285762
XM_027350593.1	413.681749927006	627.62977241915	471.917017599821	686.774924680409	550.65704121172	90.1792066529301	70.3685308979142	69.8011390675037	68.0691663458411	107.313054843723
XM_027350594.1	360.941447147467	501.261361864959	386.113923490763	500.424411581152	401.276673648966	92.2960894382101	52.9655608909031	66.5086325077158	84.3465756894118	105.14511434183
XM_027350595.1	359.293312685607	485.816333908336	393.033527854396	503.565150565971	429.102428391048	91.0259597670421	60.5320695896036	67.8256351316309	72.5084598031786	89.9695308285762
XM_027350597.1	819.122827544709	710.471286004676	882.941516799665	1218.60672610975	991.475576862592	1956.42307015582	1107.73687348975	1161.59631429317	961.846915756451	1101.31377496185
XM_027350602.1	314.793682215371	425.440315532444	471.917017599821	664.789751786677	477.431370837821	35.9870073497608	37.8325434935022	50.7046010207338	33.294700930031	183.190972409992
XM_027350603.1	7227.06961525865	9175.75069968489	8897.22729076026	10142.4930949753	8722.64185493885	918.303752254485	3404.17226354533	2531.27904316494	1900.75748198332	3173.86489477194
XM_027350604.1	158.220908338616	227.463138997544	206.204210036285	194.725817058775	238.715685418911	522.446671407116	877.715009049252	962.070416770027	661.454725143282	1022.18394664274
XM_027350605.1	125.258219101404	237.291793151759	200.668526545378	186.350513099257	225.535064751609	513.979140265996	987.429385180408	1036.48106502123	617.801672812797	943.05411832363
XM_027350606.1	131.850756948847	234.483606250555	204.820289163559	224.039380917085	196.244796602049	471.218108003339	827.019400767959	1002.23899679944	608.923085898122	884.519724772508
XM_027350607.1	163.165311724198	279.414596669823	256.025361454448	259.634422745033	262.147899938558	543.192122702861	927.653966460675	1189.25336939539	693.269661587534	1115.40538822416
XM_027350608.1	1674.50461325035	1363.37474053466	1151.42216610865	858.468655850512	1155.50107850013	607.96873593243	197.485877036082	160.015818805692	242.681375667781	225.465812196914
XM_027350614.1	3.29626892372116	7.02046725301063	8.30352523636049	10.4691299493965	7.3225670373899	243.01814375015	593.970932847985	647.306789654303	612.62249711257	1149.0084660035
XM_027350615.1	0	1.40409345060213	0	17.797520913974	7.3225670373899	273.077879301126	524.359052819941	675.622346068479	698.448837287761	1204.29094880178
XM_027350616.1	0	1.40409345060213	0	11.5160429443361	4.39354022243394	250.638921777158	535.708815867992	642.6972804706	628.899906456141	1107.81759646753
XM_027350617.1	1247.63778762846	1279.12913349854	1262.13583592679	896.157523668339	883.101584709222	1448.37120168861	647.693144608758	787.567569101268	510.518747593809	742.51962189849
XM_027350619.1	3912.67121245702	4486.07857467379	4609.8404270528	2626.70470430358	2854.33663117458	4315.05386951485	4202.43893125823	4319.11010512978	1456.08825400669	4037.78918477646
XM_027350620.1	29.6664203134905	5.6163738024085	5.53568349090699	15.7036949240947	43.9354022243394	109.654528277507	1273.44341399129	3511.12899535783	1245.22181478316	764.199026917424
XM_027350621.1	145.035832643731	202.189456886706	110.71366981814	244.977640815878	161.096474822578	149.875301197827	152.086824843879	152.113803062201	252.299844825346	287.252116500876
XM_027350627.1	5928.33965931251	7823.60870675505	7478.70839621535	8217.2200972813	8306.7200472151	3596.16047563375	9599.62958604126	10414.8567499211	10186.6987201037	8405.10532584072
XM_027350634.1	59.332840626981	96.8824480915467	88.5709358545119	175.881383149861	83.4772642262448	16.9350622822404	637.100032430578	527.459550878023	64.3697551313932	159.343626889165
XM_027350635.1	49.4440338558175	108.115195696364	65.0442810181572	166.459166195404	82.0127508187668	433.537594425354	8676.5155247998	3944.42285862592	651.836255985718	1209.71080005652
XM_027350640.1	23.0738824660481	14.0409345060213	17.9909713454477	26.1728248734912	24.8967279271256	8216.46884278598	4197.89902603901	5304.88656913028	7257.50492050387	7384.00534944893
XM_027350641.1	253.81270712653	359.447923354144	420.711945308931	475.2984997026	376.379945721841	148.181794969603	421.454534517615	545.239086300878	853.084226051683	520.305720454416
XM_027350642.1	65.9253784744233	29.4859624626446	332.14100945442	221.945554927205	143.522313932842	296.786966496263	3294.45788741417	13175.2942496473	8067.67597646795	924.626624057536
