ID	logFC	logCPM	PValue	FDR	gills_1	gills_2	gills_3	gills_4	gills_5	hemocyte_1	hemocyte_2	hemocyte_3	hemocyte_4	hemocyte_5	gills_1_normalized	gills_2_normalized	gills_3_normalized	gills_4_normalized	gills_5_normalized	hemocyte_1_normalized	hemocyte_2_normalized	hemocyte_3_normalized	hemocyte_4_normalized	hemocyte_5_normalized	Expression
XM_027373625.1	-17.7090624784051	8.23933110508224	5.38881474044229e-104	9.95314082559691e-100	73533	26034	33769	27228	18151	0	0	0	0	0	878.707290124473	515.785855944119	567.689899774222	561.434003162853	497.614386039801	0	0	0	0	0	Up_gills_Down_hemocyte
XM_027378026.1	-13.769176188549	7.54762957148279	2.05898385806629e-101	1.90147159292422e-97	24454	18020	27421	16153	15572	2	2	0	0	0	292.22128938985	357.012411619921	460.973814495808	333.070495559335	426.910430246917	0.0568468456404894	0.0500675141399931	0	0	0	Up_gills_Down_hemocyte
XM_027363184.1	-15.3736958853296	5.90523247827674	5.44336491810775e-96	3.35129833458167e-92	11989	5854	8534	4059	4093	0	0	0	0	0	143.266583728425	115.979503752665	143.464882130748	83.6954832833121	112.21065958134	0	0	0	0	0	Up_gills_Down_hemocyte
XM_027366290.1	-11.8240625110448	7.82300967584426	1.0969118614522e-87	5.06499052025553e-84	42660	24704	25150	12632	21181	6	2	6	2	4	509.780003491086	489.435883277388	422.796084554523	260.468426911751	580.682624136909	0.170540536921468	0.0500675141399931	0.18698995820677	0.0830010688235445	0.120038905605186	Up_gills_Down_hemocyte
XM_027359256.1	-16.3661675304813	6.89690739496222	2.79750244993719e-87	1.0333974050068e-83	12455	17327	13138	9354	10404	0	0	0	0	0	148.835207301488	343.282689019887	220.862622619377	192.876952607071	285.228366060167	0	0	0	0	0	Up_gills_Down_hemocyte
XM_027377415.1	-21.0044943598967	11.5344779894268	3.89947170504342e-86	1.20038737320253e-82	296630	323757	629149	284724	118781	0	0	0	0	0	3544.67985081014	6414.27676741569	10576.6096938924	5870.93194933672	3256.4120097071	0	0	0	0	0	Up_gills_Down_hemocyte
XM_027364708.1	-14.4343133658528	4.96730129680018	6.23570702795186e-86	1.64533584008958e-82	6146	3630	2976	2295	2533	0	0	0	0	0	73.4436920172577	71.9175945716045	50.0294690908255	47.3222799051986	69.442853828374	0	0	0	0	0	Up_gills_Down_hemocyte
XM_027370944.1	-13.8979148681523	7.98314146547494	1.07125414701823e-85	2.47325801192834e-82	60528	25474	31599	16303	15832	3	0	2	0	0	723.299673026452	504.691130610758	531.210078562162	336.163455030263	434.038397872411	0.0852702684607341	0	0.0623299860689234	0	0	Up_gills_Down_hemocyte
XM_027376185.1	-12.9901949040646	5.18045278723375	1.09347150842332e-84	2.24404652895319e-81	4374	3222	5557	4185	2412	0	0	0	0	1	52.2685826364278	63.8342946858704	93.418602062405	86.2935692388916	66.1256073565093	0	0	0	0	0.0300097264012964	Up_gills_Down_hemocyte
XM_027373288.1	-19.774525542208	10.3045535000099	1.84629615837564e-82	3.41010900451981e-79	315709	133718	155915	46820	96212	0	0	0	0	0	3772.67077173388	2649.22228951124	2621.08355957529	965.415749525664	2637.67700455409	0	0	0	0	0	Up_gills_Down_hemocyte
XM_027380344.1	-16.3921103785424	6.92285000550115	1.25868439523211e-81	2.11344552544883e-78	16882	11176	24662	8015	7647	0	0	0	0	0	201.737131245582	221.419018438637	414.592327526189	165.267134396587	209.644493969829	0	0	0	0	0	Up_gills_Down_hemocyte
XM_027377418.1	-10.8611106325957	6.16866933848668	2.34507501345194e-79	3.60946129153811e-76	11114	6938	7461	5904	7328	2	3	0	5	2	132.810477233941	137.455722076527	125.426703254922	121.738884775727	200.899025998549	0.0568468456404894	0.0751012712099896	0	0.207502672058861	0.0600194528025928	Up_gills_Down_hemocyte
XM_027367923.1	-12.1406444290057	5.06702891514603	2.77478501463324e-78	3.94232917079046e-75	5167	4850	4213	2476	1998	0	2	0	0	0	61.744802579429	96.0882461907112	70.8246482794515	51.0544510001184	54.7756896759145	0	0.0500675141399931	0	0	0	Up_gills_Down_hemocyte
XR_003475688.1	-10.9680538103804	10.1156027393141	8.87497263785924e-77	1.17086246158043e-73	117143	111146	74575	165213	103079	37	35	38	37	30	1399.83963780957	2202.02561053872	1253.67864833613	3406.64742046953	2825.93759564744	1.05166664434905	0.876181497449879	1.18426973530954	1.53551977323557	0.900291792038892	Up_gills_Down_hemocyte
XM_027378347.1	-16.3870959743418	6.91784050461873	9.51821913040278e-77	1.1720100489236e-73	21666	17846	16353	5594	7504	0	0	0	0	0	258.905146639425	353.56512196277	274.909915336784	115.346768535809	205.724111775807	0	0	0	0	0	Up_gills_Down_hemocyte
XM_027357868.1	-15.1282115384194	5.66001872901206	1.07354672411146e-76	1.23927549964616e-73	5926	7445	4784	3552	4852	0	0	0	0	0	70.8147280986445	147.500410905123	80.4237164417033	73.2412802715754	133.018841995764	0	0	0	0	0	Up_gills_Down_hemocyte
XM_027357867.1	-15.6165139027307	6.14777999038125	1.16654846556048e-76	1.26742059758247e-73	7867	9517	7225	4644	7610	0	0	0	0	0	94.0093597624091	188.550894638556	121.459312560892	95.7580252199313	208.630129346201	0	0	0	0	0	Up_gills_Down_hemocyte
XM_027365171.1	-11.2483917899376	5.01938171630231	3.07183828116616e-76	3.15204739184106e-73	3826	3696	4351	3333	2289	0	4	0	0	0	45.7200725118822	73.2251872001791	73.1445631768084	68.7255594440205	62.7535303644485	0	0.100135028279986	0	0	0	Up_gills_Down_hemocyte
XM_027361907.1	-14.9180627058738	5.45017203129994	2.11667475858206e-74	2.05763067321109e-71	3909	5185	5291	5984	2727	0	0	0	0	0	46.711908899359	102.725269381204	88.9468820428621	123.388463160222	74.7614142873968	0	0	0	0	0	Up_gills_Down_hemocyte
XM_027365793.1	-14.5748054521753	5.10754910135481	6.25943396666872e-74	5.78058726821856e-71	8765	2412	4820	2726	1980	0	0	0	0	0	104.740312484748	47.7865669715455	81.0289116323182	56.2093834516651	54.2822149941495	0	0	0	0	0	Up_gills_Down_hemocyte
