ID	logFC	logCPM	PValue	FDR	muscle_1	muscle_2	muscle_3	muscle_4	muscle_5	hep_1	hep_2	hep_3	hep_4	hep_5	muscle_1_normalized	muscle_2_normalized	muscle_3_normalized	muscle_4_normalized	muscle_5_normalized	hep_1_normalized	hep_2_normalized	hep_3_normalized	hep_4_normalized	hep_5_normalized	Expression
XM_027367225.1	-12.6184694085292	8.73653450357939	1.68974888085249e-50	2.74753168026615e-46	53657	10015	8966	10954	20121	12	3	16	15	19	700.373754633302	1027.56305366551	744.642449283493	941.628680286021	850.796495608605	0.106938607757759	0.0395115878305837	0.151874883778382	0.151925228995839	0.21489920354603	Up_muscle_Down_hep
XM_027367223.1	-12.6424823706889	8.95062088699849	3.22953937031587e-49	1.7504103387112e-45	56665	11422	10102	13747	24004	15	3	18	22	17	739.63655825514	1171.92463294732	838.989295411761	1181.72078399598	1014.98529300676	0.133673259697198	0.0395115878305837	0.170859244250679	0.222823669193898	0.192278234751711	Up_muscle_Down_hep
XM_027367224.1	-12.4981587036062	8.73476900253007	2.39252964893597e-49	1.7504103387112e-45	53639	9985	8918	10703	20679	13	4	14	15	24	700.138804345671	1024.48498161259	740.655962827369	920.052196923615	874.390971258404	0.115850158404239	0.052682117107445	0.132890523306084	0.151925228995839	0.271451625531827	Up_muscle_Down_hep
XM_027370962.1	-12.7154265468068	9.00931825360329	8.8512401178075e-49	3.59802910788875e-45	59909	8821	16542	11932	25213	6	8	27	19	13	781.979821203692	905.055785959406	1373.84289494173	1025.6995995228	1066.10665691465	0.0534693038788793	0.10536423421489	0.256288866376019	0.19243862339473	0.147036297163073	Up_muscle_Down_hep
XR_003476289.1	-10.6707445570581	3.34027575296043	1.12831978339432e-44	3.66929593559832e-41	858	226	278	194	647	1	0	0	2	2	11.1992970437291	23.1881427986425	23.0884007250514	16.676644511182	27.3577522319352	0.00891155064647989	0	0	0.0202566971994453	0.0226209687943189	Up_muscle_Down_hep
XR_003476287.1	-11.0716549878944	3.16907201529431	7.23484740871503e-44	1.96064364776177e-40	919	166	275	161	578	0	0	0	0	3	11.995517462922	17.0319986928082	22.8392453215437	13.8398957025789	24.440155780616	0	0	0	0	0.0339314531914784	Up_muscle_Down_hep
XM_027365885.1	-13.7158967603284	13.5851963546135	1.09650475278875e-43	2.54702389719215e-40	660168	307431	428873	347158	408428	164	115	280	256	79	8617.03674914285	31543.1589766791	35618.6751228596	29842.4255423347	17269.9722234696	1.4614943060227	1.51461086683904	2.65781046612168	2.59285724152899	0.893528267375597	Up_muscle_Down_hep
XR_003476288.1	-10.5117483863168	3.20072816850925	3.99303749017453e-43	8.11584869877974e-40	828	183	263	185	587	0	0	0	1	4	10.8077132310113	18.7762395227946	21.8426237075127	15.9029857451994	24.8207118394837	0	0	0	0.0101283485997226	0.0452419375886378	Up_muscle_Down_hep
XM_027367222.1	-12.361380814075	9.00013028365966	1.16556331636647e-42	2.10578439156876e-39	57030	11871	10334	13212	27514	20	2	26	21	26	744.40082797654	1217.99311133932	858.257313283027	1135.73106846256	1163.40215596517	0.178231012929598	0.0263410585537225	0.24679668613987	0.212695320594175	0.294072594326146	Up_muscle_Down_hep
XM_027365884.1	-13.5597477938776	13.7570226830666	7.31710138799435e-40	1.18976068568788e-36	764191	332366	467974	396701	505866	184	139	409	322	74	9974.82751415431	34101.549864662	38866.0836003785	34101.2451248991	21390.0412527977	1.6397253189523	1.83070356948371	3.88230171658488	3.26132824911069	0.8369758453898	Up_muscle_Down_hep
XM_027378597.1	13.3152295977585	3.38598322100729	2.48531442263757e-39	3.6737465920079e-36	0	0	0	0	0	1849	1744	2852	2361	1172	0	0	0	0	0	16.4774571453413	22.969403058846	27.0716980334965	23.9130310439451	13.2558877134709	Down_muscle_Up_hep
XM_027354682.1	-10.1965947223174	2.5883612173118	6.69979130477664e-39	8.37989281658986e-36	816	60	162	134	436	0	0	2	2	0	10.6510797059242	6.1561441058343	13.4543917894185	11.5189194046309	18.4358268518141	0	0	0.0189843604722977	0.0202566971994453	0	Up_muscle_Down_hep
XM_027378454.1	-11.6569676755357	7.33420423198554	6.68880906131783e-39	8.37989281658986e-36	23797	2712	6688	2522	5967	20	5	9	13	2	310.617333041517	278.25771358371	555.450446219942	216.796378645367	252.3086670293	0.178231012929598	0.0658526463843062	0.0854296221253396	0.131668531796394	0.0226209687943189	Up_muscle_Down_hep
XM_027367206.1	-12.2291294276924	5.73392114334361	1.07194286271621e-36	1.24498506769754e-33	8757	1020	522	980	4390	2	0	4	4	0	114.303314932326	104.654449799183	43.3530402103484	84.2428434070021	185.626788714367	0.0178231012929598	0	0.0379687209445954	0.0405133943988905	0	Up_muscle_Down_hep
XM_027381145.1	12.9213518588531	2.99570476536881	5.83110796912425e-36	6.32092103853069e-33	0	0	0	0	0	1520	1979	1245	1399	1178	0	0	0	0	0	13.5455569826494	26.0644774389084	11.8177643940053	14.169559691012	13.3237506198538	Down_muscle_Up_hep
XM_027380253.1	9.90289266993877	3.07048897688554	1.07652733784667e-35	1.09402090708667e-32	1	0	1	0	0	1838	1843	1554	1620	995	0.01305279375726	0	0.0830518011692497	0	0	16.37943008823	24.2732854572553	14.7508480869753	16.4079247315507	11.2539319751737	Down_muscle_Up_hep
XM_027363969.1	12.0526214096369	2.13914087532767	1.14509802332327e-35	1.09525257995508e-32	0	0	0	0	0	727	762	1057	780	775	0	0	0	0	0	6.47869731999088	10.0359433089683	10.0332345096093	7.90011190778365	8.76562540779858	Down_muscle_Up_hep
XM_027359642.1	-10.063849073934	2.94171958248606	1.8143512652896e-35	1.6389639763116e-32	856	103	129	173	699	0	0	2	4	0	11.1731914562146	10.5680473816822	10.7136823508332	14.8714407238891	29.5565205720598	0	0	0.0189843604722977	0.0405133943988905	0	Up_muscle_Down_hep
