ID	hep_1_normalized	hep_2_normalized	hep_3_normalized	hep_4_normalized	hep_5_normalized	gills_1_normalized	gills_2_normalized	gills_3_normalized	gills_4_normalized	gills_5_normalized
XM_027350592.1	42.2160229881471	34.5822666955534	97.5579803235754	63.2463231742448	56.7675427661785	86.298097278789	61.751040504743	47.5937143469355	40.3639410080725	88.5344894992478
XM_027350593.1	51.8653996711522	34.5822666955534	70.3899351701746	77.7402722350093	81.5123691001537	93.7831363284799	68.3672234159655	67.2657829436688	66.3121887989762	105.601379041271
XM_027350594.1	62.7209484395329	61.0275294627412	71.624846313511	81.6931674333996	48.0340746483049	95.9846184019184	51.4592004206192	64.0928686538731	82.1694513378618	103.468017848519
XM_027350595.1	49.4530555004009	34.5822666955534	90.148513463557	57.9757962430578	49.4896526679505	94.6637291578553	58.8105147664219	65.3620343697914	70.6368967641268	88.5344894992478
XM_027350596.1	242.440589160502	274.623882582336	335.8958309875	205.550550316296	269.281933634436	8.36563187906628	75.7185377617682	53.9395429265269	5.04549262600906	38.4005014695533
XM_027350597.1	857.588352702075	724.193349624529	422.339611021048	495.429531531584	708.866495567408	2034.60973227186	1076.23242022552	1119.40416143992	937.020059115968	1083.7474859185
XM_027350602.1	275.007235465644	120.020807943391	100.027802610248	84.3284308989931	192.13629859322	37.4251952484544	36.7565717290137	48.8628800628538	32.4353097386297	180.269020787625
XM_027350603.1	2019.13207091881	3153.08902224163	2752.61693849683	2517.99424137462	2301.2688490597	955.002923457619	3307.35632417665	2439.33650599493	1851.69579374532	3123.24078619033
XM_027350604.1	580.168773065679	608.241043645321	626.099949671553	503.335321928365	321.682742341678	543.32577572462	852.752464113117	927.125555478303	644.381486807442	1005.87980238302
XM_027350605.1	565.694708041172	610.275294627412	779.228931445267	619.286914414481	363.894504911401	534.519847430867	959.346522127257	998.833418427686	601.855191816795	928.012118847537
XM_027350606.1	504.179931687014	488.22023570193	489.024812761213	349.172409191143	216.881124927195	490.049909547409	803.498657996239	965.835109813811	593.205775886493	870.411366643208
XM_027350607.1	490.912038747882	557.384769093037	506.313568767923	408.465837166998	323.138320361324	564.900300044318	901.271138795415	1146.05664147421	675.375227224355	1097.6143336714
XM_027350608.1	296.718333002406	254.281372761422	347.010031277528	339.948987061566	128.090865728813	632.265651491536	191.869304425451	154.203634484071	236.417368761567	221.869564046308
XM_027350614.1	59.102432183406	168.842831513584	244.512406380607	243.761870567402	285.293291850538	252.730142030739	577.078176145515	623.794949373835	596.809699190786	1130.68143215907
XM_027350615.1	82.019701805543	209.527851155412	277.855007250689	249.032397498589	247.448263339752	283.991187473566	509.44608416413	651.082012266078	680.420719850364	1185.08214257427
XM_027350616.1	49.4530555004009	221.73335704796	239.572761807261	250.350029231386	238.714795221879	260.655477495118	520.473055682834	619.352869368121	612.666961729671	1090.14756949676
XM_027350617.1	361.85162561269	600.104039716955	270.445540390671	295.149508146476	459.96265420801	1506.25403464662	629.272508000714	758.961098119131	497.341415992321	730.676208517889
XM_027350619.1	2707.85633166829	4398.05062328155	3567.65829309885	3697.27464222773	3368.20753745992	4487.50105849703	4082.91998765884	4162.228965354	1418.5042125694	3973.38522150239
XM_027350620.1	221.935663709116	366.165176776447	297.613585544072	289.878981215289	707.410917547763	114.036771404114	1237.2262043986	3383.59579863813	1213.08058422475	752.009820445418
XM_027350621.1	135.091273562071	317.343153206254	158.068626347059	225.315026308247	216.881124927195	155.864930799445	147.761418350635	146.588640188561	245.787569352727	282.670358039767
XM_027350627.1	5765.50256809552	5984.76638931282	5681.82617049076	4448.32472992189	5164.3908137026	3739.87774635732	9326.61251051993	10036.5624814818	9923.76321069896	8271.04134430322
XM_027350629.1	419.74788571072	130.192062853848	313.667430407445	299.102403344866	103.346039394838	17.1715601728203	53.66459472436	142.781143040806	51.8964955818074	130.135032757931
XM_027350630.1	1267.68686172979	2603.84125707696	2543.91695527298	3871.2020309569	1161.55125967719	1.7611856587508	0	1.26916571591828	0	6.40008357825888
XM_027350634.1	3.6185162561269	24.4110117850965	8.64437800335478	7.9057903967806	85.8791031590905	17.611856587508	618.98066791659	508.300869225271	62.708265494684	156.802047667343
