ID	hemocytes_1_normalized	hemocytes_2_normalized	hemocytes_3_normalized	hemocytes_wssv_1_normalized	hemocytes_wssv_2_normalized	hemocytes_wssv_3_normalized
XM_027350592.1	73.3058709301329	29.570929069364	71.0590486701834	89.5977977270674	101.894645755496	74.4048291410341
XM_027350593.1	76.2381057673383	27.7227460025288	67.7539766390121	82.429973908902	110.178763296594	77.8655188685241
XM_027350594.1	70.3736360929276	51.7491258713871	82.626800779283	101.783098217949	94.4389399685089	69.7905761710475
XM_027350595.1	73.3058709301329	25.8745629356935	38.0083283584702	89.5977977270674	120.94811610002	87.0940248084973
XM_027350596.1	44.9609341704815	72.0791396065748	69.4065126545977	9.31817096361501	30.6512349020599	32.8765524111546
XM_027350597.1	498.479922324904	340.065684297686	694.065126545977	732.551594216503	582.373463139138	783.269441655227
XM_027350603.1	868.918923425176	615.444961256139	1046.05529786572	1242.18386768806	1488.65592213518	1396.3883050422
XM_027350604.1	144.656918635462	103.498251742774	74.3641207013547	158.408906381455	101.894645755496	196.105751224431
XM_027350605.1	154.43103475948	94.2573364085979	79.3217287481117	223.63610312676	95.2673517226186	230.712648499331
XM_027350606.1	86.9896335037577	70.2309565397396	38.0083283584702	156.258559236006	80.3559401486436	147.079313418323
XM_027350607.1	77.21551737974	48.0527597377165	33.0507203117132	161.276035908721	81.1843519027533	139.581152342095
XM_027350608.1	131.950567674239	306.798389094652	175.16881765208	184.213072126851	299.885054987721	265.31954577423
XM_027350610.1	81.1251638293471	177.425574416184	140.465561324781	84.5803210543516	67.9297638369976	51.333564291101
XM_027350614.1	1940.16205061752	1615.31200041401	2113.59356393406	1756.11683545052	1456.3478637249	2064.87820406901
XM_027350615.1	1769.11501844721	1491.48373493605	2151.60189229253	1762.56787688687	1485.34227511874	2054.49613488654
XM_027350616.1	1608.81951401332	1421.25277839631	2039.2294432327	1696.62389775975	1414.0988642653	1929.33452307565
XM_027350617.1	301.042776619746	221.78196802023	224.74489811965	407.132392871794	380.240995136365	429.125526208755
XM_027350619.1	12663.3448502774	11013.3228952713	11709.87020644	9235.02420732429	3109.02931317381	3387.43846159142
XM_027350621.1	36.1642296588656	33.2672952030345	16.5253601558566	37.9894662362766	22.3671173609626	31.1462075474096
XM_027350627.1	3567.55238526647	2267.72062300685	3663.67234655341	4066.30645204523	4760.8823508686	4882.45642386708
XM_027350635.1	1745.65713974957	1351.02182185657	1996.26350682748	1778.33708928683	2513.40126196891	1507.13037632188
