ID	logFC	logCPM	PValue	FDR	hep_1	hep_2	hep_3	hep_wssv_1	hep_wssv_2	hep_wssv_3	hep_1_normalized	hep_2_normalized	hep_3_normalized	hep_wssv_1_normalized	hep_wssv_2_normalized	hep_wssv_3_normalized	Expression
XR_003476770.1	13.510122436037	7.47942708260731	8.85789900503906e-52	1.56209048953864e-47	1	2	1	10173	9007	9213	0.0197238852447176	0.0466953977462621	0.0185888800154578	270.588145401814	287.091906057457	513.08737207291	Down_hep_Up_hep_wssv
XM_027377480.1	9.89769707105952	5.99469263625114	3.63710715485062e-47	3.20701923378954e-43	8	7	4	4837	2746	2982	0.157791081957741	0.163433892111917	0.0743555200618311	128.657707589558	87.5268540061925	166.072565236233	Down_hep_Up_hep_wssv
XR_003477213.1	12.1900750170757	8.36141065141885	6.76800744159927e-46	3.97846037442011e-42	10	7	3	18409	16851	16990	0.197238852447176	0.163433892111917	0.0557666400463734	489.654690720731	537.113990115932	946.201503475387	Down_hep_Up_hep_wssv
XM_027377481.1	10.3802663006142	5.69693627319351	8.34392756610384e-43	3.67862906570603e-39	4	3	4	5418	1832	1948	0.0788955409788704	0.0700430966193932	0.0743555200618311	144.111527748651	58.3937350835195	108.48737661978	Down_hep_Up_hep_wssv
XR_003475955.1	7.65209751387919	2.34217706280016	5.67980005207068e-40	2.00326547836533e-36	3	0	4	416	325	158	0.0591716557341528	0	0.0743555200618311	11.0650416285417	10.3591506016069	8.79928414061867	Down_hep_Up_hep_wssv
XM_027374295.1	13.1152563942059	3.82892312558521	4.41156165453293e-37	1.2966314962948e-33	0	0	0	1606	534	457	0	0	0	42.7174443640336	17.0208812961787	25.4510940016629	Down_hep_Up_hep_wssv
XR_003477866.1	5.84346168423207	4.73766605127195	5.20051625122729e-32	1.31015862986276e-28	40	41	53	1439	1420	1327	0.788955409788704	0.957255653798374	0.985210640819263	38.2754685179603	45.2615195516363	73.9028484468416	Down_hep_Up_hep_wssv
XM_027377478.1	9.16827970031426	6.20936724075809	1.90125749059579e-31	4.19108448083209e-28	18	6	14	6481	2202	3604	0.355029934404917	0.140086193238786	0.260244320216409	172.385900948507	70.1872296145797	200.712785080947	Down_hep_Up_hep_wssv
XM_027358775.1	11.6662403793766	5.60387742507045	2.53002080858841e-31	4.9574352177174e-28	2	0	2	1921	2171	3082	0.0394477704894352	0	0.0371777600309156	51.0960215587226	69.1991260187341	171.64173241384	Down_hep_Up_hep_wssv
XM_027372224.1	6.02714285014382	4.30943315054192	7.049582629812e-30	1.24319389676735e-26	20	32	35	982	1215	941	0.394477704894352	0.747126363940194	0.650610800541022	26.119881921221	38.7272860952381	52.4058631412795	Down_hep_Up_hep_wssv
