ID	logFC	logCPM	PValue	FDR	hep_1	hep_2	hep_3	hep_wssv_1	hep_wssv_2	hep_wssv_3	hep_1_normalized	hep_2_normalized	hep_3_normalized	hep_wssv_1_normalized	hep_wssv_2_normalized	hep_wssv_3_normalized	Expression
XM_027350640.1	-2.48315081920893	3.98300009704897	2.15167112043497e-07	5.50721628575771e-06	2146	802	1022	213	114	90	42.327457735164	18.7248544962511	18.9978353757979	5.66551410307544	3.63367128794827	5.01225045984608	Up_hep_Down_hep_wssv
XM_027350642.1	3.19249269786505	2.66505646804277	5.36989496751315e-14	6.912269908912e-12	57	48	80	360	493	160	1.1242614589489	1.12068954591029	1.48711040123662	9.57551679393032	15.7140346048991	8.9106674841708	Down_hep_Up_hep_wssv
XM_027350643.1	3.12804073521715	2.55637193471626	5.47999733393534e-12	4.37283950153619e-10	64	42	73	366	469	123	1.26232865566193	0.980603352671505	1.35698824112842	9.73510874049582	14.9490511758573	6.8500756284563	Down_hep_Up_hep_wssv
XM_027350647.1	-1.81368899684838	3.91933435121492	2.71296606760323e-07	6.79590292644645e-06	1356	863	1262	279	232	92	26.7455883918371	20.1490641275121	23.4591665795077	7.42102551529599	7.39483981407016	5.12363380339821	Up_hep_Down_hep_wssv
XM_027350648.1	-1.73541679803528	4.02515117237237	4.06159098380756e-07	9.66614804311016e-06	1368	949	1381	299	268	106	26.9822750147737	22.1569662306014	25.6712433013472	7.95299867051435	8.54231495763277	5.90331720826316	Up_hep_Down_hep_wssv
XM_027350649.1	-1.58781827545474	3.84516103554796	5.83126582488049e-07	1.3372480210893e-05	1111	875	1186	277	237	116	21.9132365068813	20.4292365139897	22.0464116983329	7.36782819977416	7.55421136178719	6.46023392602383	Up_hep_Down_hep_wssv
XM_027350665.1	-3.53890628073971	-0.116213411077166	4.31797061260059e-06	7.73855810500116e-05	105	41	85	2	2	6	2.07100795069535	0.957255653798374	1.58005480131391	0.0531973155218351	0.0637486190868117	0.334150030656405	Up_hep_Down_hep_wssv
XM_027350700.1	-10.2235872887738	1.00630995700124	2.18865576910915e-09	9.53010975018269e-08	423	40	118	0	0	0	8.34320345851554	0.933907954925243	2.19348784182402	0	0	0	Up_hep_Down_hep_wssv
XM_027350705.1	1.61958651615706	8.85376264222764	0.00036875293112131	0.00313514684347689	11848	10113	11389	19759	18823	17395	233.688592379414	236.115278703974	211.708754496049	525.56287869797	599.970128535528	968.756630544694	Down_hep_Up_hep_wssv
XM_027350717.1	1.61283078643131	4.14424202316469	5.23653141725577e-05	0.000628465337058456	513	389	371	726	745	662	10.1183531305401	9.08225486164798	6.89647448573484	19.3106255344261	23.7463606098374	36.8678867157567	Down_hep_Up_hep_wssv
XM_027350718.1	1.60129374160438	4.21871208323688	0.000121826442268065	0.00126154392800783	539	432	373	722	794	709	10.6311741469028	10.0862059131926	6.93365224576575	19.2042309033825	25.3082017774643	39.4853952892319	Down_hep_Up_hep_wssv
XM_027350756.1	-2.52243855417758	4.5780914320031	5.49456442098798e-13	5.53695106080703e-11	1910	1589	2520	271	194	140	37.6726208174106	37.0994935094053	46.8439776389536	7.20823625320865	6.18361605142074	7.79683404864945	Up_hep_Down_hep_wssv
XM_027350767.1	-2.00497107369213	6.13343052626844	1.77490241119474e-07	4.64397685777733e-06	4923	5068	6529	860	920	570	97.1006870597447	118.326137889028	121.366797620924	22.8748456743891	29.3243647799334	31.7442529123585	Up_hep_Down_hep_wssv
XM_027350776.1	-1.6427815305103	2.97367092256138	0.00074940447999521	0.0055645254756697	526	607	581	64	158	83	10.3747636387215	14.1720532159906	10.800139288981	1.70231409669872	5.03614090785813	4.6224087574136	Up_hep_Down_hep_wssv
XM_027350777.1	-1.72560314715355	2.97685870107436	0.000464392159057228	0.00375840097520616	514	615	614	61	158	76	10.1380770157848	14.3588348069756	11.4135723294911	1.62251812341597	5.03614090785813	4.23256705498113	Up_hep_Down_hep_wssv
XM_027350778.1	-1.77470232387937	3.2492475002362	5.07947430522473e-05	0.00061269855932037	644	732	753	91	188	79	12.7021820975981	17.0905155751319	13.9974266516397	2.4204778562435	5.9923701941603	4.39964207030933	Up_hep_Down_hep_wssv
XM_027350794.1	-9.34445443558486	0.175787491291856	1.23189770334781e-15	2.20018809786347e-13	124	48	143	0	0	0	2.44576177034498	1.12068954591029	2.65820984221046	0	0	0	Up_hep_Down_hep_wssv
XM_027350808.1	-9.50299784080653	0.323436917650087	3.51155409793276e-16	6.80508313374112e-14	153	53	145	0	0	0	3.01775444244179	1.23742804027595	2.69538760224138	0	0	0	Up_hep_Down_hep_wssv
