ID	logFC	logCPM	PValue	FDR	hemocytes_1	hemocytes_2	hemocytes_3	hemocytes_4	hemocytes_5	hemocytes_6	gills_1	gills_2	gills_3	gills_4	gills_5	gills_6	hemocytes_1_normalized	hemocytes_2_normalized	hemocytes_3_normalized	hemocytes_4_normalized	hemocytes_5_normalized	hemocytes_6_normalized	gills_1_normalized	gills_2_normalized	gills_3_normalized	gills_4_normalized	gills_5_normalized	gills_6_normalized	Expression
XM_027373625.1	16.86771531029	7.48791594339778	1.28165298637349e-87	2.17919457273084e-83	0	0	0	0	0	0	1322	26034	33769	18151	10360	12062	0	0	0	0	0	0	391.851686440288	350.612593655228	408.824195315389	384.83350668239	347.790373701827	270.166374604039	Down_hemocytes_Up_gills
XM_027355389.1	14.4334634579078	7.12057971478694	3.69672341068688e-82	2.10293235489764e-78	2	0	0	0	0	0	756	23401	26341	12274	8197	12316	0.0725129392997601	0	0	0	0	0	224.084625528637	315.152696632326	318.897158008903	260.230646301562	275.177383516784	275.855502373018	Down_hemocytes_Up_gills
XM_027383495.1	14.0198183661064	6.64134806065141	3.71040231999818e-82	2.10293235489764e-78	0	0	0	2	0	0	727	14703	20502	8500	6140	6687	0	0	0	0.0380022580718026	0	0	215.488786718676	198.012482312085	248.207339641568	180.215129017702	206.122866267299	149.776367681745	Down_hemocytes_Up_gills
XM_027375663.1	18.723850148163	9.34400136443926	6.98891514194368e-82	2.97081310396171e-78	0	0	0	0	0	0	3887	139492	82576	72842	32032	51251	0	0	0	0	0	0	1152.13880876959	1878.60689537355	999.705847148673	1544.38005034206	1075.33023652673	1147.92711530688	Down_hemocytes_Up_gills
XM_027357077.1	9.50958042170291	6.71058803667401	1.10873668677928e-75	3.77036997706163e-72	9	4	7	10	23	7	746	14419	19639	9120	7152	7521	0.326308226848921	0.283399860210628	0.426372721704295	0.190011290359013	0.383729790453861	0.148408010943152	221.120543180374	194.187715599398	237.75943533415	193.360232546052	240.096211652072	168.456417127921	Down_hemocytes_Up_gills
XM_027365793.1	13.836320328425	4.45721346909241	2.16202408614488e-73	6.12681592278689e-70	0	0	0	0	0	0	143	2412	4820	1980	1379	1870	0	0	0	0	0	0	42.3863775801522	32.4835820809867	58.3533009985541	41.9795241711824	46.2937186616622	41.884523338547	Down_hemocytes_Up_gills
XM_027381617.1	9.38252345170038	7.42911672498911	1.59713749251578e-70	3.87944696932083e-67	10	12	6	30	34	19	912	17362	29317	18024	12085	18646	0.362564696498801	0.850199580631883	0.365462332889396	0.570033871077039	0.567252733714403	0.402821743988557	270.32431016153	233.822534034035	354.926084102616	382.140880637067	405.699485153145	417.635733781041	Down_hemocytes_Up_gills
XM_027359377.1	14.2134113518029	4.83411911025852	2.25128597526979e-69	4.78482692968904e-66	0	0	0	0	0	0	113	3909	5915	2552	1822	3061	0	0	0	0	0	0	33.494130535365	52.6444122531415	71.6099119100514	54.1069422650796	61.1654498923484	68.5607090584451	Down_hemocytes_Up_gills
XM_027383346.1	12.8445213062162	3.46561520015226	3.08021569179328e-68	5.81921193417345e-65	0	0	0	0	0	0	56	1438	2302	958	737	1035	0	0	0	0	0	0	16.5988611502694	19.3662483550825	27.869149149102	20.3113051292893	24.7414580519543	23.1820757515487	Down_hemocytes_Up_gills
XM_027377056.1	13.8330928787014	4.45400927675905	1.88482635372408e-66	3.20477024923706e-63	0	0	0	0	0	0	124	2010	3433	2628	1705	1979	0	0	0	0	0	0	36.7546211184536	27.0696517341556	41.5615938439909	55.7182775362967	57.2377014634764	44.325920688227	Down_hemocytes_Up_gills
XM_027374863.1	11.8150480665043	5.69452931602445	3.85300483240404e-66	5.95569465139689e-63	0	0	0	2	4	0	397	4621	11386	5353	2269	5087	0	0	0	0.0380022580718026	0.0667356157311063	0	117.674069226017	62.233264011708	137.844540491605	113.493127721384	76.171463120603	113.939342365341	Down_hemocytes_Up_gills
XM_027377449.1	14.855610572556	5.47640277359821	1.36443281907299e-64	1.9332876018915e-61	0	0	0	0	0	0	163	6087	12377	4243	2344	3780	0	0	0	0	0	0	48.3145422766769	81.9766020426892	149.84207602886	89.9591520496601	78.6892505750081	84.664972310004	Down_hemocytes_Up_gills
XR_003477329.1	12.9287707163395	6.83771544221011	3.00442655704274e-64	3.92955882687675e-61	0	0	0	0	2	4	838	21439	10332	7740	9224	10559	0	0	0	0	0.0333678078655531	0.0848045776818014	248.390100784388	288.729484342568	125.084295833415	164.101776305531	309.654286392438	236.501968947442	Down_hemocytes_Up_gills
XM_027350808.1	18.6514916509692	9.27158331051744	2.81503031266384e-63	3.41885431473023e-60	0	0	0	0	0	0	6086	117809	128653	53686	26760	19305	0	0	0	0	0	0	1803.94051715249	1586.59134385529	1557.53677040809	1138.23875487581	898.346563731747	432.396108583235	Down_hemocytes_Up_gills
XM_027382967.1	12.1429638746478	5.54834764124672	3.16598907588312e-63	3.58875415048271e-60	0	0	0	0	2	2	302	3221	10668	4787	2663	4837	0	0	0	0	0.0333678078655531	0.0424022888409007	89.5152869175241	43.3787802167738	129.152077811738	101.492920306793	89.3982398810779	108.339807159653	Down_hemocytes_Up_gills
XM_027383345.1	11.16651137286	3.77500280639051	2.05046402758826e-61	2.1790024913177e-58	0	0	0	0	2	0	54	1650	2705	1252	1016	1425	0	0	0	0	0.0333678078655531	0	16.0060446806169	22.2213559011725	32.7480662242923	26.5446284153133	34.1076273823414	31.9173506724222	Down_hemocytes_Up_gills
XM_027367923.1	12.0680500607957	4.67046474614689	3.201880009936e-61	3.20244504758481e-58	0	0	0	0	2	0	93	4850	4213	1998	2205	1988	0	0	0	0	0.0333678078655531	0	27.5659658388402	65.3173188610223	51.0046591508109	42.3611562091023	74.0229511595106	44.5275039556317	Down_hemocytes_Up_gills
XM_027352808.1	11.5285640979704	7.3699669962292	3.42139890357721e-61	3.2318914198624e-58	0	2	0	6	10	8	1164	34518	32137	10062	8755	12416	0	0.141699930105314	0	0.114006774215408	0.166839039327766	0.169609155363603	345.019185337742	464.870765452529	389.066397134966	213.332309197191	293.909722177558	278.095316455294	Down_hemocytes_Up_gills
XM_027353933.1	12.1203152646596	5.50868596977991	1.14888980296851e-59	1.02813543788809e-56	0	0	0	2	2	0	216	12795	5309	3540	2847	3324	0	0	0	0.0380022580718026	0.0333678078655531	0	64.0241787224676	172.316514397274	64.2733765562913	75.0543007909019	95.5752117692184	74.4514200948289	Down_hemocytes_Up_gills
XM_027353827.1	11.5602016530663	4.1824592059109	1.45525749318242e-59	1.23718715782903e-56	0	0	0	2	0	0	74	3887	2473	1343	1344	1757	0	0	0	0.0380022580718026	0	0	21.9342093771417	52.3481275077925	29.9393596202125	28.473990384797	45.1187511829398	39.3535334255759	Down_hemocytes_Up_gills
