ID	log2FoldChange
XM_027356798.1	10.0887562659313
XM_027356801.1	10.695524501696
XM_027356802.1	11.7466107852215
XM_027356797.1	10.1844488186296
XM_027365860.1	6.92521100407941
XM_027353008.1	7.92657724502615
XM_027354936.1	7.92771884228442
XM_027356799.1	12.313696881961
XM_027358642.1	11.8290554059278
XM_027356800.1	11.5640108310098
XM_027355187.1	10.8534547506369
XM_027354939.1	7.91469160657589
XM_027373336.1	13.6169833833511
XR_003476719.1	21.2196114340759
XM_027373337.1	13.2261325162375
XM_027372676.1	14.1720155009367
XR_003476216.1	6.70244507424964
XM_027363228.1	7.78337859110976
XM_027354938.1	8.01453866986827
XM_027354940.1	7.83746458788449
XM_027363208.1	8.62110919970334
XR_003477591.1	22.9440977621583
XM_027363873.1	10.7999146427744
XM_027354937.1	8.34565450522017
XM_027363210.1	8.29408078299606
XM_027363226.1	7.47981705447074
XM_027363007.1	6.99349820219013
XM_027368571.1	7.58631024045837
XM_027365861.1	7.18134923199888
XM_027381155.1	7.15672209858099
XM_027356467.1	25.0697983021588
XM_027368572.1	7.54540047638674
XM_027371198.1	8.95480762931777
XM_027350813.1	10.4359774627339
XM_027367238.1	22.0624254981253
XM_027371195.1	8.8189528592919
XM_027357537.1	4.29587212109164
XM_027363213.1	8.2785942361326
XM_027363232.1	7.3787175301552
XM_027371994.1	6.5384691061404
XR_003476718.1	21.9180749345928
XM_027381154.1	6.95675582140873
XM_027363219.1	7.54468210134231
XM_027365884.1	20.4513980934797
XR_003476140.1	20.4590155525334
XR_003476212.1	6.71199733421676
XM_027373343.1	10.8695061733119
XM_027363216.1	7.58949999247799
XM_027367236.1	23.232655323557
XM_027362049.1	19.5060464919321
XR_003477590.1	24.3674439811987
XM_027381156.1	7.00224693821675
XM_027382986.1	10.2788510590365
XM_027373331.1	11.5513676955644
XM_027366660.1	26.6028813050109
XM_027373338.1	11.5195065205439
XM_027361534.1	6.24050139895231
XR_003475609.1	15.1165658097934
XM_027362996.1	7.02455307168847
XM_027377953.1	8.22330487349373
XM_027363209.1	8.40166889591734
XM_027358886.1	20.0759370052181
XM_027363230.1	7.38954555893217
XR_003477589.1	21.8484374619454
XM_027371767.1	11.3882427516612
XM_027370793.1	12.7627948635755
XM_027350644.1	11.3962379467087
XM_027368503.1	6.67824650310929
XM_027373332.1	11.4003976420242
XM_027373316.1	10.7197166947447
XM_027363252.1	6.38517242857091
XM_027365885.1	23.2632148469086
XM_027363224.1	7.68784370569052
XM_027373333.1	11.4749445680028
XM_027356793.1	7.05922255250843
XM_027381668.1	19.454800381833
XM_027373314.1	4.86294203131883
XM_027363211.1	8.5881806981145
XM_027373312.1	11.3085169250414
XM_027373339.1	11.4217631691443
XR_003476717.1	20.9741114477017
XM_027361448.1	7.71198773600802
XM_027381854.1	7.3494692979167
XM_027373334.1	11.4915381982712
XM_027374827.1	4.00543542937523
XR_003477592.1	19.5024283598402
XM_027368558.1	22.4873600619892
XM_027373315.1	10.9261527810446
XM_027373341.1	11.0027207589645
XM_027350645.1	11.3663967110976
XM_027376029.1	10.4068903470362
XM_027373317.1	10.6581121093691
XM_027373335.1	11.5266740631906
XM_027368553.1	21.4140643403364
XM_027363225.1	7.76408880452401
XM_027371768.1	11.2138165159142
XM_027368554.1	21.8576055610552
XM_027360043.1	11.1257973183676
XM_027361441.1	9.62228283850773
XM_027362345.1	9.17099409798612
XM_027373345.1	9.7368093691444
XR_003476574.1	24.0616393076095
XR_003476141.1	21.1154642621963
XM_027381851.1	7.98227408566209
XM_027373330.1	11.4206289423447
XM_027363223.1	7.47495262680059
XM_027371996.1	7.15968818745248
XM_027367222.1	17.1513347841826
XM_027373322.1	10.2951264048933
XM_027366311.1	11.2974579030543
XM_027381865.1	6.35007979907158
XM_027359148.1	7.67670880208165
XM_027371197.1	8.91950835615981
XM_027354360.1	8.98062994693823
XM_027370783.1	11.7185480778436
XM_027373346.1	9.30838662781965
XM_027367243.1	20.044084329952
XM_027370936.1	15.6932927632759
XM_027373313.1	10.6944747231505
XM_027368559.1	20.8454749257221
XM_027372314.1	8.33471164196181
XM_027365370.1	8.02421313718706
XR_003475816.1	20.5839020884321
XM_027354137.1	21.1224639632214
XM_027359526.1	7.79383622876172
XM_027354133.1	24.8737020037038
XM_027370962.1	19.2582578342238
XM_027381853.1	7.03997846551321
XM_027354376.1	9.10226329161634
XM_027354134.1	24.4211963901061
XM_027357161.1	4.5720323655773
XM_027360238.1	10.2265969810854
XM_027373318.1	9.51544552024576
XM_027354368.1	9.00149494509388
XM_027367224.1	18.9911147679808
XM_027371491.1	23.1301006370297
XM_027367223.1	19.2125920863904
XM_027373320.1	9.51393978867565
XM_027376055.1	9.07264916223186
XM_027373319.1	10.5170688768106
XM_027355870.1	10.6504177333841
XM_027363221.1	7.56007102843672
XM_027363218.1	7.8049501641829
XM_027371490.1	22.5840409258998
XM_027358535.1	4.72456477209756
XM_027363227.1	7.68394096398067
XM_027352549.1	9.51085585190505
XM_027373323.1	10.1348597201427
XM_027367225.1	18.415437669588
XM_027381855.1	6.56813119718075
XM_027365225.1	15.3946734419236
XR_003475500.1	23.2294403882787
XM_027363229.1	6.91645279399002
XM_027373519.1	7.48040898406892
XM_027366313.1	11.9164075863397
XM_027367423.1	8.27427682798626
XM_027363212.1	9.46673680838308
XM_027381669.1	16.2841552649472
XM_027371152.1	11.1795573059759
XM_027369862.1	11.0260037694344
XM_027353560.1	8.37164631069
XM_027363217.1	7.66435347725836
XM_027357535.1	4.30840115863038
XM_027383691.1	7.9997271134719
XM_027367242.1	18.9631909498589
XM_027358655.1	6.35269658109393
XM_027372149.1	8.212075335673
XM_027383361.1	7.12669661445717
XM_027373344.1	10.4354976040211
XM_027362706.1	17.2890437159174
XM_027378245.1	13.350012911602
XM_027367149.1	12.7616907514399
