ID	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	ovary_1	ovary_2	ovary_3	ovary_4	ovary_5	muscle_1	muscle_2	muscle_3	muscle_4	muscle_5	ovary_1_normalized	ovary_2_normalized	ovary_3_normalized	ovary_4_normalized	ovary_5_normalized	muscle_1_normalized	muscle_2_normalized	muscle_3_normalized	muscle_4_normalized	muscle_5_normalized	Expression
XM_027356798.1	63509.7718172809	10.0887562659313	0.259639006492131	38.8568589991006	0	0	210	321	425	275	225	234072	23680	32002	37732	65367	96.6526310451382	131.123148916283	169.479236404452	88.4517482979052	97.0137654424435	120445.722724552	108226.104344298	111531.263567869	157100.743925811	137211.163080173	Down_ovary_Up_muscle
XM_027356801.1	64080.6502132579	10.695524501696	0.242355249227179	44.1315982872327	0	0	155	218	259	200	135	234762	23842	32236	38528	65691	71.3388467237925	89.0493659306845	103.282640538242	64.3285442166583	58.2082592654661	120800.773942467	108966.502524356	112346.784962622	160414.965068739	137891.26797772	Down_ovary_Up_muscle
XM_027356802.1	80968.6866798015	11.7466107852215	0.274548951663999	42.7851234325504	0	0	80	129	186	120	77	277291	36319	44668	43915	77299	36.8200499219574	52.6943495644876	74.1720893440659	38.597126529995	33.2002663958585	142684.793140631	165990.87346624	155673.972909492	182844.24810511	162257.495294786	Down_ovary_Up_muscle
XM_027356797.1	63751.8584658087	10.1844488186296	0.297613747686266	34.2203574189916	1.20428817631272e-256	4.2472233258109e-253	175	274	452	292	187	234492	23528	31943	38270	65796	80.5438592042819	111.924432408292	180.246152599558	93.9196745563211	80.629218389942	120661.840857196	107531.409755601	111325.640652098	159340.757713368	138111.672342666	Down_ovary_Up_muscle
XM_027365860.1	15487.6066286048	6.92521100407941	0.210281949194814	32.932978938975	7.41507750579335e-238	2.09208996748453e-234	561	662	648	692	590	40236	7186	10943	7581	14465	258.200600077726	270.415964431712	258.405988682552	222.576762989638	254.39165160463	20704.117107322	32842.6007524546	38137.8231742763	31564.2091514252	30363.3251327841	Down_ovary_Up_muscle
XM_027353008.1	7076.73182915	7.92657724502615	0.250377573376615	31.658495360138	5.79365339120275e-220	1.36218447316162e-216	93	163	141	184	150	24240	2832	4082	4808	5153	42.8033080342755	66.5827827830347	56.2272290188887	59.1822606793256	64.6758436282957	12473.1036554698	12943.2570736086	14226.3176640223	20018.561878387	10816.6065958684	Down_ovary_Up_muscle
XM_027354936.1	5839.49871616332	7.92771884228442	0.257452753014869	30.7929076284788	3.26086217204631e-208	6.57156895157962e-205	79	122	149	147	106	16502	3024	4247	2867	4338	36.359799297933	49.8349662547867	59.4174264100313	47.2814799992438	45.7042628306623	8491.38434499023	13820.7660277516	14801.364801348	11937.0251467004	9105.84890605029	Down_ovary_Up_muscle
XM_027356799.1	221069.879813618	12.313696881961	0.413799278346427	29.7576567343652	1.38048784583124e-194	2.43431775514267e-191	124	216	367	235	155	422398	127708	155205	144433	127184	57.071077379034	88.2323992707699	146.350305318668	75.5860394545735	66.8317050825722	217352.064268282	583671.424560878	540910.248173587	601360.430070939	266970.559535984	Down_ovary_Up_muscle
XM_027358642.1	18048.6934192878	11.8290554059278	0.39763558068493	29.7484832357109	1.81427207025129e-194	2.84377067722611e-191	19	11	47	24	23	49483	8716	11510	11344	13241	8.74476185646489	4.49331662952995	18.7424096729629	7.719425305999	9.91696268967201	25462.3179943735	39835.2502307813	40113.8942461775	47231.8148811195	27794.039964272	Down_ovary_Up_muscle
XM_027356800.1	145675.679964314	11.5640108310098	0.392015935298068	29.4988284652693	2.98030172281592e-191	4.20431164037642e-188	140	201	453	226	188	350976	78920	96260	91604	94375	64.4350873634255	82.1051493214109	180.644927273451	72.6912549648239	81.0603906807973	180600.661245139	360692.743025844	335479.014781672	381401.901478321	198101.542302558	Down_ovary_Up_muscle
XM_027355187.1	9113.67276732661	10.8534547506369	0.375741061053045	28.8854636227917	1.81801072426346e-183	2.33151611701679e-180	18	31	28	34	14	25443	2652	4192	5122	14263	8.28451123244042	12.6629832286753	11.1656908689992	10.9358525168319	6.03641207197427	13092.127735401	12120.5924290996	14609.6824222395	21325.9305201952	29939.309116412	Down_ovary_Up_muscle
XM_027354939.1	5806.23277197795	7.91469160657589	0.275489615323113	28.7295461111774	1.63160896403822e-181	1.9180923046406e-178	100	110	142	132	115	15011	2993	4510	2966	3979	46.0250624024468	44.9331662952995	56.6260036927815	42.4568391829945	49.58481344836	7724.16497410304	13679.0848945306	15717.9550869036	12349.220992366	8352.27588685433	Down_ovary_Up_muscle
XM_027373336.1	299670.761170374	13.6169833833511	0.479027188388703	28.4263267585173	9.5618312556383e-178	1.037605796333e-174	82	115	232	98	69	375375	166759	225683	178090	244456	37.7405511700064	46.9755829450858	92.515724343136	31.5209866661626	29.750888069016	193155.581050825	762148.51918711	786535.533897488	741494.526814049	513134.947021076	Down_ovary_Up_muscle
XR_003476719.1	477762.291811316	21.2196114340759	0.749730408065075	28.3029889221648	3.17523663554491e-176	3.19950451554515e-173	0	0	2	3	0	1234813	175082	259671	255822	653575	0	0	0.797549347785655	0.964928163249874	0	635393.999344954	800187.61827738	904988.273918259	1065139.04676637	1371912.21732868	Down_ovary_Up_muscle
XM_027373337.1	263233.954456179	13.2261325162375	0.468824934021106	28.2112395405192	4.25718734087898e-175	4.00374278785199e-172	124	131	244	114	70	335687	148772	200395	154664	208199	57.071077379034	53.5113162244021	97.3010204298499	36.6672702034952	30.1820603598713	172733.446649905	679941.469404978	698403.461117528	643958.164384121	437028.270260665	Down_ovary_Up_muscle
XM_027372676.1	821248.766452241	14.1720155009367	0.508650942634088	27.8619664549246	7.71468437944672e-171	6.80194078380343e-168	230	138	421	100	192	2086699	521764	656722	419640	341897	105.857643525628	56.370699534103	167.88413770888	32.1642721083292	82.7850798442185	1073746.40778735	2384648.86432003	2288764.2795081	1747210.75429416	717672.296780054	Down_ovary_Up_muscle
XR_003476216.1	5376.26909987889	6.70244507424964	0.241778207844615	27.7214606477567	3.84931499920312e-169	3.19425215845637e-166	177	221	205	475	242	19612	2276	3507	2292	5237	81.4643604523308	90.2748159205563	81.7488081480296	152.780292514563	104.343694386984	10091.6876605229	10402.137393903	12222.3655187962	9542.95836631928	10992.9300878251	Down_ovary_Up_muscle
XM_027363228.1	2055.73207748227	7.78337859110976	0.281657681882814	27.6341782658997	4.3242618720498e-168	3.38902012383369e-165	33	36	59	68	40	4933	1000	1330	1118	1937	15.1882705928074	14.7053998784617	23.5277057596768	21.8717050336638	17.2468916342122	2538.35892460531	4570.35913616123	4635.22844026204	4654.89853994108	4065.93576095422	Down_ovary_Up_muscle
XM_027354938.1	5878.0083958371	8.01453866986827	0.293225137296135	27.3323724690568	1.74973713389523e-164	1.29913377620316e-161	68	104	147	152	104	15123	3035	4461	2977	4268	31.2970424336638	42.4822663155559	58.6198770622456	48.8896936046603	44.8419182489517	7781.79647614152	13871.0399782493	15547.1835127887	12395.0205307733	8958.91266275302	Down_ovary_Up_muscle
XM_027354940.1	5643.28449716758	7.83746458788449	0.287193953702701	27.2897966229391	5.60586219241216e-164	3.95409489741791e-161	91	104	149	175	105	14586	2984	4249	2959	3771	41.8828067862266	42.4822663155559	59.4174264100313	56.287476189576	45.273090539807	7505.47400654633	13637.9516623051	14808.3350696793	12320.0758315614	7915.66533534247	Down_ovary_Up_muscle
XM_027363208.1	3686.42757068999	8.62110919970334	0.319731421220568	26.9635970302588	3.95184545062608e-160	2.65469922723724e-157	24	44	78	43	45	11201	1410	2166	2031	4077	11.0460149765872	17.9732665181198	31.1044245636405	13.8306370065815	19.4027530884887	5763.66477082994	6444.20638198733	7548.80060271247	8456.26022774627	8557.9866274705	Down_ovary_Up_muscle
XR_003477591.1	1319939.35626278	22.9440977621583	0.852586583712351	26.9111644500136	1.62569447013932e-159	1.04243963137524e-156	4	0	0	0	0	2696437	555724	796963	793704	1519636	1.84100249609787	0	0	0	0	1387497.45055463	2539858.26058406	2777522.98002749	3304661.53018372	3189851.50027539	Down_ovary_Up_muscle
XM_027363873.1	6202.53507094897	10.7999146427744	0.403318481588629	26.7776338942731	5.8876567304016e-158	3.61118145633806e-155	11	12	25	28	13	11934	3287	4726	3621	4421	5.06275686426915	4.90179995948722	9.96936684732069	9.00599619033216	5.60523978111896	6140.84236899245	15022.770480562	16470.7440666755	15076.3753248002	9280.07330881704	Down_ovary_Up_muscle
