ID	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	hemocyte_1	hemocyte_2	hemocyte_3	hemocyte_4	hemocyte_5	hep_1	hep_2	hep_3	hep_4	hep_5	hemocyte_1_normalized	hemocyte_2_normalized	hemocyte_3_normalized	hemocyte_4_normalized	hemocyte_5_normalized	hep_1_normalized	hep_2_normalized	hep_3_normalized	hep_4_normalized	hep_5_normalized	Expression
XM_027367438.1	3773.27445000875	8.07602475611218	0.23182185423145	34.8372019665113	6.65264709433604e-266	1.20499396819709e-261	36	44	39	27	18	8813	5106	7276	7377	4898	28.2663424744134	30.1650734675774	33.6973574347964	32.2754154401488	15.3287965015189	8315.48303873147	8523.90430918682	7122.06416532106	7653.59366005839	5977.9663414713	Down_hemocyte_Up_hep
XM_027365833.1	3273.35761300595	9.79026524757948	0.295962563544657	33.0794041324833	5.87860469424693e-240	5.32395834134473e-236	12	12	11	3	6	7350	4340	6954	6536	4039	9.42211415813781	8.22683821843021	9.50438286622463	3.58615727112764	5.10959883383964	6935.07322531219	7245.15172382898	6806.8766088019	6781.06115794247	4929.56432282617	Down_hemocyte_Up_hep
XM_027375354.1	6645.68342151927	8.40302766452485	0.271327406825744	30.9700658803022	1.36414362138896e-210	8.23624447140606e-207	52	53	43	31	52	16516	11740	10738	11256	7284	40.8291613519305	36.3352021314001	37.1534966588781	37.056958468319	44.2831898932769	15583.6284883342	19598.6362298968	10510.8198195736	11678.0331079866	8890.0585608977	Down_hemocyte_Up_hep
XM_027377145.1	4158.88014715256	9.3241154769768	0.340697300439959	27.3677409974664	6.64210982032799e-165	3.00771337939002e-161	22	27	10	10	9	7588	6770	9901	7976	4176	17.273875956586	18.510385991468	8.64034806020421	11.9538575704255	7.66439825075946	7159.63750117944	11301.768933254	9691.52794129244	8275.05260032882	5096.77162964152	Down_hemocyte_Up_hep
XM_027352708.1	4286.16890477117	8.77599194555819	0.33286998007563	26.3646242402642	3.48882698418612e-153	1.26386246329126e-149	19	37	31	20	8	7901	7101	7106	8335	6433	14.9183474170515	25.3660845068265	26.785078986633	23.9077151408509	6.81279844511952	7454.9678303662	11854.3369564308	6955.66079697243	8647.5129668682	7851.42047257756	Down_hemocyte_Up_hep
XM_027365653.1	3291.46731188936	10.1935266584885	0.391572602629635	26.0322775138842	2.13580535969121e-149	6.44764041334782e-146	8	7	10	5	3	8950	4099	6275	7604	2923	6.28140943875854	4.79898896075095	8.64034806020421	5.97692878521274	2.55479941691982	8444.74902946178	6842.82878248272	6142.24197875064	7889.10481104568	3567.49604249094	Down_hemocyte_Up_hep
XM_027360936.1	6846.9138208914	11.0803551979799	0.429274077363658	25.8118432541483	6.52905657367801e-147	1.68944002455757e-143	4	4	12	8	8	13958	13466	13653	9267	8036	3.14070471937927	2.7422794061434	10.368417672245	9.56308605634038	6.81279844511952	13170.03429645	22480.0030214472	13364.1481650809	9614.45742819047	9807.86801144617	Down_hemocyte_Up_hep
XM_027382188.1	1909.08661378111	8.01841863663141	0.311391809408921	25.7502554477969	3.20226183778047e-146	7.2503210834647e-143	14	12	14	13	32	4222	2877	3800	3365	2474	10.9924665178274	8.22683821843021	12.0964872842859	15.5400148415531	27.2511937804781	3983.65702819973	4802.83444918341	3719.60470426333	3491.16750252087	3019.49545300122	Down_hemocyte_Up_hep
XM_027360238.1	2120.55677645867	10.2623017655852	0.414703760410207	24.746102508051	3.414759762313e-135	6.8723937305306e-132	0	2	6	4	8	5721	2258	3930	4345	3003	0	1.3711397030717	5.18420883612252	4.78154302817019	6.81279844511952	5398.03454721238	3769.48216414881	3846.85433888287	4507.91167858936	3665.13534574077	Down_hemocyte_Up_hep
XM_027377051.1	22604.7637346199	12.3694342510975	0.50067620519396	24.7054565860697	9.34412481198662e-135	1.69250132719514e-131	11	16	7	7	10	55172	58241	21842	21775	26833	8.63693797829299	10.9691176245736	6.04824364214294	8.36770029929783	8.5159980563994	52057.3959165883	97226.9312321483	21379.8963027684	22591.4330958074	32749.4428012861	Down_hemocyte_Up_hep
