ID	hemocyte_1_normalized	hemocyte_2_normalized	hemocyte_3_normalized	hemocyte_4_normalized	hemocyte_5_normalized	hep_1_normalized	hep_2_normalized	hep_3_normalized	hep_4_normalized	hep_5_normalized
XM_027350592.1	63.5992705674302	61.7012866382265	69.9868192876541	47.8154302817019	91.9727790091135	33.0241582157723	28.3796265679937	77.3286241149483	49.7997147462116	47.5991603342958
XM_027350593.1	87.9397321426196	66.5002755989775	53.5701579732661	66.9416023943826	110.707974733192	40.5725372365203	28.3796265679937	55.79407056395	61.2121493755517	68.3475122748862
XM_027350594.1	64.384446747275	47.3043197559737	53.5701579732661	76.504688450723	104.746776093713	49.0644636348617	50.0816939435183	56.7729139071772	64.3246315471899	40.276212590558
XM_027350595.1	54.1771564092924	59.644577083619	54.4341927792865	66.9416023943826	85.159980563994	38.6854424813333	28.3796265679937	71.4555640555851	45.6497385173606	41.4967038811809
XM_027350596.1	13.3479950573619	8.22683821843021	10.368417672245	0	28.102793586118	189.653022896292	225.367622745832	266.245389357797	161.849072925188	225.790888765249
XM_027350597.1	898.241549742472	798.00330718773	801.82429998695	1544.43839809897	755.369027602627	670.862185468975	594.30276812975	334.7644233837	390.097765511991	594.379258533386
XM_027350602.1	0	0	1.72806961204084	0	0	215.128802091317	98.4939980889193	79.2863108014026	66.3996196616154	161.104850362232
XM_027350603.1	1228.01554527729	1180.55128434473	1184.591719054	1736.89550498282	1983.37594733542	1579.49831009151	2587.55418708178	2181.84181205341	1982.65114333355	1929.59673047491
XM_027350604.1	144.472417091446	111.747885800344	137.381534157247	95.6308605634038	839.677408360981	453.846288622471	499.147549637066	496.273575016187	396.322729855267	269.728575227676
XM_027350605.1	150.753826530205	124.088143127989	150.342056247553	113.561646919042	850.7482058343	442.523720091349	500.816939435183	617.650149576359	487.622206889988	305.122822655742
XM_027350606.1	51.0364516899132	72.6704042628001	43.201740301021	62.1600593662125	304.021130613459	394.402803834081	400.653551548146	387.621963917969	274.935925161376	181.853202302822
XM_027350607.1	80.0879703441714	65.8147057474416	70.8508540936745	49.0108160387444	323.607926143177	384.023782680552	457.412804684134	401.325770723149	321.62315773595	270.949066518299
