ID	logFC	AveExpr	t	P.Value	adj.P.Val	B	hemocyte_1	hemocyte_2	hemocyte_3	hemocyte_4	hemocyte_5	hep_1	hep_2	hep_3	hep_4	hep_5	hemocyte_1_normalized	hemocyte_2_normalized	hemocyte_3_normalized	hemocyte_4_normalized	hemocyte_5_normalized	hep_1_normalized	hep_2_normalized	hep_3_normalized	hep_4_normalized	hep_5_normalized	Expression
XM_027350706.1	16.7345813822892	2.04372234210915	37.326814549289	3.85965608011429e-13	1.27848833292117e-09	15.9000759633713	0	0	0	0	0	62219	44554	60850	48971	24116	0	0	0	0	0	1591.81208552583	1717.04646559937	1604.35937897513	1392.3441651382	766.567639864443	Down_hemocyte_Up_hep
XM_027352295.1	11.4688139027375	-0.589155070617116	36.2612445732892	5.33116833546449e-13	1.27848833292117e-09	15.8248497772824	0	0	0	0	0	1418	914	1131	1271	1266	0	0	0	0	0	36.2781391098479	35.2242328311223	29.8197281449608	36.1370899898031	40.2419402914407	Down_hemocyte_Up_hep
XM_027352296.1	11.385377471237	-0.63067865821884	35.1267102887259	7.5981261343848e-13	1.27848833292117e-09	15.6949620698675	0	0	0	0	0	1398	943	1012	1204	1101	0	0	0	0	0	35.7664587274805	36.3418507218253	26.6821970669322	34.2321450414815	34.9971376468217	Down_hemocyte_Up_hep
XM_027354925.1	13.1187352463825	0.235061967598689	35.939005815716	5.88901352076795e-13	1.27848833292117e-09	15.7882914567157	0	0	0	0	0	3971	4011	3441	3591	3634	0	0	0	0	0	101.594139919045	154.578115848612	90.7247431890453	102.099362827209	115.512804912398	Down_hemocyte_Up_hep
XM_027360388.1	13.9812693007443	0.66683431010447	36.4417519865411	5.04402011914459e-13	1.27848833292117e-09	15.8343905814526	0	0	0	0	0	10226	6675	6905	6104	4959	0	0	0	0	0	261.622179504446	257.244807601467	182.055899947794	173.549014396348	157.630159482823	Down_hemocyte_Up_hep
XM_027362713.1	16.0941488678912	1.7235038234703	35.4224605165105	6.92031675011043e-13	1.27848833292117e-09	15.70156290001	0	0	0	0	0	44418	29090	39067	26185	16375	0	0	0	0	0	1136.39096119974	1121.08636001898	1030.03299685162	744.492290623914	520.506929125072	Down_hemocyte_Up_hep
XM_027363322.1	17.5827582512446	2.46718422482647	36.5888162195944	4.8225057140825e-13	1.27848833292117e-09	15.813524047294	0	0	0	0	0	77716	103784	101904	97621	46741	0	0	0	0	0	1988.2876298032	3999.68466099036	2686.78123508761	2775.56165373294	1485.74133583115	Down_hemocyte_Up_hep
XM_027363951.1	14.3024709077075	0.827770225376946	35.9051485367187	5.95121674319821e-13	1.27848833292117e-09	15.7725849313237	0	0	0	0	0	12382	7121	11021	8677	5163	0	0	0	0	0	316.781324723651	274.43299998952	290.577563117253	246.70458681473	164.114642752534	Down_hemocyte_Up_hep
XM_027371450.1	13.4157650680412	0.384316419938524	35.3580795742342	7.06205950590393e-13	1.27848833292117e-09	15.7189875034936	0	0	0	0	0	6292	3996	5198	5316	2897	0	0	0	0	0	160.974648292781	154.000037629283	137.049466752879	151.144587242953	92.0860197664327	Down_hemocyte_Up_hep
XM_027377792.1	15.0484545344042	1.20074800925126	37.9363027186738	3.22164286681332e-13	1.27848833292117e-09	15.9784540843598	0	0	0	0	0	21383	12080	17488	14666	8719	0	0	0	0	0	547.063080808095	465.545659299734	461.085239433311	416.983919583362	277.148086414749	Down_hemocyte_Up_hep
XM_027380431.1	13.3377278768927	0.34535142293897	35.6392291225422	6.4653757658509e-13	1.27848833292117e-09	15.7520997977534	0	0	0	0	0	5860	3686	5155	4999	2760	0	0	0	0	0	149.922352033645	142.053087763147	135.915737035608	142.131638756118	87.7312442372641	Down_hemocyte_Up_hep
XM_027380855.1	13.6188252491588	0.485973091471906	34.6780631984643	8.76823632576722e-13	1.35242738461355e-09	15.6363802868681	0	0	0	0	0	7206	4370	6804	5958	3190	0	0	0	0	0	184.358441766971	168.413454564556	179.392953402576	169.397940329856	101.399517795968	Down_hemocyte_Up_hep
XM_027350707.1	15.9454909166527	1.64918237937063	33.3096819592023	1.37291920532743e-12	1.39933785664135e-09	15.4429181409634	0	0	0	0	0	42604	26632	31202	26834	13611	0	0	0	0	0	1089.98155051901	1026.35860914491	822.665921820573	762.944667809896	432.64853815703	Down_hemocyte_Up_hep
XM_027352297.1	11.3408350528948	-0.652794569088938	33.9320872138299	1.11716025712926e-12	1.39933785664135e-09	15.5481457330062	0	0	0	0	0	1408	967	970	1094	1050	0	0	0	0	0	36.0222989186642	37.2667758727519	25.5748331570398	31.1046234845355	33.376016829394	Down_hemocyte_Up_hep
XM_027353914.1	15.2931757604453	1.32221271494748	33.5413438163135	1.27095831817666e-12	1.39933785664135e-09	15.4792407392874	0	0	0	0	0	19400	20892	14621	12244	18477	0	0	0	0	0	496.329970896368	805.147343881626	385.494469679463	348.121581302242	587.32253614925	Down_hemocyte_Up_hep
XM_027358232.1	12.2037241405537	-0.221764272050322	32.9726657307228	1.53748399589008e-12	1.39933785664135e-09	15.4284720934084	0	0	0	0	0	2047	1767	2620	2362	1346	0	0	0	0	0	52.3704871353023	68.0976142369727	69.0784153313859	67.1564174318765	42.7848749070136	Down_hemocyte_Up_hep
