ID	logFC	AveExpr	t	P.Value	adj.P.Val	B	hep_1	hep_2	hep_3	hep_4	hep_5	hep_6	gills_1	gills_2	gills_3	gills_4	gills_5	gills_6	hep_1_normalized	hep_2_normalized	hep_3_normalized	hep_4_normalized	hep_5_normalized	hep_6_normalized	gills_1_normalized	gills_2_normalized	gills_3_normalized	gills_4_normalized	gills_5_normalized	gills_6_normalized	Expression
XM_027357077.1	10.2618615766067	2.5839098559136	25.3152409941143	1.19942889455505e-12	2.2942675895049e-08	16.484428013656	8	13	10	1	5	2	746	14419	19639	9120	7152	7521	0.204823142614386	0.392824311282515	0.238885279588347	0.0531486035838933	0.171335337546976	0.0583555413906618	216.447930858637	203.938866634066	243.389748946729	195.78765240516	237.572737198478	176.760277872738	Down_hep_Up_gills
XM_027351217.1	-8.16945533409982	2.22515374763853	-20.2254691626299	2.21537207717649e-11	3.85233064474836e-08	15.1304881721505	2858	3142	2799	1890	2314	2027	2	19	14	7	4	24	73.1730676989892	94.9426143115125	66.8639897567784	100.450860773558	79.2939942167404	59.1433411994357	0.580289358870341	0.26873142839637	0.173504581967219	0.150275610398697	0.132870658388411	0.56405353928277	Up_hep_Down_gills
XM_027352012.1	-7.67997129494339	3.09968750330033	-20.812263044166	1.53063839061017e-11	3.85233064474836e-08	15.7477664318711	5292	4862	6075	2624	4146	2917	0	64	63	26	24	28	135.490508839416	146.916292419661	145.122807349921	139.461935804136	142.071261893952	85.1115571182802	0	0.905200600914087	0.780770618852484	0.558166552909448	0.797223950330464	0.658062462496565	Up_hep_Down_gills
XM_027356113.1	8.74965928411639	-1.33399615630647	23.0046827717727	4.17462052207032e-12	3.85233064474836e-08	15.4624338347105	0	1	0	0	0	0	34	513	766	383	241	307	0	0.0302172547140396	0	0	0	0	9.8649191007958	7.25574856670198	9.4931792704921	8.22222268324302	8.00545716790174	7.21518485665876	Down_hep_Up_gills
XM_027357980.1	7.68764947913618	-2.14547084524517	20.5101876500027	1.8492414144184e-11	3.85233064474836e-08	14.4471003844656	0	0	0	0	0	0	10	253	266	100	127	149	0	0	0	0	0	0	2.9014467943517	3.5783711254885	3.29658705737715	2.14679443426711	4.21864340383204	3.50183238971386	Down_hep_Up_gills
XM_027360238.1	-7.02918920832068	2.85833837209343	-20.443490015056	1.92876553158327e-11	3.85233064474836e-08	15.6098132820271	4345	3313	3930	882	2258	3003	1	39	49	28	21	41	111.244569332438	100.109764867613	93.8819148782205	46.8770683609939	77.3750384362143	87.6208453980787	0.29014467943517	0.551606616182022	0.607266036885265	0.60110244159479	0.697570956539156	0.963591462941398	Up_hep_Down_gills
XM_027365793.1	10.3982601374499	0.264634682267508	20.2458869513062	2.18668449131966e-11	3.85233064474836e-08	14.598522754509	4	0	4	0	0	0	143	2412	4820	1980	1379	1870	0.102411571307193	0	0.0955541118353389	0	0	0	41.4906891592294	34.1147476469497	59.7351489344281	42.5065297984887	45.8071594794046	43.9491716024491	Down_hep_Up_gills
XM_027366326.1	-7.56671972064835	1.13136475406702	-21.793496632418	8.42720072159172e-12	3.85233064474836e-08	15.4456947177536	1240	1181	1306	456	777	1098	0	5	17	9	4	9	31.7475871052298	35.6865778172808	31.1984175142381	24.2357632342553	26.6255114548	32.0371922234733	0	0.0707187969464131	0.210684135245908	0.19321149908404	0.132870658388411	0.211520077231039	Up_hep_Down_gills
XM_027369931.1	9.9246863321327	-0.270498814361421	20.6796207736675	1.66261909432223e-11	3.85233064474836e-08	14.7407199915071	2	0	2	0	0	0	65	2051	1764	1281	592	1790	0.0512057856535964	0	0.0477770559176694	0	0	0	18.8594041632861	29.0088505074186	21.8615773278695	27.5004367029616	19.6648574414848	42.0689931381732	Down_hep_Up_gills
XM_027373391.1	9.59314340093089	-0.978662945543425	21.6092079492835	9.40822872853153e-12	3.85233064474836e-08	15.0456485927166	1	0	0	0	0	0	25	1159	1808	534	439	591	0.0256028928267982	0	0	0	0	0	7.25361698587926	16.3926171321786	22.4068774426237	11.4638822789863	14.5825547581281	13.8898184048382	Down_hep_Up_gills
XM_027380251.1	-9.37646756895922	2.44294393071225	-20.7379941547709	1.60309129293875e-11	3.85233064474836e-08	15.2487023881818	4322	4663	5105	3634	4810	3894	0	7	11	6	12	32	110.655702797422	140.903058731567	121.950935229851	193.142025423868	164.824594720191	113.618239087619	0	0.0990063157249783	0.136325028688529	0.128807666056026	0.398611975165232	0.752071385710359	Up_hep_Down_gills
XM_027364294.1	-5.36747805121965	2.85209575299661	-19.9983745839416	2.56312957425778e-11	4.08562854136691e-08	15.6133216952833	1728	1438	1667	1191	1649	1189	4	68	90	49	33	53	44.2417988047073	43.452412278789	39.8221761073775	63.2999868684169	56.5063943229926	34.6923693567484	1.16057871774068	0.961775638471218	1.11538659836069	1.05192927279088	1.09618293170439	1.24561823258278	Up_hep_Down_gills
XM_027366647.1	8.07715441854211	-1.93114548076423	19.7304686741714	3.05034636684135e-11	4.48823271576472e-08	14.1976769658113	0	0	0	0	0	0	15	380	210	186	178	195	0	0	0	0	0	0	4.35217019152756	5.37462856792739	2.60256872950828	3.99303764773682	5.91274429828427	4.5829350066725	Down_hep_Up_gills
XM_027358803.1	-7.89129246875908	2.25379263849639	-19.4508251558926	3.66668106624612e-11	4.48995781509237e-08	14.8019960552115	3250	3128	2942	1714	2198	1688	0	16	55	9	8	23	83.2094016870941	94.5195727455159	70.2800492548918	91.0967065427931	75.3190143856505	49.2520769337186	0	0.226300150228522	0.681625143442644	0.19321149908404	0.265741316776821	0.540551308479321	Up_hep_Down_gills
XM_027369548.1	-9.07492273314148	0.834794161178218	-19.5882950296819	3.34849511560338e-11	4.48995781509237e-08	14.3559179794997	1819	1330	1486	570	2020	1209	0	2	4	4	1	6	46.5716620519459	40.1889487696727	35.4983525468284	30.2947040428192	69.2194763689782	35.2759247706551	0	0.0282875187785652	0.0495727377049196	0.0858717773706843	0.0332176645971027	0.141013384820692	Up_hep_Down_gills
XM_027378793.1	8.34219075141087	-1.7782157405685	19.3234971492947	3.99044766084119e-11	4.48995781509237e-08	14.0611627454892	0	0	0	0	0	0	29	468	277	239	105	297	0	0	0	0	0	0	8.41419570361994	6.61927939418426	3.43291208606568	5.13083869789838	3.48785478269578	6.98016254862427	Down_hep_Up_gills
XM_027380873.1	-8.08574741702907	1.99657797513108	-19.406134036009	3.77699005950026e-11	4.48995781509237e-08	14.6807787787342	3408	2824	2940	1136	1979	1303	0	11	17	17	6	20	87.2546587537283	85.3335273124479	70.2322721989741	60.3768136713028	67.814526601093	38.0186352160162	0	0.155581353282109	0.210684135245908	0.364955053825408	0.199305987582616	0.470044616068975	Up_hep_Down_gills
